Gene,Venn_group,logFC_blind,P.Value_blind,adj.P.Val_blind,logFC_aware,P.Value_aware,adj.P.Val_aware
Ptgds,Aware Only,-0.102001079630987,0.0543733019271609,0.875359778159669,-0.159275581640724,0.0109528027190056,0.457492474442171
Ppp2r2c,Aware Only,0.140371914885151,0.0634078478494328,0.891269482907605,0.199661396312273,0.0157295787183159,0.577530019570338
Dlg4,Aware Only,0.187881852323667,0.111980370887921,0.998404599182306,0.247711642267034,0.0345468916389442,0.880420006676607
Nrgn,Aware Only,-0.506794133164208,0.190194749555517,0.998404599182306,-0.124876182468526,0.0255279175893907,0.730912223168973
Tspan7,Aware Only,0.239240322922949,0.197688635014974,0.998404599182306,0.301920217732205,0.0091690582881269,0.451604266799053
Phactr1,Aware Only,0.0685785298107186,0.397586444566386,0.998404599182306,0.13283801348567,8.98790207005743e-05,0.0803343696947659
Mapt,Blind Only,-0.128504305735498,9.85955654969048e-05,0.0362590545007151,-0.0817202878697073,0.0598103571106519,0.936125999871969
Snap25,Blind Only,-0.603333362923138,0.000812037810903,0.154033426353952,-0.189280707355399,0.157945089478185,0.998843780654855
Calm2,Blind Only,-0.566757478043026,0.0022395390580342,0.265534852715868,-0.184994372045137,0.0617514156029919,0.936125999871969
Dynll2,Blind Only,-0.295395287020478,0.0039302814146037,0.308673973792934,-0.186021866597046,0.0814198851217857,0.992806963201471
Mapk10,Blind Only,-0.114325476791716,0.004321435633101,0.308673973792934,-0.036904206021703,0.500842279135674,0.998843780654855
Gja1,Blind Only,0.128077325932775,0.0107504750388504,0.458924617829997,0.0241210957521912,0.697394081178501,0.998843780654855
Slc1a3,Blind Only,0.15869371610476,0.0192979918575645,0.665336423992349,0.0325969776515144,0.758126907652069,0.998843780654855
Camk4,Blind Only,-0.115589783159244,0.0203786449175646,0.665336423992349,-0.0154256838114384,0.613254981774203,0.998843780654855
Bcan,Blind Only,0.106404288189278,0.0251223814117377,0.698303439475319,0.0306971390576934,0.614017564528565,0.998843780654855
Ywhaz,Blind Only,-0.49124720565218,0.0298844723385383,0.698303439475319,-0.168377185825746,0.0750318118820112,0.961946306179631
Selenow,Blind Only,0.321175197814539,0.0316079508189527,0.698303439475319,0.347405140330331,0.0781388167222626,0.989098945851425
Apoe,Blind Only,0.85925589113116,0.0321699546960861,0.698303439475319,0.54118213772925,0.0722399279617792,0.956024780894075
Pak1,Blind Only,-0.107736235079559,0.0402469595004884,0.785715559994469,-0.0259876969781822,0.402936362903764,0.998843780654855
Rtn4,Blind Only,-0.103772809115636,0.0416341215922198,0.785715559994469,-0.0159476179901947,0.745503067327545,0.998843780654855
Gpm6b,Blind Only,0.231201521050179,0.0416429246797068,0.785715559994469,0.222708841778873,0.0629405674038954,0.936125999871969
Wasf1,Blind Only,-0.156717946576337,0.0487123886836149,0.842645849775493,-0.0269572347936209,0.649438547875914,0.998843780654855
Ftl1,Sig in Both,0.148429193863059,0.0023898136744428,0.265534852715868,0.110574005287782,0.0478473230347877,0.936125999871969
Pink1,Sig in Both,0.292672588837065,0.0100296129150204,0.458924617829997,0.275854637131759,0.0040593179192697,0.371268798250962
Calm1,Sig in Both,-0.512496573770803,0.0103303630830778,0.458924617829997,-0.306977779923167,0.0458018270318115,0.936125999871969
Sh3gl2,Sig in Both,-0.220733924410912,0.0148982920859943,0.551788595777565,-0.103250945142881,0.0178772541035592,0.616457038053767
Apba1,Sig in Both,0.123263727608682,0.0206254291437628,0.665336423992349,0.114086502516659,0.0161708405479694,0.577530019570338
