Gene,Venn_group,logFC_blind,P.Value_blind,adj.P.Val_blind,logFC_aware,P.Value_aware,adj.P.Val_aware
Ptgds,Aware Only,-0.102001079630987,0.0543733019271609,0.875359778159669,-0.162723759918003,0.0345685066159182,0.907353838597841
Ppp2r2c,Aware Only,0.140371914885151,0.0634078478494328,0.891269482907605,0.200844911613593,0.0313081048866437,0.869669580184548
Nrgn,Aware Only,-0.506794133164208,0.190194749555517,0.998404599182306,-0.121122789219062,0.0076178406887161,0.400938983616641
Tspan7,Aware Only,0.239240322922949,0.197688635014974,0.998404599182306,0.326031690338386,0.0064124459188752,0.377202701110311
Adcy1,Aware Only,0.0995723022049992,0.197911453894553,0.998404599182306,0.148392923564563,0.0182740238759371,0.702847072151426
Phactr1,Aware Only,0.0685785298107186,0.397586444566386,0.998404599182306,0.121362123168343,0.0432447642615594,0.973188825328397
Mapt,Blind Only,-0.128504305735498,9.85955654969048e-05,0.0362590545007151,-0.093527847785456,0.0163655366700424,0.675853398770173
Snap25,Blind Only,-0.603333362923138,0.000812037810903,0.154033426353952,-0.179720201838634,0.154843606859476,0.995279180217927
Calm2,Blind Only,-0.566757478043026,0.0022395390580342,0.265534852715868,-0.199014123803823,0.0601241133017178,0.995279180217927
Ftl1,Blind Only,0.148429193863059,0.0023898136744428,0.265534852715868,0.108558929969376,0.0717387344124023,0.995279180217927
Mapk10,Blind Only,-0.114325476791716,0.004321435633101,0.308673973792934,-0.0420446234794507,0.465901425301179,0.995279180217927
Gja1,Blind Only,0.128077325932775,0.0107504750388504,0.458924617829997,0.0249556485686396,0.691593766568055,0.995279180217927
Sh3gl2,Blind Only,-0.220733924410912,0.0148982920859943,0.551788595777565,-0.11661618763597,0.0596496659640213,0.995279180217927
Slc1a3,Blind Only,0.15869371610476,0.0192979918575645,0.665336423992349,0.041741212880763,0.670064983996687,0.995279180217927
Camk4,Blind Only,-0.115589783159244,0.0203786449175646,0.665336423992349,-0.0156300193325195,0.419782178805508,0.995279180217927
Bcan,Blind Only,0.106404288189278,0.0251223814117377,0.698303439475319,0.0297233744173961,0.646233855131984,0.995279180217927
Selenow,Blind Only,0.321175197814539,0.0316079508189527,0.698303439475319,0.33629933516932,0.1083347360395,0.995279180217927
Apoe,Blind Only,0.85925589113116,0.0321699546960861,0.698303439475319,0.547183501904025,0.0711224757904544,0.995279180217927
Pak1,Blind Only,-0.107736235079559,0.0402469595004884,0.785715559994469,-0.0260793952741865,0.494150394482858,0.995279180217927
Rtn4,Blind Only,-0.103772809115636,0.0416341215922198,0.785715559994469,-0.0213244571149975,0.659250659899223,0.995279180217927
Gpm6b,Blind Only,0.231201521050179,0.0416429246797068,0.785715559994469,0.215494728893016,0.0863277711234544,0.995279180217927
Wasf1,Blind Only,-0.156717946576337,0.0487123886836149,0.842645849775493,-0.0249484337518053,0.699492004193882,0.995279180217927
Dynll2,Sig in Both,-0.295395287020478,0.0039302814146037,0.308673973792934,-0.2054617431295,0.0241699552314181,0.805665174380605
Pink1,Sig in Both,0.292672588837065,0.0100296129150204,0.458924617829997,0.272021999783802,0.0018042273219492,0.164020665631751
Calm1,Sig in Both,-0.512496573770803,0.0103303630830778,0.458924617829997,-0.315576833670182,0.0097767087364106,0.483690485551857
Apba1,Sig in Both,0.123263727608682,0.0206254291437628,0.665336423992349,0.115826950343749,0.0114537145623453,0.520623389197512
Ywhaz,Sig in Both,-0.49124720565218,0.0298844723385383,0.698303439475319,-0.173967796164932,0.0430879024837627,0.973188825328397
