n_genes,n_sig_G1_only,n_sig_G2_only,n_sig_both,n_flip,pct_flip,pearson_r_all,mab_all,spearman_r_neglogp,spearman_r_neglogp_top10,spearman_r_lfc,mab_pct_all,mab_pct_top10,deviation,cell_type,annotation
1000,16,7,4,187,18.7,0.6551,0.0253,0.5918,0.39,0.7037,69.06,69.75,1.5,Astrocytes,blind
1000,0,1,14,69,6.9,0.9913,0.0059,0.8662,0.9448,0.9686,17.31,8.52,1.5,Astrocytes,napari
1000,2,1,6,76,7.6,0.9867,0.0068,0.8411,0.9113,0.9581,20.33,10.53,1.5,Astrocytes,quint
1000,19,8,10,228,22.8,0.7724,0.0341,0.4108,0.4221,0.692,65.66,43.19,1.5,Microglia,blind
1000,8,4,16,141,14.1,0.9632,0.0176,0.5763,0.8871,0.8855,35.55,15.32,1.5,Microglia,napari
1000,11,7,9,144,14.4,0.9606,0.0188,0.5519,0.8584,0.8708,37.99,15.73,1.5,Microglia,quint
1000,17,24,13,290,29.0,0.6324,0.0424,0.3774,0.3278,0.5889,86.58,72.1,1.5,WholeBrain,blind
1000,1,0,14,31,3.1,0.9983,0.0024,0.9622,0.9688,0.9949,7.59,3.57,1.5,WholeBrain,napari
1000,2,0,13,45,4.5,0.9977,0.0028,0.9573,0.9709,0.993,8.83,3.91,1.5,WholeBrain,quint
1000,10,4,8,124,12.4,0.8345,0.0175,0.7,0.6185,0.839,49.58,44.61,1,Astrocytes,blind
1000,2,1,14,58,5.8,0.9919,0.0055,0.8815,0.9625,0.9751,16.05,7.44,1,Astrocytes,napari
1000,2,0,8,60,6.0,0.9898,0.006,0.8646,0.9302,0.9668,17.82,9.06,1,Astrocytes,quint
1000,11,9,11,176,17.6,0.8824,0.0247,0.5214,0.6421,0.8152,49.67,29.51,1,Microglia,blind
1000,9,5,13,146,14.6,0.9642,0.0166,0.6233,0.8748,0.891,34.16,14.2,1,Microglia,napari
1000,7,6,12,131,13.1,0.9612,0.0171,0.6053,0.8579,0.8901,35.11,15.8,1,Microglia,quint
1000,11,19,18,210,21.0,0.8128,0.0295,0.5431,0.5666,0.7451,62.5,43.41,1,WholeBrain,blind
1000,3,2,13,41,4.1,0.9971,0.0031,0.9583,0.9631,0.9928,9.64,5.39,1,WholeBrain,napari
1000,2,2,12,43,4.3,0.9969,0.0033,0.954,0.9702,0.9918,10.22,4.62,1,WholeBrain,quint
1000,5,4,9,98,9.8,0.9476,0.0104,0.8066,0.8251,0.9246,30.34,21.99,0.5,Astrocytes,blind
1000,3,1,14,60,6.0,0.9939,0.0052,0.8775,0.9727,0.9737,15.11,6.37,0.5,Astrocytes,napari
1000,1,1,7,76,7.6,0.9934,0.0053,0.8689,0.9606,0.9699,15.9,6.55,0.5,Astrocytes,quint
1000,7,5,15,154,15.4,0.9333,0.0201,0.5961,0.8018,0.8642,40.31,21.54,0.5,Microglia,blind
1000,4,4,17,130,13.0,0.9641,0.0164,0.6243,0.9244,0.8973,33.6,14.41,0.5,Microglia,napari
1000,4,3,15,122,12.2,0.967,0.0159,0.609,0.9251,0.9006,32.39,12.47,0.5,Microglia,quint
1000,8,8,16,98,9.8,0.9425,0.0154,0.8026,0.8522,0.9117,34.51,23.65,0.5,WholeBrain,blind
1000,1,1,13,28,2.8,0.999,0.0019,0.9769,0.9859,0.9967,5.88,2.59,0.5,WholeBrain,napari
1000,2,2,12,20,2.0,0.999,0.0019,0.9765,0.9874,0.9966,5.92,2.36,0.5,WholeBrain,quint
1000,4,1,9,67,6.7,0.9849,0.0065,0.8737,0.9539,0.9628,19.29,11.32,0.25,Astrocytes,blind
1000,1,0,15,74,7.4,0.9953,0.0045,0.8897,0.9865,0.9762,13.39,4.26,0.25,Astrocytes,napari
1000,2,0,6,64,6.4,0.9941,0.0048,0.8879,0.9711,0.9747,14.38,5.32,0.25,Astrocytes,quint
1000,6,3,12,133,13.3,0.9587,0.0174,0.5998,0.853,0.8743,35.32,15.51,0.25,Microglia,blind
1000,4,3,17,131,13.1,0.9694,0.0162,0.6089,0.902,0.8917,33.23,12.02,0.25,Microglia,napari
1000,6,4,12,138,13.8,0.9682,0.0163,0.598,0.8697,0.8881,33.4,12.42,0.25,Microglia,quint
1000,8,4,19,52,5.2,0.9823,0.0086,0.9366,0.9383,0.9706,19.06,13.53,0.25,WholeBrain,blind
1000,1,1,13,24,2.4,0.998,0.0025,0.9756,0.9918,0.9944,7.96,3.72,0.25,WholeBrain,napari
1000,2,1,13,27,2.7,0.998,0.0025,0.974,0.9871,0.9947,7.78,3.62,0.25,WholeBrain,quint
