"scenario","model","fdr_adj_mean","fdr_adj_sd","fdr_adj_lo95","fdr_adj_hi95","fdr_raw_mean","fdr_raw_sd","fdr_raw_lo95","fdr_raw_hi95","fpr_adj_mean","fpr_adj_sd","fpr_adj_lo95","fpr_adj_hi95","fpr_raw_mean","fpr_raw_sd","fpr_raw_lo95","fpr_raw_hi95","power_adj_mean","power_adj_sd","power_adj_lo95","power_adj_hi95","power_raw_mean","power_raw_sd","power_raw_lo95","power_raw_hi95","bias_mean","bias_sd","bias_lo95","bias_hi95","rmse_mean","rmse_sd","rmse_lo95","rmse_hi95","ci_coverage_mean","ci_coverage_sd","ci_coverage_lo95","ci_coverage_hi95","n_seeds"
"null","dream_blind",1,0,1,1,1,0,1,1,0.00333411202340171,0.00274754851760857,0,0.00990900900900901,0.0867091133886057,0.0100622591108046,0.0652,0.1056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"null","dream_napari",1,0,1,1,1,0,1,1,0.00250072233037057,0.00275750834581922,0,0.00955,0.0795836763096164,0.0105686475833099,0.054,0.0970752502502503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","dream_quint",1,0,1,1,1,0,1,1,0.00250072233037057,0.00275750834581922,0,0.00955,0.0795836763096164,0.0105686475833099,0.054,0.0970752502502503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_blind",1,0,1,1,1,0,1,1,0.63022,0.0204043712803639,0.59035,0.6674,0.8007,0.0154738093406311,0.7759,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_napari",1,0,1,1,1,0,1,1,0.61422,0.0190897878458615,0.57325,0.642775,0.78156,0.0149763895815367,0.754675,0.802775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_quint",1,0,1,1,1,0,1,1,0.61422,0.0190897878458615,0.57325,0.642775,0.78156,0.0149763895815367,0.754675,0.802775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","wilcoxon",1,0,1,1,1,0,1,1,0.6431,0.0195325474058881,0.61,0.6921,0.80906,0.0135712932324079,0.78345,0.832775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","deseq2_pb",1,0,1,1,1,0,1,1,0.00176190419044802,0.00198770415966849,0,0.00601534332727913,0.079223681141053,0.00910633574680955,0.061125,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"shared","dream_blind",0.35022663162639,0.0869735153248807,0.162124311237268,0.456407555259851,0.577084336662784,0.0389550569995541,0.480559643413047,0.627399845032428,0.0567260204153258,0.0195939940986442,0.0193888888888889,0.0861666666666667,0.149879627863344,0.0221979516450267,0.0995277777777778,0.183944444444444,0.9032,0.0338929888601987,0.85225,0.95,0.9752,0.0156804831245854,0.94225,1,-0.217003241628526,0.0289081667823976,-0.260439241666291,-0.163705647381982,0.363672081902218,0.0295841921948904,0.301746520739656,0.423161786574955,0.573,0.0508398847122121,0.49,0.65,50
"shared","dream_napari",0.34730216017721,0.087602543268859,0.146875,0.461210317460317,0.573657219882842,0.0380161599965292,0.488017908017908,0.621621621621622,0.0565259711978912,0.0202124141616016,0.0174166666666667,0.0857825819829506,0.147923627038649,0.0216510583817124,0.103222222222222,0.179043103448276,0.9096,0.0316846708574815,0.85,0.96,0.9766,0.014372592966178,0.9445,1,-0.222532512220276,0.0290016682484374,-0.264665213512353,-0.166230993804376,0.364420870701378,0.0298499822707442,0.301643838979753,0.424899094646182,0.5508,0.0537887022505276,0.46,0.64775,50
"shared","dream_quint",0.34730216017721,0.087602543268859,0.146875,0.461210317460317,0.573657219882842,0.0380161599965292,0.488017908017908,0.621621621621622,0.0565259711978912,0.0202124141616016,0.0174166666666667,0.0857825819829506,0.147923627038649,0.0216510583817124,0.103222222222222,0.179043103448276,0.9096,0.0316846708574815,0.85,0.96,0.9766,0.014372592966178,0.9445,1,-0.222532512220276,0.0290016682484374,-0.264665213512353,-0.166230993804376,0.364420870701378,0.0298499822707442,0.301643838979753,0.424899094646182,0.5508,0.0537887022505276,0.46,0.64775,50
"shared","seurat_blind",0.861593253386945,0.00488635870497875,0.851164253558294,0.870844240837696,0.882655656611167,0.00204501862431146,0.877265051198199,0.88606876489298,0.687355555555556,0.0277808524375462,0.635472222222222,0.7475,0.833355555555556,0.0159165909817626,0.7935,0.858388888888889,0.9924,0.00770899289327546,0.98,1,0.9968,0.00512695955569325,0.99,1,-0.0699891018689809,0.0368471354947657,-0.126535831674674,0.00565194154143453,0.217725644622755,0.0941137896429998,0.162211354636602,0.565345425375276,NA,NA,NA,NA,50
"shared","seurat_napari",0.859821207648303,0.0048006780920686,0.851768568138536,0.869539675332047,0.881564047496805,0.00270446801573756,0.876100852704692,0.886775125668883,0.677111111111111,0.0274571059687357,0.634944444444445,0.735916666666667,0.824866666666667,0.0214595778026004,0.785722222222222,0.867027777777778,0.9922,0.0076371808026421,0.98,1,0.9968,0.00471212071499162,0.99,1,-0.0699891018689809,0.0368471354947657,-0.126535831674674,0.00565194154143453,0.217725644622755,0.0941137896429998,0.162211354636602,0.565345425375276,NA,NA,NA,NA,50
"shared","seurat_quint",0.859821207648303,0.0048006780920686,0.851768568138536,0.869539675332047,0.881564047496805,0.00270446801573756,0.876100852704692,0.886775125668883,0.677111111111111,0.0274571059687357,0.634944444444445,0.735916666666667,0.824866666666667,0.0214595778026004,0.785722222222222,0.867027777777778,0.9922,0.0076371808026421,0.98,1,0.9968,0.00471212071499162,0.99,1,-0.0699891018689809,0.0368471354947657,-0.126535831674674,0.00565194154143453,0.217725644622755,0.0941137896429998,0.162211354636602,0.565345425375276,NA,NA,NA,NA,50
"shared","wilcoxon",0.859298511348068,0.00464481909694895,0.849713756356342,0.868799080837787,0.881667266973577,0.00215978483554852,0.877899877899878,0.885386792680572,0.672577777777778,0.0253784060189661,0.626083333333333,0.732305555555555,0.825,0.0166405691367289,0.798027777777778,0.84975,0.99,0.0104978131833565,0.97,1,0.9962,0.00530306034093446,0.99,1,-0.0699891018689809,0.0368471354947657,-0.126535831674674,0.00565194154143453,0.217725644622755,0.0941137896429998,0.162211354636602,0.565345425375276,NA,NA,NA,NA,50
"shared","deseq2_pb",0.164194093118958,0.0372659356598674,0.0927518427518428,0.227446153846154,0.453177189357704,0.0283668970864665,0.398132530120482,0.497481697829248,0.0219545754262648,0.00583249425947618,0.0113864142538975,0.0326697324414716,0.0922957359910615,0.01038178241344,0.0733333333333333,0.110035117056856,0.99379595959596,0.00697461249526254,0.98,1,0.99619797979798,0.00490577028887291,0.99,1,-0.0417882364488405,0.0287395311657914,-0.0848008810736007,0.0357640477990031,0.21893439196209,0.153459970085537,0.157742847077711,0.70519465369755,0.850509090909091,0.0338996633584938,0.8,0.91,50
"region_specific","dream_blind",0.336737819943675,0.11316567262886,0.108905380333952,0.540158952781673,0.557949168865392,0.0488901382914061,0.464460367218988,0.640579710144928,0.0173740795964202,0.0105202257599835,0.00355555555555556,0.0397777777777778,0.109278342428351,0.0193130792280186,0.0744444444444444,0.145494994438265,0.278163265306122,0.0731913436761182,0.142,0.4,0.766122448979592,0.0387199521419843,0.694,0.836,-1.05410967005687,0.0215657921011475,-1.09763122826805,-1.01834146572552,1.07554532514371,0.0215513496068595,1.04058662523297,1.11838811197925,0.000408163265306122,0.00199914947901746,0,0.00799999999999997,49
"region_specific","dream_napari",0.309440403722618,0.115312309021464,0.0639857881136951,0.497954545454545,0.553565774636636,0.0557051555493756,0.455326162387231,0.664809782608696,0.0129142756710349,0.00779831646570713,0.00136111111111111,0.0308879310344828,0.097956574367461,0.0198606758195006,0.0649444444444444,0.136067853170189,0.2334,0.0706994212371311,0.1045,0.3655,0.6956,0.0443621460256377,0.61225,0.76775,-1.10108729021027,0.0226259349582556,-1.14745456425986,-1.06440465973173,1.12053047213395,0.0221289237239812,1.08503641599669,1.16741694071104,0,0,0,0,50
"region_specific","dream_quint",0.309440403722618,0.115312309021464,0.0639857881136951,0.497954545454545,0.553565774636636,0.0557051555493756,0.455326162387231,0.664809782608696,0.0129142756710349,0.00779831646570713,0.00136111111111111,0.0308879310344828,0.097956574367461,0.0198606758195006,0.0649444444444444,0.136067853170189,0.2334,0.0706994212371311,0.1045,0.3655,0.6956,0.0443621460256377,0.61225,0.76775,-1.10108729021027,0.0226259349582556,-1.14745456425986,-1.06440465973173,1.12053047213395,0.0221289237239812,1.08503641599669,1.16741694071104,0,0,0,0,50
"region_specific","dream_interaction",0.417195507349945,0.0814821164582698,0.228113162878788,0.512189703467594,0.617060309484507,0.0372785310846528,0.537786745964316,0.667661244128766,0.0810025395211574,0.024369800890802,0.0325,0.115555555555556,0.179014507659625,0.0269818211468731,0.128055555555556,0.222900815721172,0.976046511627907,0.0162039875873812,0.95,1,0.984651162790698,0.0136885139910215,0.96,1,-0.338149296252455,0.0343101135039674,-0.396875929854841,-0.286907477134999,0.50953822539942,0.046449192623025,0.434482076176657,0.612562085111302,0.564186046511628,0.0586041018448829,0.46,0.65,43
"region_specific","seurat_blind",0.856928939830629,0.0047536335076017,0.846075167069395,0.866509618924153,0.880324420494984,0.00254132477659856,0.873614197721804,0.884802035864355,0.650266666666667,0.0213249227562928,0.609416666666667,0.685305555555556,0.811088888888889,0.0169187139682105,0.768055555555556,0.83925,0.9762,0.0157648537019821,0.94,1,0.992,0.010690449676497,0.97,1,-0.834939581653761,0.0452061872712363,-0.903508395907195,-0.728981435116393,0.873466274821084,0.0494883182639776,0.792730587893968,0.99412373313315,NA,NA,NA,NA,50
"region_specific","seurat_napari",0.854062787658127,0.00504094991884353,0.845993251689519,0.865424566042049,0.878888787002228,0.00248126059751409,0.874600151067128,0.882691967938367,0.627311111111111,0.0211142019458355,0.59175,0.665055555555556,0.795288888888889,0.015856435785116,0.765333333333333,0.822333333333333,0.9638,0.018057730551015,0.93,0.99775,0.986,0.0119522860933439,0.96225,1,-0.834939581653761,0.0452061872712363,-0.903508395907195,-0.728981435116393,0.873466274821084,0.0494883182639776,0.792730587893968,0.99412373313315,NA,NA,NA,NA,50
"region_specific","seurat_quint",0.854062787658127,0.00504094991884353,0.845993251689519,0.865424566042049,0.878888787002228,0.00248126059751409,0.874600151067128,0.882691967938367,0.627311111111111,0.0211142019458355,0.59175,0.665055555555556,0.795288888888889,0.015856435785116,0.765333333333333,0.822333333333333,0.9638,0.018057730551015,0.93,0.99775,0.986,0.0119522860933439,0.96225,1,-0.834939581653761,0.0452061872712363,-0.903508395907195,-0.728981435116393,0.873466274821084,0.0494883182639776,0.792730587893968,0.99412373313315,NA,NA,NA,NA,50
"region_specific","wilcoxon",0.859755081080446,0.00480254751036292,0.848891938312234,0.867049009896135,0.881503783024861,0.00248445375776796,0.876543209876543,0.885187447786132,0.656666666666667,0.0213985680605402,0.617444444444444,0.692833333333333,0.815755555555556,0.016475379984347,0.785444444444445,0.842833333333333,0.9632,0.0193190188621451,0.92,0.99775,0.9866,0.0128745913349052,0.96225,1,-0.834939581653761,0.0452061872712363,-0.903508395907195,-0.728981435116393,0.873466274821084,0.0494883182639776,0.792730587893968,0.99412373313315,NA,NA,NA,NA,50
"region_specific","deseq2_pb",0.162414562239551,0.0395580354172347,0.0878458498023715,0.230232558139535,0.45321252725366,0.0283884931272998,0.392716802168022,0.497469862264691,0.0203086712492308,0.00598771259380925,0.00915156285999539,0.0324197324414716,0.090427534938937,0.0103862964852362,0.0713611111111111,0.107807134894091,0.926779797979798,0.0302179637451008,0.85125,0.97,0.975389898989899,0.0193084028129391,0.94,1,-0.781511643503785,0.0357075049732063,-0.83365235895719,-0.696055591076149,0.839503485941451,0.0809072770655205,0.774624968822467,1.11171407717357,0.0170040404040404,0.0112949800273838,0,0.04,50
"interaction","dream_blind",0.445973224745419,0.143908478353438,0.207619047619048,0.75327868852459,0.649205968506206,0.0540850563160227,0.548352272727273,0.747670118343195,0.0109151922494102,0.0095493964231968,0.00111138919787418,0.0330833333333333,0.104692208092855,0.018796490819664,0.0735833333333333,0.139819599109131,0.1034,0.0459196281006059,0.02,0.19775,0.4998,0.0557139194127153,0.42,0.59775,-1.22717536528532,0.0220832128931514,-1.26326877854686,-1.18028009329245,1.24068648889909,0.0220230871443069,1.19424778723199,1.27717484075693,0,0,0,0,50
"interaction","dream_napari",0.408128333897448,0.182878378924674,0,0.775555555555556,0.645311560669851,0.0646113883935497,0.522087057265806,0.773892223800577,0.00911496944968137,0.00891030175547204,0,0.0315,0.092669169378718,0.0196431646265324,0.0573055555555556,0.133728470675575,0.0942,0.0451794607478818,0.02225,0.17,0.447,0.0615530300651729,0.3245,0.54325,-1.25523652059577,0.0242963215243817,-1.29735787265849,-1.20628778524224,1.26888668014747,0.0238169721168331,1.22021106751181,1.30972929861854,0,0,0,0,50
"interaction","dream_quint",0.408128333897448,0.182878378924674,0,0.775555555555556,0.645311560669851,0.0646113883935497,0.522087057265806,0.773892223800577,0.00911496944968137,0.00891030175547204,0,0.0315,0.092669169378718,0.0196431646265324,0.0573055555555556,0.133728470675575,0.0942,0.0451794607478818,0.02225,0.17,0.447,0.0615530300651729,0.3245,0.54325,-1.25523652059577,0.0242963215243817,-1.29735787265849,-1.20628778524224,1.26888668014747,0.0238169721168331,1.22021106751181,1.30972929861854,0,0,0,0,50
"interaction","dream_interaction",0.377027097621162,0.103794838940991,0.166666666666667,0.529058888587938,0.594698331061891,0.0605364723354659,0.428193206767403,0.664522732478241,0.0703617805364855,0.0281741526791933,0.0222222222222222,0.122833333333333,0.16621810623204,0.0362818178596522,0.0832439129897417,0.218443115807688,0.9792,0.0188268154394692,0.9345,1,0.9872,0.0140029151483918,0.95225,1,-0.322690680778859,0.0455139679991143,-0.393533458857167,-0.22916449658478,0.501335299072352,0.050095728390187,0.41323311482468,0.604075139237018,0.5568,0.0544523757469754,0.449,0.65,50
"interaction","seurat_blind",0.861080009039029,0.00631663796028273,0.848172179390181,0.875584325644922,0.882055764895052,0.00339921158313166,0.875613201822879,0.890442730346577,0.640422222222222,0.0211473492534756,0.608027777777778,0.681083333333333,0.805555555555556,0.0180617903067612,0.767055555555556,0.834916666666667,0.929,0.0318958765168087,0.87225,0.98,0.969,0.01961361459678,0.92,0.99775,-0.924672185320956,0.0463636850363806,-0.988505857290786,-0.815650498889003,0.962033530860708,0.0491020433533074,0.880179108938391,1.06318220779556,NA,NA,NA,NA,50
"interaction","seurat_napari",0.866302976895201,0.00686024941390888,0.854427904012525,0.878299653552719,0.883220390791563,0.00337604213693252,0.876713509213841,0.888888888888889,0.619266666666667,0.0213816181652388,0.579277777777778,0.664027777777778,0.7874,0.01420188809977,0.762472222222222,0.813694444444444,0.8594,0.0383011695883655,0.77675,0.91,0.9368,0.0251071174557888,0.89,0.98,-0.924672185320956,0.0463636850363806,-0.988505857290786,-0.815650498889003,0.962033530860708,0.0491020433533074,0.880179108938391,1.06318220779556,NA,NA,NA,NA,50
"interaction","seurat_quint",0.866302976895201,0.00686024941390888,0.854427904012525,0.878299653552719,0.883220390791563,0.00337604213693252,0.876713509213841,0.888888888888889,0.619266666666667,0.0213816181652388,0.579277777777778,0.664027777777778,0.7874,0.01420188809977,0.762472222222222,0.813694444444444,0.8594,0.0383011695883655,0.77675,0.91,0.9368,0.0251071174557888,0.89,0.98,-0.924672185320956,0.0463636850363806,-0.988505857290786,-0.815650498889003,0.962033530860708,0.0491020433533074,0.880179108938391,1.06318220779556,NA,NA,NA,NA,50
"interaction","wilcoxon",0.872141345361745,0.00763575431353835,0.858237523320895,0.885688810660035,0.886828722887209,0.00357106276568172,0.881047149905009,0.893601160100701,0.651333333333333,0.0214479630071943,0.6115,0.6895,0.813288888888889,0.0158919886610494,0.785194444444445,0.838638888888889,0.8586,0.0447674262045473,0.79,0.94,0.9338,0.0255462765368646,0.88225,0.97,-0.924672185320956,0.0463636850363806,-0.988505857290786,-0.815650498889003,0.962033530860708,0.0491020433533074,0.880179108938391,1.06318220779556,NA,NA,NA,NA,50
"interaction","deseq2_pb",0.167139848907258,0.0407838008823925,0.0919156686010619,0.230408653846154,0.460485491148457,0.028067540915814,0.400637825300731,0.502028795811518,0.0193079033117188,0.00559133001214677,0.00915423162583519,0.0293277591973244,0.0901383985311268,0.0104351541867102,0.0713611111111111,0.108671125975474,0.8526,0.0433217671639106,0.78,0.92,0.944,0.0271052370871575,0.89225,0.99,-0.868035814715333,0.0370011852899619,-0.924182328691384,-0.78929536924086,0.926359239785565,0.0763591393155698,0.855679041731635,1.16013571607884,0.0116,0.00911603207631075,0,0.03,50
