"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.005,0.088,NA,NA,NA,NA,NA,1000,0,"null","1","dream_blind"
1,1,0.003,0.07,NA,NA,NA,NA,NA,1000,0,"null","1","dream_napari"
1,1,0.003,0.07,NA,NA,NA,NA,NA,1000,0,"null","1","dream_quint"
1,1,0.617,0.79,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_blind"
1,1,0.6,0.779,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_napari"
1,1,0.6,0.779,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_quint"
1,1,0.632,0.804,NA,NA,NA,NA,NA,1000,0,"null","1","wilcoxon"
NA,1,0,0.069,NA,NA,NA,NA,NA,1000,0,"null","1","deseq2_pb"
NA,1,0,0.082,NA,NA,NA,NA,NA,1000,0,"null","10","dream_napari"
NA,1,0,0.082,NA,NA,NA,NA,NA,1000,0,"null","10","dream_quint"
1,1,0.603,0.79,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_blind"
1,1,0.607,0.776,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_napari"
1,1,0.607,0.776,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_quint"
1,1,0.624,0.808,NA,NA,NA,NA,NA,1000,0,"null","10","wilcoxon"
1,1,0.007,0.074,NA,NA,NA,NA,NA,1000,0,"null","10","deseq2_pb"
1,1,0.001,0.065,NA,NA,NA,NA,NA,1000,0,"null","11","dream_blind"
NA,1,0,0.052,NA,NA,NA,NA,NA,1000,0,"null","11","dream_napari"
NA,1,0,0.052,NA,NA,NA,NA,NA,1000,0,"null","11","dream_quint"
1,1,0.629,0.808,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_blind"
1,1,0.609,0.757,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_napari"
1,1,0.609,0.757,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_quint"
1,1,0.636,0.804,NA,NA,NA,NA,NA,1000,0,"null","11","wilcoxon"
NA,1,0,0.074222668004012,NA,NA,NA,NA,NA,997,0,"null","11","deseq2_pb"
1,1,0.001,0.084,NA,NA,NA,NA,NA,1000,0,"null","12","dream_napari"
1,1,0.001,0.084,NA,NA,NA,NA,NA,1000,0,"null","12","dream_quint"
1,1,0.642,0.806,NA,NA,NA,NA,NA,1000,0,"null","12","seurat_blind"
1,1,0.632,0.793,NA,NA,NA,NA,NA,1000,0,"null","12","seurat_napari"
1,1,0.632,0.793,NA,NA,NA,NA,NA,1000,0,"null","12","seurat_quint"
1,1,0.656,0.819,NA,NA,NA,NA,NA,1000,0,"null","12","wilcoxon"
