"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.003,0.069,NA,NA,NA,NA,NA,1000,0,"null","1","dream_blind"
1,1,0.003,0.068,NA,NA,NA,NA,NA,1000,0,"null","1","dream_napari"
1,1,0.003,0.068,NA,NA,NA,NA,NA,1000,0,"null","1","dream_quint"
1,1,0.657,0.808,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_blind"
1,1,0.654,0.807,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_napari"
1,1,0.654,0.807,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_quint"
1,1,0.657,0.806,NA,NA,NA,NA,NA,1000,0,"null","1","wilcoxon"
NA,1,0,0.0660660660660661,NA,NA,NA,NA,NA,999,0,"null","1","deseq2_pb"
NA,1,0,0.073,NA,NA,NA,NA,NA,1000,0,"null","10","dream_blind"
NA,1,0,0.083,NA,NA,NA,NA,NA,1000,0,"null","10","dream_napari"
NA,1,0,0.083,NA,NA,NA,NA,NA,1000,0,"null","10","dream_quint"
1,1,0.646,0.818,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_blind"
1,1,0.657,0.817,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_napari"
1,1,0.657,0.817,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_quint"
1,1,0.653,0.82,NA,NA,NA,NA,NA,1000,0,"null","10","wilcoxon"
1,1,0.002002002002002,0.0730730730730731,NA,NA,NA,NA,NA,999,0,"null","10","deseq2_pb"
NA,1,0,0.061,NA,NA,NA,NA,NA,1000,0,"null","11","dream_blind"
NA,1,0,0.054,NA,NA,NA,NA,NA,1000,0,"null","11","dream_napari"
NA,1,0,0.054,NA,NA,NA,NA,NA,1000,0,"null","11","dream_quint"
1,1,0.66,0.817,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_blind"
1,1,0.652,0.786,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_napari"
1,1,0.652,0.786,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_quint"
1,1,0.656,0.812,NA,NA,NA,NA,NA,1000,0,"null","11","wilcoxon"
NA,1,0,0.0702106318956871,NA,NA,NA,NA,NA,997,0,"null","11","deseq2_pb"
1,1,0.001,0.088,NA,NA,NA,NA,NA,1000,0,"null","12","dream_blind"
1,1,0.001,0.086,NA,NA,NA,NA,NA,1000,0,"null","12","dream_napari"
1,1,0.001,0.086,NA,NA,NA,NA,NA,1000,0,"null","12","dream_quint"
1,1,0.686,0.828,NA,NA,NA,NA,NA,1000,0,"null","12","seurat_blind"
1,1,0.689,0.83,NA,NA,NA,NA,NA,1000,0,"null","12","seurat_napari"
1,1,0.689,0.83,NA,NA,NA,NA,NA,1000,0,"null","12","seurat_quint"
1,1,0.687,0.831,NA,NA,NA,NA,NA,1000,0,"null","12","wilcoxon"
NA,1,0,0.083,NA,NA,NA,NA,NA,1000,0,"null","12","deseq2_pb"
