"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.003,0.073,NA,NA,NA,NA,NA,1000,0,"null","1","dream_blind"
1,1,0.002,0.065,NA,NA,NA,NA,NA,1000,0,"null","1","dream_napari"
1,1,0.002,0.065,NA,NA,NA,NA,NA,1000,0,"null","1","dream_quint"
1,1,0.599,0.774,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_blind"
1,1,0.57,0.752,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_napari"
1,1,0.57,0.752,NA,NA,NA,NA,NA,1000,0,"null","1","seurat_quint"
1,1,0.602,0.769,NA,NA,NA,NA,NA,1000,0,"null","1","wilcoxon"
NA,1,0,0.0690690690690691,NA,NA,NA,NA,NA,999,0,"null","1","deseq2_pb"
NA,1,0,0.077,NA,NA,NA,NA,NA,1000,0,"null","10","dream_blind"
NA,1,0,0.075,NA,NA,NA,NA,NA,1000,0,"null","10","dream_napari"
NA,1,0,0.075,NA,NA,NA,NA,NA,1000,0,"null","10","dream_quint"
1,1,0.579,0.78,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_blind"
1,1,0.575,0.761,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_napari"
1,1,0.575,0.761,NA,NA,NA,NA,NA,1000,0,"null","10","seurat_quint"
1,1,0.596,0.786,NA,NA,NA,NA,NA,1000,0,"null","10","wilcoxon"
1,1,0.00600600600600601,0.0720720720720721,NA,NA,NA,NA,NA,999,0,"null","10","deseq2_pb"
NA,1,0,0.0700700700700701,NA,NA,NA,NA,NA,999,0,"null","11","dream_blind"
NA,1,0,0.0550550550550551,NA,NA,NA,NA,NA,999,0,"null","11","dream_napari"
NA,1,0,0.0550550550550551,NA,NA,NA,NA,NA,999,0,"null","11","dream_quint"
1,1,0.607,0.787,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_blind"
1,1,0.579,0.731,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_napari"
1,1,0.579,0.731,NA,NA,NA,NA,NA,1000,0,"null","11","seurat_quint"
1,1,0.615,0.798,NA,NA,NA,NA,NA,1000,0,"null","11","wilcoxon"
NA,1,0,0.0783132530120482,NA,NA,NA,NA,NA,996,0,"null","11","deseq2_pb"
1,1,0.003,0.091,NA,NA,NA,NA,NA,1000,0,"null","12","dream_blind"
1,1,0.001,0.083,NA,NA,NA,NA,NA,1000,0,"null","12","dream_napari"
1,1,0.001,0.083,NA,NA,NA,NA,NA,1000,0,"null","12","dream_quint"
1,1,0.634,0.791,NA,NA,NA,NA,NA,1000,0,"null","12","seurat_blind"
