"scenario","model","fdr_adj_mean","fdr_adj_sd","fdr_adj_lo95","fdr_adj_hi95","fdr_raw_mean","fdr_raw_sd","fdr_raw_lo95","fdr_raw_hi95","fpr_adj_mean","fpr_adj_sd","fpr_adj_lo95","fpr_adj_hi95","fpr_raw_mean","fpr_raw_sd","fpr_raw_lo95","fpr_raw_hi95","power_adj_mean","power_adj_sd","power_adj_lo95","power_adj_hi95","power_raw_mean","power_raw_sd","power_raw_lo95","power_raw_hi95","bias_mean","bias_sd","bias_lo95","bias_hi95","rmse_mean","rmse_sd","rmse_lo95","rmse_hi95","ci_coverage_mean","ci_coverage_sd","ci_coverage_lo95","ci_coverage_hi95","n_seeds"
"null","dream_blind",1,0,1,1,1,0,1,1,0.00264497844537925,0.00271506029818193,0,0.0079,0.0830632448970904,0.0118138511450788,0.0592,0.1018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"null","dream_napari",1,0,1,1,1,0,1,1,0.00246038050086195,0.00258894258159725,0,0.00955,0.0793605703195673,0.0116467052449286,0.053225,0.10055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","dream_quint",1,0,1,1,1,0,1,1,0.00246038050086195,0.00258894258159725,0,0.00955,0.0793605703195673,0.0116467052449286,0.053225,0.10055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_blind",1,0,1,1,1,0,1,1,0.66724,0.0199648262129748,0.631025,0.7083,0.82062,0.0134693756957274,0.800675,0.848325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_napari",1,0,1,1,1,0,1,1,0.6665,0.017912770498691,0.632675,0.698975,0.819,0.0139122615130741,0.79235,0.84255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_quint",1,0,1,1,1,0,1,1,0.6665,0.017912770498691,0.632675,0.698975,0.819,0.0139122615130741,0.79235,0.84255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","wilcoxon",1,0,1,1,1,0,1,1,0.6668,0.0199897933139563,0.635,0.71065,0.82116,0.0134382336059833,0.800225,0.84555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","deseq2_pb",1,0,1,1,1,0,1,1,0.000921062305876752,0.00124416190047195,0,0.00378324351812954,0.0770322183087175,0.00891205613215121,0.064,0.09365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"shared","dream_blind",0.342410322934188,0.0795153356490953,0.190983606557377,0.460205992509363,0.569463206446926,0.0365040848402158,0.493650793650794,0.619433198380567,0.0547998942936331,0.0185255271513011,0.0242222222222222,0.0876529477196885,0.144686242085006,0.02038780641789,0.104913607712273,0.178666666666667,0.909795918367347,0.0305838870920598,0.85,0.958,0.973061224489796,0.0163559471386625,0.94,1,-0.215267259001791,0.0259897117468209,-0.259660368906901,-0.168245373143641,0.362466265583799,0.0282595055504394,0.309398106083983,0.420562467433208,0.568571428571429,0.0484338036224013,0.474,0.64,49
"shared","dream_napari",0.336731184744768,0.0812225269121939,0.199097159524967,0.456816189362946,0.562856497953189,0.0403235638149919,0.463080706068324,0.622607763753275,0.0535072869054373,0.0187956126485077,0.0266666666666667,0.0878534482758621,0.141204321940378,0.0219064663687341,0.0930258620689655,0.176210326288469,0.909389898989899,0.0296376896953732,0.85225,0.95775,0.9734,0.0161131205252498,0.94225,1,-0.2212747799023,0.0260923846678493,-0.264315159181658,-0.174741252199639,0.363448681819203,0.028399417326852,0.310623956179802,0.422213058911853,0.559113131313131,0.0510087367329822,0.4645,0.63775,50
