"scenario","model","fdr_adj_mean","fdr_adj_sd","fdr_adj_lo95","fdr_adj_hi95","fdr_raw_mean","fdr_raw_sd","fdr_raw_lo95","fdr_raw_hi95","fpr_adj_mean","fpr_adj_sd","fpr_adj_lo95","fpr_adj_hi95","fpr_raw_mean","fpr_raw_sd","fpr_raw_lo95","fpr_raw_hi95","power_adj_mean","power_adj_sd","power_adj_lo95","power_adj_hi95","power_raw_mean","power_raw_sd","power_raw_lo95","power_raw_hi95","bias_mean","bias_sd","bias_lo95","bias_hi95","rmse_mean","rmse_sd","rmse_lo95","rmse_hi95","ci_coverage_mean","ci_coverage_sd","ci_coverage_lo95","ci_coverage_hi95","n_seeds"
"null","dream_blind",1,0,1,1,1,0,1,1,0.0035207410215827,0.00313183135413905,0,0.011325,0.0888649127684799,0.0105382074782496,0.0645907657657658,0.108167735470942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","dream_napari",1,0,1,1,1,0,1,1,0.00266050058074106,0.0025605049981122,0,0.008,0.0794858758558157,0.0106213809309383,0.0563926676676677,0.0979272044088176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","dream_quint",1,0,1,1,1,0,1,1,0.00266050058074106,0.0025605049981122,0,0.008,0.0794858758558157,0.0106213809309383,0.0563926676676677,0.0979272044088176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_blind",1,0,1,1,1,0,1,1,0.61056,0.0191696614046088,0.577,0.646,0.78904,0.0155929863877897,0.754925,0.81965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_napari",1,0,1,1,1,0,1,1,0.5893,0.0187641103368823,0.557225,0.626,0.76584,0.0144142220018414,0.7337,0.790775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","seurat_quint",1,0,1,1,1,0,1,1,0.5893,0.0187641103368823,0.557225,0.626,0.76584,0.0144142220018414,0.7337,0.790775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","wilcoxon",1,0,1,1,1,0,1,1,0.62068,0.018662895634638,0.587475,0.654325,0.79634,0.014779481087795,0.769,0.82155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"null","deseq2_pb",1,0,1,1,1,0,1,1,0.00196216420950419,0.00187539340886801,0,0.00578303981012105,0.0799302464755205,0.00906735567865559,0.063125,0.0980980980980981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"shared","dream_blind",0.348127112069905,0.0922400917799653,0.151728558431891,0.481897321428571,0.577009469189998,0.0420349441466077,0.483000569676912,0.636885827994851,0.0559226300828081,0.0204643837562298,0.0182777777777778,0.0919444444444444,0.15023082437276,0.0244366281321212,0.103333333333333,0.185166666666667,0.8966,0.034322004603461,0.83,0.95,0.9756,0.0179750393828867,0.95,1,-0.221733431859793,0.0260453748937886,-0.274346455527484,-0.180659316766273,0.367760298236753,0.0287230150869876,0.3215982223433,0.429983727572301,0.5792,0.0472008301552731,0.49,0.65775,50
"shared","dream_napari",0.346164059954294,0.0920642554144676,0.156165677280086,0.481937351038475,0.568153416100062,0.0435940333546938,0.476981981981982,0.637946218016743,0.0557460157963742,0.0206970959983922,0.0177822271659869,0.0923333333333333,0.145122882390976,0.0249451307213724,0.0985277777777778,0.186777777777778,0.9004,0.0335005330447997,0.84,0.95,0.976,0.0170233932683043,0.95,1,-0.228439830703044,0.0258509714023819,-0.278058965076154,-0.189748292613429,0.368832664507933,0.0285675790327103,0.323431173352116,0.430810754105136,0.5626,0.0449857120174204,0.47225,0.63,50
