"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.006,0.057,NA,NA,NA,NA,NA,1000,0,"null","1","stratified_combined"
1,1,0.017,0.06,NA,NA,NA,NA,NA,1000,0,"null","10","stratified_combined"
1,1,0.005,0.042,NA,NA,NA,NA,NA,1000,0,"null","11","stratified_combined"
1,1,0.007,0.058,NA,NA,NA,NA,NA,1000,0,"null","12","stratified_combined"
1,1,0.005005005005005,0.0520520520520521,NA,NA,NA,NA,NA,999,0,"null","13","stratified_combined"
1,1,0.004,0.063,NA,NA,NA,NA,NA,1000,0,"null","14","stratified_combined"
1,1,0.006,0.058,NA,NA,NA,NA,NA,1000,0,"null","15","stratified_combined"
1,1,0.008,0.055,NA,NA,NA,NA,NA,1000,0,"null","16","stratified_combined"
1,1,0.007,0.06,NA,NA,NA,NA,NA,1000,0,"null","17","stratified_combined"
1,1,0.013013013013013,0.0670670670670671,NA,NA,NA,NA,NA,999,0,"null","18","stratified_combined"
1,1,0.007,0.056,NA,NA,NA,NA,NA,1000,0,"null","19","stratified_combined"
1,1,0.009,0.068,NA,NA,NA,NA,NA,1000,0,"null","2","stratified_combined"
1,1,0.01,0.066,NA,NA,NA,NA,NA,1000,0,"null","20","stratified_combined"
1,1,0.01,0.063,NA,NA,NA,NA,NA,1000,0,"null","21","stratified_combined"
1,1,0.007,0.053,NA,NA,NA,NA,NA,1000,0,"null","22","stratified_combined"
1,1,0.012,0.051,NA,NA,NA,NA,NA,1000,0,"null","23","stratified_combined"
1,1,0.006,0.048,NA,NA,NA,NA,NA,1000,0,"null","24","stratified_combined"
1,1,0.008,0.06,NA,NA,NA,NA,NA,1000,0,"null","25","stratified_combined"
1,1,0.008,0.047,NA,NA,NA,NA,NA,1000,0,"null","26","stratified_combined"
1,1,0.007,0.063,NA,NA,NA,NA,NA,1000,0,"null","27","stratified_combined"
1,1,0.014,0.058,NA,NA,NA,NA,NA,1000,0,"null","28","stratified_combined"
