"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","region","model"
1,1,0.001,0.066,NA,NA,NA,NA,NA,1000,0,"null","1","Cortex","stratified_Cortex"
1,1,0.007,0.061,NA,NA,NA,NA,NA,1000,0,"null","1","Olfactory","stratified_Olfactory"
1,1,0.003,0.063,NA,NA,NA,NA,NA,1000,0,"null","1","Striatum","stratified_Striatum"
1,1,0.004,0.072,NA,NA,NA,NA,NA,1000,0,"null","10","Cerebellum","stratified_Cerebellum"
1,1,0.002,0.085,NA,NA,NA,NA,NA,1000,0,"null","10","Cortex","stratified_Cortex"
1,1,0.004,0.075,NA,NA,NA,NA,NA,1000,0,"null","10","Hippocampus","stratified_Hippocampus"
1,1,0.006,0.075,NA,NA,NA,NA,NA,1000,0,"null","10","Olfactory","stratified_Olfactory"
1,1,0.007,0.084,NA,NA,NA,NA,NA,1000,0,"null","10","Striatum","stratified_Striatum"
1,1,0.00801603206412826,0.0601202404809619,NA,NA,NA,NA,NA,998,0,"null","11","Cerebellum","stratified_Cerebellum"
NA,1,0,0.058,NA,NA,NA,NA,NA,1000,0,"null","11","Cortex","stratified_Cortex"
1,1,0.00200601805416249,0.0682046138415246,NA,NA,NA,NA,NA,997,0,"null","11","Hippocampus","stratified_Hippocampus"
NA,1,0,0.064128256513026,NA,NA,NA,NA,NA,998,0,"null","11","Olfactory","stratified_Olfactory"
1,1,0.00200400801603206,0.0581162324649299,NA,NA,NA,NA,NA,998,0,"null","11","Striatum","stratified_Striatum"
1,1,0.003,0.08,NA,NA,NA,NA,NA,1000,0,"null","12","Cortex","stratified_Cortex"
1,1,0.005,0.081,NA,NA,NA,NA,NA,1000,0,"null","12","Hippocampus","stratified_Hippocampus"
1,1,0.003,0.079,NA,NA,NA,NA,NA,1000,0,"null","12","Olfactory","stratified_Olfactory"
NA,1,0,0.074,NA,NA,NA,NA,NA,1000,0,"null","12","Striatum","stratified_Striatum"
1,1,0.00200601805416249,0.0581745235707121,NA,NA,NA,NA,NA,997,0,"null","13","Cerebellum","stratified_Cerebellum"
1,1,0.002002002002002,0.0720720720720721,NA,NA,NA,NA,NA,999,0,"null","13","Cortex","stratified_Cortex"
1,1,0.00501504513540622,0.0641925777331996,NA,NA,NA,NA,NA,997,0,"null","13","Hippocampus","stratified_Hippocampus"
1,1,0.00501504513540622,0.078234704112337,NA,NA,NA,NA,NA,997,0,"null","13","Olfactory","stratified_Olfactory"
1,1,0.009,0.085,NA,NA,NA,NA,NA,1000,0,"null","14","Cerebellum","stratified_Cerebellum"
1,1,0.001001001001001,0.0860860860860861,NA,NA,NA,NA,NA,999,0,"null","14","Cortex","stratified_Cortex"
1,1,0.001001001001001,0.0750750750750751,NA,NA,NA,NA,NA,999,0,"null","14","Hippocampus","stratified_Hippocampus"
1,1,0.00200400801603206,0.0811623246492986,NA,NA,NA,NA,NA,998,0,"null","14","Olfactory","stratified_Olfactory"
1,1,0.00200400801603206,0.094188376753507,NA,NA,NA,NA,NA,998,0,"null","14","Striatum","stratified_Striatum"
1,1,0.003,0.069,NA,NA,NA,NA,NA,1000,0,"null","15","Cerebellum","stratified_Cerebellum"
NA,1,0,0.064,NA,NA,NA,NA,NA,1000,0,"null","15","Cortex","stratified_Cortex"
1,1,0.001,0.073,NA,NA,NA,NA,NA,1000,0,"null","15","Hippocampus","stratified_Hippocampus"
1,1,0.002,0.072,NA,NA,NA,NA,NA,1000,0,"null","15","Olfactory","stratified_Olfactory"
1,1,0.001,0.074,NA,NA,NA,NA,NA,1000,0,"null","15","Striatum","stratified_Striatum"
1,1,0.00100200400801603,0.0771543086172345,NA,NA,NA,NA,NA,998,0,"null","16","Cerebellum","stratified_Cerebellum"
1,1,0.005,0.074,NA,NA,NA,NA,NA,1000,0,"null","16","Cortex","stratified_Cortex"
