"scenario","region","fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_seeds"
"interaction","Cerebellum",0.8296632996633,0.894036157099338,0.0034053290871572,0.0733375481889144,0.00459814986600701,0.0774015237408095,-1.49720456529936,1.50628966629597,0,48
"interaction","Cortex",0.37873853386243,0.604710960673248,0.0686821272438567,0.169399418095061,0.9722,0.983,-0.303738747578906,0.496205741285878,0.5238,50
"interaction","Hippocampus",0.231841054859658,0.5140728999844,0.0329447490713636,0.117250381571305,0.9624,0.9862,-2.69300066616368,2.73146871547827,0,50
"interaction","Olfactory",0.826162131519274,0.886876767800481,0.00300230304105727,0.0721284015570305,0.00420812203669347,0.08206097711812,-1.49834648588716,1.50752229421185,0,50
"interaction","Striatum",0.923344947735192,0.889607721535582,0.00326933921832487,0.0745582081632766,0.0026020202020202,0.0822868686868687,-1.49827148157398,1.5073564388415,0,50
"null","Cerebellum",1,1,0.00372451983700426,0.0743673951009523,NA,NA,NA,NA,NA,43
"null","Cortex",1,1,0.00322596225238736,0.0762211121786544,NA,NA,NA,NA,NA,49
"null","Hippocampus",1,1,0.0030645788762169,0.0757912324926405,NA,NA,NA,NA,NA,49
"null","Olfactory",1,1,0.00312226587755766,0.0731226469376474,NA,NA,NA,NA,NA,50
"null","Striatum",1,1,0.00318620882598013,0.0752930352860455,NA,NA,NA,NA,NA,49
"region_specific","Cerebellum",0.826301054018445,0.894230691020392,0.00356324805881403,0.0735685801383136,0.00491247333812932,0.077454553868548,-1.49728459676194,1.50639042187584,0,49
"region_specific","Cortex",0.3677102038026,0.595642662443931,0.0655012586210961,0.164063266540228,0.9734,0.9846,-0.300242814712641,0.494018577431883,0.5278,50
"region_specific","Hippocampus",0.89963924963925,0.894343415229994,0.00307008243793403,0.0750530994458009,0.0036040404040404,0.0798808080808081,-1.49878924108215,1.50779642573985,0,50
"region_specific","Olfactory",0.826162131519274,0.886876767800481,0.00300230304105727,0.0721284015570305,0.00420812203669347,0.08206097711812,-1.49834648588993,1.50752229421476,0,50
"region_specific","Striatum",0.923344947735192,0.889607721535582,0.00326933921832487,0.0745582081632766,0.0026020202020202,0.0822868686868687,-1.49827148157461,1.50735643884195,0,50
"shared","Cerebellum",0.298138502257348,0.545402677136729,0.0397209898960284,0.125415401518508,0.814029424681599,0.92713658322354,-0.218977373163088,0.449059329799846,0.504685990338164,46
"shared","Cortex",0.3004273696318,0.549419049769451,0.0431566420464509,0.130870396398162,0.8642,0.9518,-0.204845511811415,0.402463600524848,0.52,50
"shared","Hippocampus",0.273817644535512,0.54048773330966,0.0365930830849495,0.123991818867386,0.828545454545455,0.934585858585859,-0.218743242182109,0.442310515573093,0.513818181818182,50
"shared","Olfactory",0.291442358248869,0.546879787768103,0.0399240195833945,0.126707481424039,0.826933333333333,0.929173737373737,-0.219965286289107,0.449168961831542,0.51139595959596,50
"shared","Striatum",0.280712990296559,0.540412396956813,0.0377040399610968,0.123049600511208,0.829347474747475,0.927791919191919,-0.213272989144007,0.45097576540656,0.511826262626263,50
