"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","model"
1,1,0.009,0.053,NA,NA,NA,NA,NA,1000,0,"null","1","stratified_combined"
1,1,0.019,0.062,NA,NA,NA,NA,NA,1000,0,"null","10","stratified_combined"
1,1,0.003003003003003,0.042042042042042,NA,NA,NA,NA,NA,999,0,"null","11","stratified_combined"
1,1,0.006,0.063,NA,NA,NA,NA,NA,1000,0,"null","12","stratified_combined"
1,1,0.00700700700700701,0.0580580580580581,NA,NA,NA,NA,NA,999,0,"null","13","stratified_combined"
1,1,0.01,0.056,NA,NA,NA,NA,NA,1000,0,"null","14","stratified_combined"
1,1,0.012,0.06,NA,NA,NA,NA,NA,1000,0,"null","15","stratified_combined"
1,1,0.00800800800800801,0.0640640640640641,NA,NA,NA,NA,NA,999,0,"null","16","stratified_combined"
1,1,0.015,0.065,NA,NA,NA,NA,NA,1000,0,"null","17","stratified_combined"
1,1,0.014,0.067,NA,NA,NA,NA,NA,1000,0,"null","18","stratified_combined"
1,1,0.00800800800800801,0.0620620620620621,NA,NA,NA,NA,NA,999,0,"null","19","stratified_combined"
1,1,0.009,0.076,NA,NA,NA,NA,NA,1000,0,"null","2","stratified_combined"
1,1,0.017,0.066,NA,NA,NA,NA,NA,1000,0,"null","20","stratified_combined"
1,1,0.01,0.063,NA,NA,NA,NA,NA,1000,0,"null","21","stratified_combined"
1,1,0.001,0.056,NA,NA,NA,NA,NA,1000,0,"null","22","stratified_combined"
1,1,0.016,0.047,NA,NA,NA,NA,NA,1000,0,"null","23","stratified_combined"
1,1,0.007,0.056,NA,NA,NA,NA,NA,1000,0,"null","24","stratified_combined"
1,1,0.014,0.067,NA,NA,NA,NA,NA,1000,0,"null","25","stratified_combined"
1,1,0.01,0.052,NA,NA,NA,NA,NA,1000,0,"null","26","stratified_combined"
1,1,0.007,0.057,NA,NA,NA,NA,NA,1000,0,"null","27","stratified_combined"
1,1,0.018,0.062,NA,NA,NA,NA,NA,1000,0,"null","28","stratified_combined"
1,1,0.0100200400801603,0.0831663326653307,NA,NA,NA,NA,NA,998,0,"null","29","stratified_combined"
1,1,0.017,0.062,NA,NA,NA,NA,NA,1000,0,"null","3","stratified_combined"
1,1,0.007,0.063,NA,NA,NA,NA,NA,1000,0,"null","30","stratified_combined"
1,1,0.013,0.068,NA,NA,NA,NA,NA,1000,0,"null","31","stratified_combined"
1,1,0.009,0.059,NA,NA,NA,NA,NA,1000,0,"null","32","stratified_combined"
1,1,0.001,0.056,NA,NA,NA,NA,NA,1000,0,"null","33","stratified_combined"
1,1,0.012,0.047,NA,NA,NA,NA,NA,1000,0,"null","34","stratified_combined"
1,1,0.012,0.063,NA,NA,NA,NA,NA,1000,0,"null","35","stratified_combined"
1,1,0.00900900900900901,0.0520520520520521,NA,NA,NA,NA,NA,999,0,"null","36","stratified_combined"
1,1,0.009,0.052,NA,NA,NA,NA,NA,1000,0,"null","37","stratified_combined"
1,1,0.015,0.065,NA,NA,NA,NA,NA,1000,0,"null","38","stratified_combined"
1,1,0.003,0.038,NA,NA,NA,NA,NA,1000,0,"null","39","stratified_combined"
1,1,0.003,0.046,NA,NA,NA,NA,NA,1000,0,"null","4","stratified_combined"
1,1,0.016,0.062,NA,NA,NA,NA,NA,1000,0,"null","40","stratified_combined"
1,1,0.011,0.058,NA,NA,NA,NA,NA,1000,0,"null","41","stratified_combined"
1,1,0.014,0.074,NA,NA,NA,NA,NA,1000,0,"null","42","stratified_combined"
1,1,0.008,0.05,NA,NA,NA,NA,NA,1000,0,"null","43","stratified_combined"
1,1,0.0140280561122244,0.0801603206412826,NA,NA,NA,NA,NA,998,0,"null","44","stratified_combined"
1,1,0.009,0.069,NA,NA,NA,NA,NA,1000,0,"null","45","stratified_combined"
1,1,0.009,0.067,NA,NA,NA,NA,NA,1000,0,"null","46","stratified_combined"
1,1,0.00800800800800801,0.0540540540540541,NA,NA,NA,NA,NA,999,0,"null","47","stratified_combined"
1,1,0.011,0.069,NA,NA,NA,NA,NA,1000,0,"null","48","stratified_combined"
1,1,0.019,0.065,NA,NA,NA,NA,NA,1000,0,"null","49","stratified_combined"
1,1,0.011,0.051,NA,NA,NA,NA,NA,1000,0,"null","5","stratified_combined"
1,1,0.012012012012012,0.0690690690690691,NA,NA,NA,NA,NA,999,0,"null","50","stratified_combined"
1,1,0.00700700700700701,0.0510510510510511,NA,NA,NA,NA,NA,999,0,"null","6","stratified_combined"
1,1,0.003003003003003,0.0530530530530531,NA,NA,NA,NA,NA,999,0,"null","7","stratified_combined"
1,1,0.005005005005005,0.0530530530530531,NA,NA,NA,NA,NA,999,0,"null","8","stratified_combined"
1,1,0.011,0.058,NA,NA,NA,NA,NA,1000,0,"null","9","stratified_combined"
0.377622377622378,0.49740932642487,0.06,0.106666666666667,0.89,0.97,-0.00236692784645739,0.384969125159991,NA,1000,100,"shared","1","stratified_combined"
0.236842105263158,0.432926829268293,0.03,0.0788888888888889,0.87,0.93,-0.107451595283612,0.451687558330427,NA,1000,100,"shared","10","stratified_combined"
0.35,0.489583333333333,0.0544444444444444,0.104444444444444,0.91,0.98,0.00779338422658277,0.459768644797493,NA,1000,100,"shared","11","stratified_combined"
0.442953020134228,0.570093457943925,0.0733333333333333,0.135555555555556,0.83,0.92,-0.117511118265388,0.49417919421057,NA,1000,100,"shared","12","stratified_combined"
0.307692307692308,0.459459459459459,0.0444938820912125,0.0945494994438265,0.9,1,-0.0890587358178757,0.42833177560857,NA,999,100,"shared","13","stratified_combined"
0.333333333333333,0.492307692307692,0.0488888888888889,0.106666666666667,0.88,0.99,-0.0473848247719561,0.387884661728102,NA,1000,100,"shared","14","stratified_combined"
0.222222222222222,0.425149700598802,0.0266666666666667,0.0788888888888889,0.84,0.96,0.0123012675020783,0.511875485229257,NA,1000,100,"shared","15","stratified_combined"
0.377622377622378,0.547169811320755,0.0600667408231368,0.129032258064516,0.89,0.96,-0.058906009413532,0.401709862070591,NA,999,100,"shared","16","stratified_combined"
0.37593984962406,0.494623655913978,0.0555555555555556,0.102222222222222,0.83,0.94,-0.0563770998730875,0.460414408961004,NA,1000,100,"shared","17","stratified_combined"
0.452229299363057,0.570093457943925,0.0788888888888889,0.135555555555556,0.86,0.92,-0.109935915321997,0.46338996013172,NA,1000,100,"shared","18","stratified_combined"
0.184210526315789,0.392638036809816,0.0233592880978865,0.0711902113459399,0.93,0.99,-0.0384555562566629,0.427090745394199,NA,999,100,"shared","19","stratified_combined"
0.375,0.547169811320755,0.06,0.128888888888889,0.9,0.96,-0.0489857538829671,0.488669449887457,NA,1000,100,"shared","2","stratified_combined"
0.455696202531646,0.558139534883721,0.08,0.133333333333333,0.86,0.95,-0.00247761551440944,0.460220941786948,NA,1000,100,"shared","20","stratified_combined"
0.338028169014085,0.49740932642487,0.0533333333333333,0.106666666666667,0.94,0.97,-0.0183721982322289,0.439250545578828,NA,1000,100,"shared","21","stratified_combined"
