"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","region","model"
1,1,0.002,0.05,NA,NA,NA,NA,NA,1000,0,"null","1","Cerebellum","stratified_Cerebellum"
1,1,0.001001001001001,0.0690690690690691,NA,NA,NA,NA,NA,999,0,"null","1","Cortex","stratified_Cortex"
1,1,0.004004004004004,0.0620620620620621,NA,NA,NA,NA,NA,999,0,"null","1","Hippocampus","stratified_Hippocampus"
1,1,0.004004004004004,0.0620620620620621,NA,NA,NA,NA,NA,999,0,"null","1","Olfactory","stratified_Olfactory"
1,1,0.004004004004004,0.0550550550550551,NA,NA,NA,NA,NA,999,0,"null","1","Striatum","stratified_Striatum"
1,1,0.001001001001001,0.0670670670670671,NA,NA,NA,NA,NA,999,0,"null","10","Cerebellum","stratified_Cerebellum"
1,1,0.00700700700700701,0.0810810810810811,NA,NA,NA,NA,NA,999,0,"null","10","Cortex","stratified_Cortex"
1,1,0.002002002002002,0.0830830830830831,NA,NA,NA,NA,NA,999,0,"null","10","Hippocampus","stratified_Hippocampus"
1,1,0.00800800800800801,0.0770770770770771,NA,NA,NA,NA,NA,999,0,"null","10","Olfactory","stratified_Olfactory"
1,1,0.006,0.077,NA,NA,NA,NA,NA,1000,0,"null","10","Striatum","stratified_Striatum"
NA,1,0,0.064128256513026,NA,NA,NA,NA,NA,998,0,"null","11","Cerebellum","stratified_Cerebellum"
NA,1,0,0.0460921843687375,NA,NA,NA,NA,NA,998,0,"null","11","Cortex","stratified_Cortex"
NA,1,0,0.0531594784353059,NA,NA,NA,NA,NA,997,0,"null","11","Hippocampus","stratified_Hippocampus"
1,1,0.00400801603206413,0.0681362725450902,NA,NA,NA,NA,NA,998,0,"null","11","Olfactory","stratified_Olfactory"
1,1,0.00100200400801603,0.0551102204408818,NA,NA,NA,NA,NA,998,0,"null","11","Striatum","stratified_Striatum"
NA,1,0,0.078,NA,NA,NA,NA,NA,1000,0,"null","12","Cerebellum","stratified_Cerebellum"
1,1,0.002,0.083,NA,NA,NA,NA,NA,1000,0,"null","12","Cortex","stratified_Cortex"
1,1,0.003,0.08,NA,NA,NA,NA,NA,1000,0,"null","12","Hippocampus","stratified_Hippocampus"
1,1,0.002,0.083,NA,NA,NA,NA,NA,1000,0,"null","12","Olfactory","stratified_Olfactory"
NA,1,0,0.076,NA,NA,NA,NA,NA,1000,0,"null","12","Striatum","stratified_Striatum"
1,1,0.00200400801603206,0.0591182364729459,NA,NA,NA,NA,NA,998,0,"null","13","Cerebellum","stratified_Cerebellum"
1,1,0.003003003003003,0.0810810810810811,NA,NA,NA,NA,NA,999,0,"null","13","Cortex","stratified_Cortex"
1,1,0.00601202404809619,0.06312625250501,NA,NA,NA,NA,NA,998,0,"null","13","Hippocampus","stratified_Hippocampus"
1,1,0.00601202404809619,0.0811623246492986,NA,NA,NA,NA,NA,998,0,"null","13","Olfactory","stratified_Olfactory"
1,1,0.00501002004008016,0.0811623246492986,NA,NA,NA,NA,NA,998,0,"null","13","Striatum","stratified_Striatum"
1,1,0.005,0.077,NA,NA,NA,NA,NA,1000,0,"null","14","Cerebellum","stratified_Cerebellum"
1,1,0.002002002002002,0.0770770770770771,NA,NA,NA,NA,NA,999,0,"null","14","Cortex","stratified_Cortex"
1,1,0.001001001001001,0.0810810810810811,NA,NA,NA,NA,NA,999,0,"null","14","Hippocampus","stratified_Hippocampus"
1,1,0.00501002004008016,0.0751503006012024,NA,NA,NA,NA,NA,998,0,"null","14","Olfactory","stratified_Olfactory"
1,1,0.00501002004008016,0.0881763527054108,NA,NA,NA,NA,NA,998,0,"null","14","Striatum","stratified_Striatum"
NA,1,0,0.074,NA,NA,NA,NA,NA,1000,0,"null","15","Cerebellum","stratified_Cerebellum"
1,1,0.004,0.062,NA,NA,NA,NA,NA,1000,0,"null","15","Cortex","stratified_Cortex"
1,1,0.002,0.073,NA,NA,NA,NA,NA,1000,0,"null","15","Hippocampus","stratified_Hippocampus"
1,1,0.002,0.079,NA,NA,NA,NA,NA,1000,0,"null","15","Olfactory","stratified_Olfactory"
1,1,0.006,0.076,NA,NA,NA,NA,NA,1000,0,"null","15","Striatum","stratified_Striatum"
1,1,0.00300902708124373,0.0712136409227683,NA,NA,NA,NA,NA,997,0,"null","16","Cerebellum","stratified_Cerebellum"
1,1,0.00100200400801603,0.0771543086172345,NA,NA,NA,NA,NA,998,0,"null","16","Cortex","stratified_Cortex"
1,1,0.00400801603206413,0.0741482965931864,NA,NA,NA,NA,NA,998,0,"null","16","Hippocampus","stratified_Hippocampus"
1,1,0.00802407221664995,0.0812437311935807,NA,NA,NA,NA,NA,997,0,"null","16","Olfactory","stratified_Olfactory"
NA,1,0,0.0791583166332665,NA,NA,NA,NA,NA,998,0,"null","16","Striatum","stratified_Striatum"
1,1,0.008,0.074,NA,NA,NA,NA,NA,1000,0,"null","17","Cerebellum","stratified_Cerebellum"
1,1,0.004,0.071,NA,NA,NA,NA,NA,1000,0,"null","17","Cortex","stratified_Cortex"
1,1,0.001,0.07,NA,NA,NA,NA,NA,1000,0,"null","17","Hippocampus","stratified_Hippocampus"
1,1,0.004,0.069,NA,NA,NA,NA,NA,1000,0,"null","17","Olfactory","stratified_Olfactory"
1,1,0.009,0.072,NA,NA,NA,NA,NA,1000,0,"null","17","Striatum","stratified_Striatum"
1,1,0.003003003003003,0.0860860860860861,NA,NA,NA,NA,NA,999,0,"null","18","Cerebellum","stratified_Cerebellum"
1,1,0.001001001001001,0.0800800800800801,NA,NA,NA,NA,NA,999,0,"null","18","Cortex","stratified_Cortex"
1,1,0.00701402805611222,0.0801603206412826,NA,NA,NA,NA,NA,998,0,"null","18","Hippocampus","stratified_Hippocampus"
1,1,0.002002002002002,0.0870870870870871,NA,NA,NA,NA,NA,999,0,"null","18","Olfactory","stratified_Olfactory"
1,1,0.002002002002002,0.0770770770770771,NA,NA,NA,NA,NA,999,0,"null","18","Striatum","stratified_Striatum"
1,1,0.00501002004008016,0.0781563126252505,NA,NA,NA,NA,NA,998,0,"null","19","Cerebellum","stratified_Cerebellum"
1,1,0.00200400801603206,0.0841683366733467,NA,NA,NA,NA,NA,998,0,"null","19","Cortex","stratified_Cortex"
1,1,0.002002002002002,0.0780780780780781,NA,NA,NA,NA,NA,999,0,"null","19","Hippocampus","stratified_Hippocampus"
NA,1,0,0.0780780780780781,NA,NA,NA,NA,NA,999,0,"null","19","Olfactory","stratified_Olfactory"
1,1,0.00200400801603206,0.0771543086172345,NA,NA,NA,NA,NA,998,0,"null","19","Striatum","stratified_Striatum"
1,1,0.005,0.096,NA,NA,NA,NA,NA,1000,0,"null","2","Cerebellum","stratified_Cerebellum"
1,1,0.003,0.091,NA,NA,NA,NA,NA,1000,0,"null","2","Cortex","stratified_Cortex"
1,1,0.004004004004004,0.0820820820820821,NA,NA,NA,NA,NA,999,0,"null","2","Hippocampus","stratified_Hippocampus"
1,1,0.004,0.116,NA,NA,NA,NA,NA,1000,0,"null","2","Olfactory","stratified_Olfactory"
1,1,0.002002002002002,0.0880880880880881,NA,NA,NA,NA,NA,999,0,"null","2","Striatum","stratified_Striatum"
1,1,0.002,0.094,NA,NA,NA,NA,NA,1000,0,"null","20","Cerebellum","stratified_Cerebellum"
1,1,0.009,0.077,NA,NA,NA,NA,NA,1000,0,"null","20","Cortex","stratified_Cortex"
1,1,0.006,0.086,NA,NA,NA,NA,NA,1000,0,"null","20","Hippocampus","stratified_Hippocampus"
1,1,0.006,0.08,NA,NA,NA,NA,NA,1000,0,"null","20","Olfactory","stratified_Olfactory"
1,1,0.007,0.092,NA,NA,NA,NA,NA,1000,0,"null","20","Striatum","stratified_Striatum"
NA,1,0,0.079,NA,NA,NA,NA,NA,1000,0,"null","21","Cerebellum","stratified_Cerebellum"
1,1,0.003,0.082,NA,NA,NA,NA,NA,1000,0,"null","21","Cortex","stratified_Cortex"
1,1,0.005,0.08,NA,NA,NA,NA,NA,1000,0,"null","21","Hippocampus","stratified_Hippocampus"
1,1,0.002,0.084,NA,NA,NA,NA,NA,1000,0,"null","21","Olfactory","stratified_Olfactory"
1,1,0.002,0.077,NA,NA,NA,NA,NA,1000,0,"null","21","Striatum","stratified_Striatum"
1,1,0.001,0.08,NA,NA,NA,NA,NA,1000,0,"null","22","Cerebellum","stratified_Cerebellum"
1,1,0.001,0.07,NA,NA,NA,NA,NA,1000,0,"null","22","Cortex","stratified_Cortex"
NA,1,0,0.079,NA,NA,NA,NA,NA,1000,0,"null","22","Hippocampus","stratified_Hippocampus"
1,1,0.001,0.071,NA,NA,NA,NA,NA,1000,0,"null","22","Olfactory","stratified_Olfactory"
1,1,0.001,0.073,NA,NA,NA,NA,NA,1000,0,"null","22","Striatum","stratified_Striatum"
1,1,0.00900900900900901,0.0620620620620621,NA,NA,NA,NA,NA,999,0,"null","23","Cerebellum","stratified_Cerebellum"
1,1,0.00600600600600601,0.0710710710710711,NA,NA,NA,NA,NA,999,0,"null","23","Cortex","stratified_Cortex"
1,1,0.00701402805611222,0.0681362725450902,NA,NA,NA,NA,NA,998,0,"null","23","Hippocampus","stratified_Hippocampus"
1,1,0.00200400801603206,0.0531062124248497,NA,NA,NA,NA,NA,998,0,"null","23","Olfactory","stratified_Olfactory"
1,1,0.00501002004008016,0.0751503006012024,NA,NA,NA,NA,NA,998,0,"null","23","Striatum","stratified_Striatum"
1,1,0.002,0.069,NA,NA,NA,NA,NA,1000,0,"null","24","Cerebellum","stratified_Cerebellum"
1,1,0.001001001001001,0.0750750750750751,NA,NA,NA,NA,NA,999,0,"null","24","Cortex","stratified_Cortex"
1,1,0.00100200400801603,0.0731462925851703,NA,NA,NA,NA,NA,998,0,"null","24","Hippocampus","stratified_Hippocampus"
1,1,0.002,0.066,NA,NA,NA,NA,NA,1000,0,"null","24","Olfactory","stratified_Olfactory"
1,1,0.003003003003003,0.0780780780780781,NA,NA,NA,NA,NA,999,0,"null","24","Striatum","stratified_Striatum"
1,1,0.005,0.079,NA,NA,NA,NA,NA,1000,0,"null","25","Cerebellum","stratified_Cerebellum"
1,1,0.001,0.064,NA,NA,NA,NA,NA,1000,0,"null","25","Cortex","stratified_Cortex"
1,1,0.002002002002002,0.0650650650650651,NA,NA,NA,NA,NA,999,0,"null","25","Hippocampus","stratified_Hippocampus"
1,1,0.006,0.065,NA,NA,NA,NA,NA,1000,0,"null","25","Olfactory","stratified_Olfactory"
1,1,0.001,0.084,NA,NA,NA,NA,NA,1000,0,"null","25","Striatum","stratified_Striatum"
1,1,0.003,0.071,NA,NA,NA,NA,NA,1000,0,"null","26","Cerebellum","stratified_Cerebellum"
1,1,0.002,0.076,NA,NA,NA,NA,NA,1000,0,"null","26","Cortex","stratified_Cortex"
NA,1,0,0.072,NA,NA,NA,NA,NA,1000,0,"null","26","Hippocampus","stratified_Hippocampus"
1,1,0.005,0.069,NA,NA,NA,NA,NA,1000,0,"null","26","Olfactory","stratified_Olfactory"
1,1,0.002,0.074,NA,NA,NA,NA,NA,1000,0,"null","26","Striatum","stratified_Striatum"
1,1,0.003003003003003,0.0710710710710711,NA,NA,NA,NA,NA,999,0,"null","27","Cerebellum","stratified_Cerebellum"
1,1,0.004,0.085,NA,NA,NA,NA,NA,1000,0,"null","27","Cortex","stratified_Cortex"
1,1,0.003,0.071,NA,NA,NA,NA,NA,1000,0,"null","27","Hippocampus","stratified_Hippocampus"
1,1,0.003,0.078,NA,NA,NA,NA,NA,1000,0,"null","27","Olfactory","stratified_Olfactory"
NA,1,0,0.0710710710710711,NA,NA,NA,NA,NA,999,0,"null","27","Striatum","stratified_Striatum"
1,1,0.011011011011011,0.0780780780780781,NA,NA,NA,NA,NA,999,0,"null","28","Cerebellum","stratified_Cerebellum"
1,1,0.011,0.089,NA,NA,NA,NA,NA,1000,0,"null","28","Cortex","stratified_Cortex"
1,1,0.008,0.082,NA,NA,NA,NA,NA,1000,0,"null","28","Hippocampus","stratified_Hippocampus"
1,1,0.007,0.079,NA,NA,NA,NA,NA,1000,0,"null","28","Olfactory","stratified_Olfactory"
1,1,0.006,0.073,NA,NA,NA,NA,NA,1000,0,"null","28","Striatum","stratified_Striatum"
1,1,0.00601805416248746,0.111334002006018,NA,NA,NA,NA,NA,997,0,"null","29","Cerebellum","stratified_Cerebellum"
1,1,0.00200400801603206,0.0991983967935872,NA,NA,NA,NA,NA,998,0,"null","29","Cortex","stratified_Cortex"
1,1,0.00100200400801603,0.093186372745491,NA,NA,NA,NA,NA,998,0,"null","29","Hippocampus","stratified_Hippocampus"
1,1,0.00200601805416249,0.0932798395185557,NA,NA,NA,NA,NA,997,0,"null","29","Olfactory","stratified_Olfactory"
1,1,0.0030060120240481,0.0811623246492986,NA,NA,NA,NA,NA,998,0,"null","29","Striatum","stratified_Striatum"
1,1,0.005005005005005,0.0750750750750751,NA,NA,NA,NA,NA,999,0,"null","3","Cerebellum","stratified_Cerebellum"
1,1,0.014,0.084,NA,NA,NA,NA,NA,1000,0,"null","3","Cortex","stratified_Cortex"
1,1,0.004004004004004,0.0820820820820821,NA,NA,NA,NA,NA,999,0,"null","3","Hippocampus","stratified_Hippocampus"
1,1,0.009,0.072,NA,NA,NA,NA,NA,1000,0,"null","3","Olfactory","stratified_Olfactory"
1,1,0.006,0.079,NA,NA,NA,NA,NA,1000,0,"null","3","Striatum","stratified_Striatum"
1,1,0.00400801603206413,0.0661322645290581,NA,NA,NA,NA,NA,998,0,"null","30","Cerebellum","stratified_Cerebellum"
NA,1,0,0.072,NA,NA,NA,NA,NA,1000,0,"null","30","Cortex","stratified_Cortex"
1,1,0.00501002004008016,0.0801603206412826,NA,NA,NA,NA,NA,998,0,"null","30","Hippocampus","stratified_Hippocampus"
1,1,0.00100200400801603,0.0671342685370741,NA,NA,NA,NA,NA,998,0,"null","30","Olfactory","stratified_Olfactory"
1,1,0.00400801603206413,0.0741482965931864,NA,NA,NA,NA,NA,998,0,"null","30","Striatum","stratified_Striatum"
1,1,0.003,0.068,NA,NA,NA,NA,NA,1000,0,"null","31","Cerebellum","stratified_Cerebellum"
1,1,0.001,0.081,NA,NA,NA,NA,NA,1000,0,"null","31","Cortex","stratified_Cortex"
1,1,0.005,0.083,NA,NA,NA,NA,NA,1000,0,"null","31","Hippocampus","stratified_Hippocampus"
