"scenario","region","fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_seeds"
"interaction","Cerebellum",0.895806906272023,0.894777008911203,0.00342521534728923,0.0748408102933451,0.0036040404040404,0.0789010101010101,-1.49922799484678,1.50835665186669,0,50
"interaction","Cortex",0.366354711664537,0.593318400496214,0.0655675282745628,0.162093023043284,0.9716,0.9844,-0.306328122896397,0.500512273193781,0.5302,50
"interaction","Hippocampus",0.229224044446276,0.511811468267355,0.0320994176762709,0.116067881522514,0.959389898989899,0.98719595959596,-2.68453561838231,2.72395213494444,0,50
"interaction","Olfactory",0.933641975308642,0.895965893758384,0.00366963623049751,0.0735089505810703,0.0026,0.0776929292929293,-1.49819841448796,1.50737860207418,0,50
"interaction","Striatum",0.80765965300849,0.892548009963259,0.00291365885656449,0.074046694407903,0.00460808080808081,0.0796747474747475,-1.49848002482473,1.5076330881324,0,50
"null","Cerebellum",1,1,0.00344322659574125,0.0752488038465297,NA,NA,NA,NA,NA,50
"null","Cortex",1,1,0.00342176268452822,0.0757876544279751,NA,NA,NA,NA,NA,50
"null","Hippocampus",1,1,0.00312328653459541,0.0747949111082769,NA,NA,NA,NA,NA,50
"null","Olfactory",1,1,0.00356304729989882,0.0739274785899189,NA,NA,NA,NA,NA,50
"null","Striatum",1,1,0.00308264493058514,0.0746094544135796,NA,NA,NA,NA,NA,50
"region_specific","Cerebellum",0.895806906272023,0.894777008911203,0.00342521534728923,0.0748408102933451,0.0036040404040404,0.0789010101010101,-1.49922799484497,1.50835665186368,0,50
"region_specific","Cortex",0.357156064210719,0.591305623817081,0.0624092036052046,0.160401983561707,0.972,0.9838,-0.304451160246432,0.49929561128472,0.533,50
"region_specific","Hippocampus",0.894586167800454,0.890483513652945,0.00306980832451796,0.0739377080145417,0.0036020202020202,0.0825050505050505,-1.49899553077927,1.50820063361405,0,50
"region_specific","Olfactory",0.933641975308642,0.895965893758384,0.00366963623049751,0.0735089505810703,0.0026,0.0776929292929293,-1.4981984144827,1.50737860206947,0,50
"region_specific","Striatum",0.80765965300849,0.892548009963259,0.00291365885656449,0.074046694407903,0.00460808080808081,0.0796747474747475,-1.49848002482422,1.50763308813176,0,50
"shared","Cerebellum",0.292147702320716,0.540196852902856,0.0393640095089668,0.1231236254086,0.815551515151515,0.925575757575758,-0.226177552154912,0.439926589559262,0.52710101010101,50
"shared","Cortex",0.293171300270302,0.547346171636344,0.0412886469857487,0.129764183911349,0.8578,0.9506,-0.210331037865599,0.412307900162276,0.5288,50
"shared","Hippocampus",0.269537775844513,0.531506088578453,0.0349899377322379,0.119450903379404,0.822359595959596,0.932179797979798,-0.226753207356858,0.445114771200342,0.528107070707071,50
"shared","Olfactory",0.287058760300436,0.541610905534215,0.0377912131641261,0.124024316438552,0.812135353535353,0.926367676767677,-0.218846015400662,0.454127935935997,0.514391919191919,50
"shared","Striatum",0.279779971578062,0.538533994267573,0.0366762049394155,0.122597108503248,0.815761616161616,0.926181818181818,-0.217260492936103,0.446763732121558,0.521715151515152,50
