"fdr_adj","fdr_raw","fpr_adj","fpr_raw","power_adj","power_raw","bias","rmse","ci_coverage","n_genes_scored","n_true_de","scenario","seed","region","model"
1,1,0.002,0.066,NA,NA,NA,NA,NA,1000,0,"null","1","Cerebellum","stratified_Cerebellum"
1,1,0.001001001001001,0.0690690690690691,NA,NA,NA,NA,NA,999,0,"null","1","Cortex","stratified_Cortex"
1,1,0.00700700700700701,0.0700700700700701,NA,NA,NA,NA,NA,999,0,"null","1","Hippocampus","stratified_Hippocampus"
1,1,0.005005005005005,0.0640640640640641,NA,NA,NA,NA,NA,999,0,"null","1","Olfactory","stratified_Olfactory"
1,1,0.003003003003003,0.0660660660660661,NA,NA,NA,NA,NA,999,0,"null","1","Striatum","stratified_Striatum"
1,1,0.003003003003003,0.0740740740740741,NA,NA,NA,NA,NA,999,0,"null","10","Cerebellum","stratified_Cerebellum"
1,1,0.002002002002002,0.0860860860860861,NA,NA,NA,NA,NA,999,0,"null","10","Cortex","stratified_Cortex"
1,1,0.003003003003003,0.0770770770770771,NA,NA,NA,NA,NA,999,0,"null","10","Hippocampus","stratified_Hippocampus"
1,1,0.00600600600600601,0.0810810810810811,NA,NA,NA,NA,NA,999,0,"null","10","Olfactory","stratified_Olfactory"
1,1,0.005,0.081,NA,NA,NA,NA,NA,1000,0,"null","10","Striatum","stratified_Striatum"
NA,1,0,0.0561122244488978,NA,NA,NA,NA,NA,998,0,"null","11","Cerebellum","stratified_Cerebellum"
NA,1,0,0.056,NA,NA,NA,NA,NA,1000,0,"null","11","Cortex","stratified_Cortex"
1,1,0.00100300902708124,0.0641925777331996,NA,NA,NA,NA,NA,997,0,"null","11","Hippocampus","stratified_Hippocampus"
1,1,0.00400801603206413,0.0721442885771543,NA,NA,NA,NA,NA,998,0,"null","11","Olfactory","stratified_Olfactory"
1,1,0.00200400801603206,0.0581162324649299,NA,NA,NA,NA,NA,998,0,"null","11","Striatum","stratified_Striatum"
1,1,0.001,0.08,NA,NA,NA,NA,NA,1000,0,"null","12","Cerebellum","stratified_Cerebellum"
NA,1,0,0.093,NA,NA,NA,NA,NA,1000,0,"null","12","Cortex","stratified_Cortex"
NA,1,0,0.077,NA,NA,NA,NA,NA,1000,0,"null","12","Hippocampus","stratified_Hippocampus"
1,1,0.003,0.078,NA,NA,NA,NA,NA,1000,0,"null","12","Olfactory","stratified_Olfactory"
NA,1,0,0.081,NA,NA,NA,NA,NA,1000,0,"null","12","Striatum","stratified_Striatum"
1,1,0.00100300902708124,0.0591775325977934,NA,NA,NA,NA,NA,997,0,"null","13","Cerebellum","stratified_Cerebellum"
1,1,0.002002002002002,0.0720720720720721,NA,NA,NA,NA,NA,999,0,"null","13","Cortex","stratified_Cortex"
1,1,0.00601805416248746,0.0702106318956871,NA,NA,NA,NA,NA,997,0,"null","13","Hippocampus","stratified_Hippocampus"
1,1,0.00702106318956871,0.0802407221664995,NA,NA,NA,NA,NA,997,0,"null","13","Olfactory","stratified_Olfactory"
