index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,16578.271,86185.13
0,polygon,1,15840.144,86349.16
0,polygon,2,15389.064,86390.164
0,polygon,3,14937.985,86185.13
0,polygon,4,14527.914,86062.11
0,polygon,5,13994.82,86021.1
0,polygon,6,13379.713,86021.1
0,polygon,7,12928.635,85939.086
0,polygon,8,12518.5625,86062.11
0,polygon,9,11985.47,86308.15
0,polygon,10,11534.391,86431.17
0,polygon,11,11042.305,86472.18
0,polygon,12,10632.233,86513.19
0,polygon,13,10222.161,86718.23
0,polygon,14,9894.1045,87005.27
0,polygon,15,9443.025,87169.305
0,polygon,16,9032.953,87333.33
0,polygon,17,8622.882,87456.35
0,polygon,18,8130.796,87702.4
0,polygon,19,7802.7383,87989.445
0,polygon,20,7474.681,88399.516
0,polygon,21,7228.638,88809.586
0,polygon,22,6859.5737,89137.65
0,polygon,23,6572.5234,89547.72
0,polygon,24,6326.4805,89916.78
0,polygon,25,6080.4375,90326.85
0,polygon,26,5834.3945,90777.93
0,polygon,27,5670.3657,91188.01
0,polygon,28,5465.33,91557.07
0,polygon,29,5219.287,91926.13
0,polygon,30,4891.2295,92254.195
0,polygon,31,4563.1724,92664.266
0,polygon,32,4194.108,93074.336
0,polygon,33,3620.0076,93894.48
0,polygon,34,3373.9646,94345.555
0,polygon,35,3127.9216,94714.625
0,polygon,36,2840.8713,95042.68
0,polygon,37,2553.8213,95493.76
0,polygon,38,2307.778,95903.83
0,polygon,39,2102.7424,96354.91
0,polygon,40,1897.7065,96764.98
0,polygon,41,1733.6779,97175.055
0,polygon,42,1692.6707,97585.125
0,polygon,43,1569.6492,98077.21
0,polygon,44,1569.6492,100250.586
0,polygon,45,1610.6564,100824.69
0,polygon,46,1651.6635,101357.78
0,polygon,47,1692.6707,101808.86
0,polygon,48,1692.6707,102259.94
0,polygon,49,1610.6564,102752.02
0,polygon,50,1569.6492,103244.11
0,polygon,51,1528.642,103695.19
0,polygon,52,1487.6349,104228.28
0,polygon,53,1405.6205,104638.36
0,polygon,54,1405.6205,105212.45
0,polygon,55,1364.6133,105663.53
0,polygon,56,1364.6133,106688.71
0,polygon,57,1405.6205,107139.8
0,polygon,58,1528.642,107713.89
0,polygon,59,1569.6492,108287.99
0,polygon,60,1610.6564,108780.08
0,polygon,61,1692.6707,109231.16
0,polygon,62,1692.6707,109805.26
0,polygon,63,1610.6564,110297.34
0,polygon,64,1569.6492,110707.414
0,polygon,65,1528.642,111363.53
0,polygon,66,1446.6277,111855.62
0,polygon,67,1405.6205,112265.69
0,polygon,68,1405.6205,112757.77
0,polygon,69,1446.6277,113208.85
0,polygon,70,1569.6492,113618.92
0,polygon,71,1569.6492,114152.016
0,polygon,72,1610.6564,114685.11
0,polygon,73,2020.728,114808.13
0,polygon,74,2389.7925,115095.18
0,polygon,75,2676.8428,115464.25
0,polygon,76,2922.8857,115833.31
0,polygon,77,3332.9573,116079.35
0,polygon,78,3825.0435,116079.35
0,polygon,79,4317.1294,115874.32
0,polygon,80,4891.2295,115710.29
0,polygon,81,5301.3013,115669.28
0,polygon,82,5752.3804,115464.25
0,polygon,83,6162.4517,115423.24
0,polygon,84,6613.531,115382.234
0,polygon,85,7146.624,115177.195
0,polygon,86,7556.6953,115136.19
0,polygon,87,7966.767,115013.17
0,polygon,88,8212.811,114644.1
0,polygon,89,8622.882,114398.06
0,polygon,90,8950.939,114111.01
0,polygon,91,9402.018,114070.01
0,polygon,92,9812.09,113864.97
0,polygon,93,10099.14,113454.9
0,polygon,94,10509.212,113249.86
0,polygon,95,10591.226,112839.79
0,polygon,96,10591.226,112388.71
0,polygon,97,10468.204,111937.63
0,polygon,98,10755.255,111568.57
0,polygon,99,11575.397,111322.52
0,polygon,100,11985.47,111281.516
0,polygon,101,12436.549,111281.516
0,polygon,102,12887.627,111404.54
0,polygon,103,13338.706,111445.55
0,polygon,104,14322.878,111445.55
0,polygon,105,14732.949,111404.54
0,polygon,106,15184.028,111281.516
0,polygon,107,15512.086,110953.46
0,polygon,108,15963.165,110666.41
0,polygon,109,16332.2295,110461.375
0,polygon,110,16619.28,109641.23
0,polygon,111,17070.357,109518.21
0,polygon,112,17316.4,109149.14
0,polygon,113,17521.438,108780.08
0,polygon,114,17644.459,108370.01
0,polygon,115,17644.459,107795.91
0,polygon,116,17726.473,107385.836
0,polygon,117,17726.473,106893.75
0,polygon,118,17562.443,106442.67
0,polygon,119,17439.422,106032.6
0,polygon,120,17398.416,105581.52
0,polygon,121,17316.4,105171.445
0,polygon,122,17193.379,104761.375
0,polygon,123,16865.322,104392.31
0,polygon,124,16127.193,103818.21
0,polygon,125,15799.136,103531.164
0,polygon,126,15389.064,103449.15
0,polygon,127,14978.993,103408.14
0,polygon,128,14568.921,103285.12
0,polygon,129,14117.842,103285.12
0,polygon,130,13707.7705,103408.14
0,polygon,131,12887.627,103736.195
0,polygon,132,12518.5625,103941.234
0,polygon,133,12149.498,104187.27
0,polygon,134,11815.903,104291.18
0,polygon,135,11597.022,104356.84
0,polygon,136,11400.029,104466.28
0,polygon,137,11224.925,104641.39
0,polygon,138,11093.597,104838.38
0,polygon,139,10918.492,105035.375
0,polygon,140,10787.164,105232.37
0,polygon,141,10633.947,105451.25
0,polygon,142,10502.619,105648.24
0,polygon,143,10349.402,105823.34
0,polygon,144,10218.074,106020.336
0,polygon,145,10064.857,106239.22
0,polygon,146,9802.201,106676.98
0,polygon,147,9627.097,107114.74
0,polygon,148,9495.768,107311.734
0,polygon,149,9342.552,107486.836
0,polygon,150,9189.335,107683.83
0,polygon,151,9101.782,107902.71
0,polygon,152,8948.566,108077.81
0,polygon,153,8839.126,108274.805
0,polygon,154,8707.798,108471.805
0,polygon,155,8598.357,108690.68
0,polygon,156,8488.917,108887.67
0,polygon,157,8313.8125,109106.555
0,polygon,158,7963.603,109412.984
0,polygon,159,7766.6104,109544.31
0,polygon,160,7525.842,109631.87
0,polygon,161,7328.849,109785.086
0,polygon,162,7131.8564,109916.414
0,polygon,163,6891.088,110025.85
0,polygon,164,6672.207,110113.41
0,polygon,165,6475.2144,110244.734
0,polygon,166,6256.334,110397.95
0,polygon,167,6059.3413,110573.055
0,polygon,168,5862.3486,110726.27
0,polygon,169,5687.244,110879.49
0,polygon,170,5512.1396,111054.59
0,polygon,171,5205.7065,111404.805
0,polygon,172,5008.714,111536.13
0,polygon,173,4811.721,111426.69
0,polygon,174,4592.841,111404.805
0,polygon,175,4417.7363,111251.586
0,polygon,176,4417.7363,111010.82
0,polygon,177,4614.729,110901.375
0,polygon,178,4833.6094,110835.71
0,polygon,179,5271.3706,110660.61
0,polygon,180,5490.2515,110551.164
0,polygon,181,5687.244,110397.95
0,polygon,182,5862.3486,110244.734
0,polygon,183,6059.3413,110135.3
0,polygon,184,6300.11,110047.74
0,polygon,185,6781.6475,109828.86
0,polygon,186,7000.5283,109741.31
0,polygon,187,7175.633,109588.09
0,polygon,188,7372.6255,109478.65
0,polygon,189,7569.6177,109325.44
0,polygon,190,7766.6104,109215.99
0,polygon,191,7963.603,109062.78
0,polygon,192,8313.8125,108712.57
0,polygon,193,8445.141,108515.58
0,polygon,194,8576.469,108296.695
0,polygon,195,8729.686,108121.59
0,polygon,196,8882.902,107924.6
0,polygon,197,9058.007,107749.49
0,polygon,198,9101.782,107530.62
0,polygon,199,9123.671,107311.734
0,polygon,200,9276.887,107136.625
0,polygon,201,9451.991,106983.414
0,polygon,202,9539.544,106742.64
0,polygon,203,9627.097,106523.766
0,polygon,204,9714.648,106282.99
0,polygon,205,9867.865,106107.89
0,polygon,206,10064.857,105910.9
0,polygon,207,10218.074,105735.79
0,polygon,208,10393.179,105298.03
0,polygon,209,10568.283,105122.93
0,polygon,210,10743.388,104904.05
0,polygon,211,10852.828,104685.164
0,polygon,212,10874.716,104466.28
0,polygon,213,10830.939,104028.52
0,polygon,214,10830.939,103787.76
0,polygon,215,10633.947,103634.54
0,polygon,216,10480.73,103459.43
0,polygon,217,10261.851,103415.66
0,polygon,218,10042.97,103393.766
0,polygon,219,9824.089,103349.99
0,polygon,220,9627.097,103240.555
0,polygon,221,9451.991,103065.445
0,polygon,222,9276.887,102846.57
