index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,65719.086,23754.484
0,polygon,1,65039.695,23346.27
0,polygon,2,65039.695,22986.828
0,polygon,3,65009.742,22687.293
0,polygon,4,65129.555,22387.76
0,polygon,5,65159.508,22088.225
0,polygon,6,65219.414,21788.691
0,polygon,7,65249.37,21489.156
0,polygon,8,65399.137,21159.668
0,polygon,9,65518.95,20860.135
0,polygon,10,65608.81,20500.693
0,polygon,11,65638.766,20141.252
0,polygon,12,65848.44,19602.09
0,polygon,13,65998.2,19332.51
0,polygon,14,66118.016,19032.975
0,polygon,15,66237.836,18673.533
0,polygon,16,66387.6,18403.953
0,polygon,17,66597.27,18104.418
0,polygon,18,67081.26,18075.646
0,polygon,19,67536.47,18121.168
0,polygon,20,67991.68,17984.604
0,polygon,21,68583.46,17984.604
0,polygon,22,69084.195,17939.082
0,polygon,23,69584.93,17802.518
0,polygon,24,70040.14,17756.998
0,polygon,25,71041.61,17939.082
0,polygon,26,71496.82,18121.168
0,polygon,27,72088.6,18166.69
0,polygon,28,72589.336,18348.773
0,polygon,29,73090.07,18576.38
0,polygon,30,73545.28,18712.945
0,polygon,31,74046.016,18849.508
0,polygon,32,74546.75,19213.68
0,polygon,33,74956.445,19623.371
0,polygon,34,75275.09,19987.541
0,polygon,35,75502.695,20488.275
0,polygon,36,75684.78,21034.531
0,polygon,37,75684.78,22127.043
0,polygon,38,75639.266,22582.256
0,polygon,39,75502.695,23037.47
0,polygon,40,75275.09,23492.684
0,polygon,41,74728.836,24403.11
0,polygon,42,74182.58,25222.494
0,polygon,43,73954.98,25632.186
0,polygon,44,73863.93,26132.92
0,polygon,45,73818.41,26679.176
0,polygon,46,73727.37,27361.996
0,polygon,47,73636.33,27862.73
0,polygon,48,73454.24,28317.943
0,polygon,49,73317.67,28773.156
0,polygon,50,73135.59,29228.37
0,polygon,51,72999.02,29774.625
0,polygon,52,72907.984,30275.36
0,polygon,53,72634.86,30821.615
0,polygon,54,71997.555,31322.35
0,polygon,55,71087.13,31504.436
0,polygon,56,69949.1,31686.52
0,polygon,57,69038.67,31732.041
0,polygon,58,68264.81,31777.562
0,polygon,59,67263.34,31914.127
0,polygon,60,66352.914,32141.734
0,polygon,61,65761.13,32323.818
0,polygon,62,65305.92,32505.904
0,polygon,63,64714.145,32870.074
0,polygon,64,64230.75,33293.86
0,polygon,65,62969.117,34134.945
0,polygon,66,62128.03,34976.035
0,polygon,67,60761.26,35711.99
0,polygon,68,59499.633,36342.8
0,polygon,69,57081.504,37078.754
0,polygon,70,55819.87,37499.297
0,polygon,71,54453.105,37814.707
0,polygon,72,52981.203,38024.977
0,polygon,73,51299.027,38340.387
0,polygon,74,49406.58,38760.93
0,polygon,75,47303.86,39181.473
0,polygon,76,44885.73,39602.016
0,polygon,77,40575.156,39602.016
0,polygon,78,38682.71,39391.746
0,polygon,79,36895.4,38760.93
0,polygon,80,35633.766,38130.113
0,polygon,81,33741.32,37499.297
0,polygon,82,32269.416,36868.48
0,polygon,83,30166.697,36553.074
0,polygon,84,28905.066,36237.668
0,polygon,85,26802.346,35606.85
0,polygon,86,25435.578,34765.76
0,polygon,87,23963.676,34134.945
0,polygon,88,21335.277,32452.771
0,polygon,89,19968.51,31506.549
0,polygon,90,18812.014,30770.596
0,polygon,91,18286.334,29508.965
0,polygon,92,17550.38,28562.74
0,polygon,93,17760.654,27406.246
0,polygon,94,19968.51,26354.887
0,polygon,95,21125.004,25934.342
0,polygon,96,22281.5,25618.934
0,polygon,97,23648.268,25513.799
0,polygon,98,25435.578,25513.799
0,polygon,99,27117.754,25408.662
0,polygon,100,29325.61,25303.525
0,polygon,101,31743.736,25093.254
0,polygon,102,33110.504,25093.254
0,polygon,103,34477.273,24988.12
0,polygon,104,36474.855,25093.254
0,polygon,105,39208.39,25724.07
0,polygon,106,40680.293,26144.613
0,polygon,107,42152.2,26460.021
0,polygon,108,44675.46,26670.293
0,polygon,109,47514.133,26985.701
0,polygon,110,48670.63,27301.11
0,polygon,111,50457.938,27406.246
0,polygon,112,51183.04,27542.81
0,polygon,113,51683.773,27542.81
0,polygon,114,52184.508,27360.725
0,polygon,115,52594.2,26996.555
0,polygon,116,53003.89,26586.863
0,polygon,117,53322.54,26222.691
0,polygon,118,53732.23,25995.086
0,polygon,119,54187.445,25949.564
0,polygon,120,54688.18,25949.564
0,polygon,121,55143.39,25858.521
0,polygon,122,55598.605,25995.086
0,polygon,123,56600.074,25995.086
0,polygon,124,57055.29,26040.607
0,polygon,125,57510.5,25995.086
0,polygon,126,57965.715,25904.043
0,polygon,127,58511.97,25904.043
0,polygon,128,59103.746,25858.521
0,polygon,129,59513.438,25630.914
0,polygon,130,59968.652,25494.352
0,polygon,131,60423.863,25403.309
0,polygon,132,60924.598,25312.266
0,polygon,133,61379.812,25221.223
0,polygon,134,61789.504,24993.615
0,polygon,135,62244.72,24948.096
0,polygon,136,62745.453,24857.053
0,polygon,137,63200.664,24811.531
0,polygon,138,64111.09,24538.402
0,polygon,139,64566.305,24447.361
0,polygon,140,65021.52,24310.797
0,polygon,141,65597.59,24337.625
1,polygon,0,54166.555,26134.56
1,polygon,1,53711.34,25997.998
1,polygon,2,53256.13,25906.955
1,polygon,3,52800.914,25724.87
1,polygon,4,52345.703,25633.826
1,polygon,5,51844.97,25497.264
