index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,42329.723,85235.4
0,polygon,1,42762.156,85301.92
0,polygon,2,43161.324,85235.4
0,polygon,3,43527.23,85135.6
0,polygon,4,43926.4,85069.08
0,polygon,5,44658.207,85069.08
0,polygon,6,45024.113,85135.6
0,polygon,7,45356.754,85168.87
0,polygon,8,45755.926,85168.87
0,polygon,9,46121.83,85135.6
0,polygon,10,46587.527,85135.6
0,polygon,11,46986.695,85168.87
0,polygon,12,47319.336,85301.92
0,polygon,13,48184.203,85301.92
0,polygon,14,48550.11,85268.66
0,polygon,15,48949.277,85168.87
0,polygon,16,49381.71,85035.81
0,polygon,17,49747.613,85035.81
0,polygon,18,50412.9,84902.75
0,polygon,19,50745.54,84769.695
0,polygon,20,51078.18,84603.375
0,polygon,21,51676.934,84204.21
0,polygon,22,52009.574,83971.36
0,polygon,23,52308.95,83805.04
0,polygon,24,52708.117,83638.72
0,polygon,25,53040.76,83439.13
0,polygon,26,53340.137,83173.02
0,polygon,27,53639.51,82940.17
0,polygon,28,54205.004,82374.68
0,polygon,29,54437.85,82108.57
0,polygon,30,54570.906,81742.664
0,polygon,31,54670.7,81410.02
0,polygon,32,54703.965,81077.38
0,polygon,33,54737.227,80644.95
0,polygon,34,54737.227,80279.05
0,polygon,35,54770.492,79913.14
0,polygon,36,54637.438,79580.5
0,polygon,37,54437.85,79181.33
0,polygon,38,54304.797,78782.164
0,polygon,39,54171.74,78416.26
0,polygon,40,53938.89,78116.88
0,polygon,41,53739.305,77817.5
0,polygon,42,53473.19,77551.39
0,polygon,43,53173.816,77318.54
0,polygon,44,52940.97,77052.43
0,polygon,45,52608.33,76852.84
0,polygon,46,52308.95,76619.99
0,polygon,47,52042.836,76387.15
0,polygon,48,51377.555,76121.03
0,polygon,49,51011.65,75954.71
0,polygon,50,50645.746,75821.66
0,polygon,51,50279.84,75721.87
0,polygon,52,49913.934,75688.6
0,polygon,53,49514.766,75588.805
0,polygon,54,48849.484,75455.75
0,polygon,55,48051.145,75389.23
0,polygon,56,47319.336,75256.164
0,polygon,57,46953.43,75222.91
0,polygon,58,46587.527,75222.91
0,polygon,59,46188.355,75256.164
0,polygon,60,45523.074,75322.695
0,polygon,61,45123.906,75455.75
0,polygon,62,44724.74,75555.55
0,polygon,63,44392.098,75622.07
0,polygon,64,44059.457,75755.13
0,polygon,65,43327.645,76087.77
0,polygon,66,42995.004,76254.09
0,polygon,67,42396.25,76653.26
0,polygon,68,42130.137,76919.375
0,polygon,69,41930.555,77252.016
0,polygon,70,41830.76,77584.66
0,polygon,71,41730.97,77950.56
0,polygon,72,41664.44,78349.73
0,polygon,73,41631.176,78715.63
0,polygon,74,41631.176,79447.445
0,polygon,75,41730.97,79780.086
0,polygon,76,41897.29,80079.46
0,polygon,77,42063.61,80412.1
0,polygon,78,42063.61,80811.27
0,polygon,79,41930.555,81143.914
0,polygon,80,41764.234,81443.29
