index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,-14424.172,50674.156
0,polygon,1,-14424.172,54961.734
0,polygon,2,-14562.481,56898.055
0,polygon,3,-14839.099,58696.07
0,polygon,4,-15254.025,60770.703
0,polygon,5,-15392.334,62430.41
1,polygon,0,10922.181,-4567.6094
1,polygon,1,10764.504,-4133.9976
1,polygon,2,10370.312,-3660.9666
1,polygon,3,9936.699,-3306.1934
1,polygon,4,9463.668,-2517.8083
1,polygon,5,9187.733,-2202.4543
1,polygon,6,8990.638,-1808.2618
1,polygon,7,8832.96,-1414.0693
1,polygon,8,8557.025,-1059.2961
1,polygon,9,8557.025,-625.6844
1,polygon,10,8478.1875,-231.49185
1,polygon,11,8635.864,162.70065
1,polygon,12,9030.057,399.21616
1,polygon,13,9424.249,714.5701
1,polygon,14,9857.86,793.4086
1,polygon,15,10330.892,793.4086
1,polygon,16,11198.115,1029.9242
1,polygon,17,11592.308,1148.1819
1,polygon,18,12065.339,1384.6974
1,polygon,19,12420.112,1660.6322
1,polygon,20,12617.208,2015.4054
1,polygon,21,12656.628,2527.8557
1,polygon,22,12814.305,2961.4675
1,polygon,23,12893.144,3355.66
1,polygon,24,12932.5625,3868.11
1,polygon,25,12971.981,4419.9795
1,polygon,26,12932.5625,4814.1724
1,polygon,27,12814.305,5287.203
1,polygon,28,12696.047,5681.3955
1,polygon,29,12696.047,6706.2964
1,polygon,30,12735.466,7100.489
1,polygon,31,12893.144,7534.1006
1,polygon,32,13208.497,7888.8735
1,polygon,33,13602.689,8046.551
1,polygon,34,14075.721,8046.551
1,polygon,35,14509.332,7967.7124
1,polygon,36,14864.105,7731.197
1,polygon,37,15258.298,7534.1006
1,polygon,38,15652.49,7415.843
1,polygon,39,16086.103,7100.489
1,polygon,40,16480.295,7218.7466
1,polygon,41,16598.553,7691.7773
1,polygon,42,16440.875,8125.389
1,polygon,43,16164.94,8598.42
1,polygon,44,15810.168,8992.612
1,polygon,45,15494.813,9307.967
1,polygon,46,15140.04,9741.578
1,polygon,47,14706.429,10214.609
1,polygon,48,14509.332,10569.383
1,polygon,49,14154.559,11200.091
1,polygon,50,13799.786,11673.122
1,polygon,51,13602.689,12146.152
1,polygon,52,13405.594,12540.346
1,polygon,53,13247.916,12934.538
1,polygon,54,13090.239,13368.149
1,polygon,55,12971.981,14087.196
1,polygon,56,12528.871,15121.12
1,polygon,57,12159.612,16007.341
1,polygon,58,11568.799,16967.414
1,polygon,59,10682.577,18296.744
1,polygon,60,9353.246,18887.559
1,polygon,61,7950.0635,19182.965
1,polygon,62,5882.215,19109.113
1,polygon,63,3001.997,17484.375
1,polygon,64,1081.8519,16007.341
1,polygon,65,-764.4414,14308.751
1,polygon,66,-1798.3657,13053.271
1,polygon,67,-1798.3657,12240.902
1,polygon,68,-2019.9209,6702.0225
1,polygon,69,-2463.0312,2566.3252
1,polygon,70,-1207.5519,1089.2905
1,polygon,71,1451.1106,-92.337204
1,polygon,72,3962.0696,-1421.6685
1,polygon,73,4700.587,-2381.741
1,polygon,74,4922.142,-3267.962
1,polygon,75,5217.5493,-4301.886
1,polygon,76,5660.6597,-5114.2554
1,polygon,77,6473.029,-5631.2173
1,polygon,78,7211.546,-6148.1797
1,polygon,79,8023.915,-6591.29
1,polygon,80,9427.098,-6591.29
1,polygon,81,10017.912,-6000.476
2,polygon,0,16459.78,7549.12
2,polygon,1,16729.36,7309.4927
2,polygon,2,16789.268,6980.005
2,polygon,3,16909.08,6680.47
2,polygon,4,16909.08,6350.983
2,polygon,5,16879.127,6051.448
2,polygon,6,16789.268,5751.914
2,polygon,7,16849.174,5392.4727
2,polygon,8,16879.127,5092.9385
2,polygon,9,16759.312,4793.4043
2,polygon,10,16669.453,4463.9165
2,polygon,11,16519.686,4194.3354
2,polygon,12,16519.686,3175.9187
2,polygon,13,16609.547,2876.3843
2,polygon,14,16669.453,2516.943
2,polygon,15,16579.594,2217.4087
2,polygon,16,16519.686,1917.8745
2,polygon,17,16699.406,1618.3401
2,polygon,18,16998.941,1528.4799
2,polygon,19,16998.941,869.5043
2,polygon,20,17238.568,659.83026
2,polygon,21,16998.941,390.24933
2,polygon,22,16879.127,90.71499
2,polygon,23,17358.383,-328.6331
2,polygon,24,17418.29,-628.1674
2,polygon,25,17328.428,-927.7018
2,polygon,26,17178.662,-1197.2827
2,polygon,27,17118.754,-1496.817
2,polygon,28,16879.127,-1706.4911
2,polygon,29,16879.127,-2035.9788
2,polygon,30,16549.639,-2035.9788
2,polygon,31,16399.873,-2305.5598
2,polygon,32,16639.5,-2515.2336
2,polygon,33,16759.312,-2814.768
2,polygon,34,16759.312,-3174.2092
2,polygon,35,16939.033,-3473.7437
2,polygon,36,17088.8,-3773.278
2,polygon,37,17028.895,-4162.673
2,polygon,38,16789.268,-4462.207
2,polygon,39,16399.873,-4701.8345
2,polygon,40,15950.57,-4881.555
2,polygon,41,15171.781,-5151.1357
2,polygon,42,14392.992,-5480.6235
2,polygon,43,13434.482,-5870.0186
2,polygon,44,13045.088,-5959.8784
2,polygon,45,12685.646,-5959.8784
2,polygon,46,11846.95,-5660.344
2,polygon,47,11307.788,-5480.6235
2,polygon,48,10738.673,-5270.9497
2,polygon,49,10319.325,-5151.1357
2,polygon,50,9870.023,-4911.5083
2,polygon,51,9360.815,-4671.881
2,polygon,52,8911.514,-4372.3467
2,polygon,53,8552.072,-3833.1848
2,polygon,54,8192.631,-3383.8833
2,polygon,55,8012.9106,-2964.5352
2,polygon,56,7923.0503,-2275.6062
2,polygon,57,7863.1436,-1676.5376
2,polygon,58,7773.283,-1167.3292
2,polygon,59,7773.283,-658.12085
2,polygon,60,7833.19,-89.005615
2,polygon,61,8012.9106,689.7837
2,polygon,62,8132.7246,1558.4332
2,polygon,63,8252.538,2606.8035
2,polygon,64,8671.887,3924.7546
2,polygon,65,9091.234,5272.659
2,polygon,66,9690.303,6830.238
2,polygon,67,9929.931,7579.073
2,polygon,68,10169.558,7908.561
2,polygon,69,10948.348,8268.003
2,polygon,70,11247.882,8417.77
2,polygon,71,11637.276,8627.443
2,polygon,72,12296.252,8747.258
2,polygon,73,12805.46,8807.164
