index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,26033.486,6186.289
0,polygon,1,26007.547,5797.216
0,polygon,2,26007.547,5096.884
0,polygon,3,25851.918,4681.872
0,polygon,4,25696.29,4189.046
0,polygon,5,25540.66,3851.849
0,polygon,6,25410.969,3592.467
0,polygon,7,25255.34,3255.2703
0,polygon,8,25125.648,3021.8262
0,polygon,9,24866.266,2684.6294
0,polygon,10,24555.008,2062.112
0,polygon,11,24399.379,1621.1625
0,polygon,12,24399.379,1258.0273
0,polygon,13,24425.316,817.07764
0,polygon,14,24347.502,64.86929
0,polygon,15,24347.502,-324.20398
0,polygon,16,24503.13,-842.9684
0,polygon,17,24606.885,-1309.8563
0,polygon,18,24658.76,-1776.7443
0,polygon,19,24658.76,-2165.8176
0,polygon,20,24710.637,-2710.52
0,polygon,21,24918.143,-3021.7788
0,polygon,22,25125.648,-3514.605
0,polygon,23,25203.463,-3955.5547
0,polygon,24,25359.092,-4318.6895
0,polygon,25,25488.783,-4578.072
0,polygon,26,25021.895,-4811.5156
0,polygon,27,24477.193,-4863.392
0,polygon,28,23854.676,-4889.3306
0,polygon,29,23102.467,-4941.207
0,polygon,30,22402.135,-4967.145
0,polygon,31,21857.434,-4941.207
0,polygon,32,21027.41,-4993.0835
0,polygon,33,20067.695,-5174.651
0,polygon,34,19652.684,-5148.713
0,polygon,35,19367.363,-5044.96
0,polygon,36,19004.229,-4889.3306
0,polygon,37,18770.785,-4681.8247
0,polygon,38,18355.773,-4500.2573
0,polygon,39,18018.576,-4474.319
0,polygon,40,17707.318,-4266.8135
0,polygon,41,17551.688,-4033.3694
0,polygon,42,17370.121,-3722.1106
0,polygon,43,17240.43,-3462.7285
0,polygon,44,17110.738,-3229.2844
0,polygon,45,16955.11,-2918.026
0,polygon,46,16929.172,-2658.6436
0,polygon,47,17084.8,-2373.3232
0,polygon,48,17214.492,-2010.1882
0,polygon,49,17344.184,-1776.7443
0,polygon,50,17473.873,-1465.4856
0,polygon,51,17525.75,-1102.3506
0,polygon,52,17525.75,-739.2155
0,polygon,53,17499.812,-324.20398
0,polygon,54,17473.873,38.931076
0,polygon,55,17421.998,324.2515
0,polygon,56,17292.307,635.51013
0,polygon,57,17240.43,1024.5834
0,polygon,58,17110.738,1361.7803
0,polygon,59,16955.11,1673.0388
0,polygon,60,16955.11,1958.3593
0,polygon,61,16877.295,2425.2473
0,polygon,62,16825.418,2762.444
0,polygon,63,16773.541,3151.5173
0,polygon,64,16825.418,3696.22
0,polygon,65,16851.357,3981.5403
0,polygon,66,16877.295,4344.6753
0,polygon,67,16877.295,4681.872
0,polygon,68,16955.11,5226.5747
0,polygon,69,17006.986,5563.7715
0,polygon,70,17084.8,5849.0923
0,polygon,71,17084.8,6549.424
0,polygon,72,17318.244,6730.9917
0,polygon,73,17603.564,6834.7446
0,polygon,74,18329.836,6938.497
0,polygon,75,18667.031,7120.065
0,polygon,76,18900.477,7457.2617
0,polygon,77,19185.797,7561.0146
0,polygon,78,20223.324,7561.0146
0,polygon,79,20742.09,7664.7676
0,polygon,80,21027.41,7664.7676
0,polygon,81,21546.174,7561.0146
0,polygon,82,22246.506,7561.0146
0,polygon,83,22531.826,7664.7676
0,polygon,84,22894.96,7768.5205
0,polygon,85,23180.281,7794.4585
0,polygon,86,23439.664,7820.3965
0,polygon,87,23699.047,7872.273
0,polygon,88,24010.305,7664.7676
0,polygon,89,24243.748,7457.2617
0,polygon,90,24658.76,7327.5703
0,polygon,91,25281.277,7275.6943
0,polygon,92,25955.672,7094.1265
0,polygon,93,26292.87,7068.1885
0,polygon,94,26526.312,6938.497
1,polygon,0,61856.625,78041.05
1,polygon,1,62455.69,77801.414
1,polygon,2,63174.574,77741.51
1,polygon,3,64133.086,77382.07
1,polygon,4,64851.97,77202.34
1,polygon,5,65451.035,77082.53
1,polygon,6,66529.36,77082.53
1,polygon,7,67308.15,77022.625
1,polygon,8,68146.84,77262.25
1,polygon,9,68805.82,77561.79
1,polygon,10,69584.61,77681.6
1,polygon,11,71381.81,77921.23
1,polygon,12,72220.51,77981.13
1,polygon,13,72879.484,77981.13
1,polygon,14,73598.37,78100.95
1,polygon,15,74496.98,78460.39
1,polygon,16,75155.945,78819.836
1,polygon,17,75755.016,79239.18
1,polygon,18,76354.086,79598.625
1,polygon,19,76953.16,80077.875
1,polygon,20,77492.31,80497.23
1,polygon,21,77971.57,81096.3
1,polygon,22,78331.016,81815.17
1,polygon,23,78510.734,82414.24
1,polygon,24,78570.64,83133.125
1,polygon,25,78989.984,83672.29
1,polygon,26,79469.24,84211.45
1,polygon,27,79828.69,84990.24
1,polygon,28,80008.41,85589.305
1,polygon,29,80427.75,86128.47
1,polygon,30,80667.38,86847.35
1,polygon,31,80667.38,87686.05
1,polygon,32,80727.29,88404.93
1,polygon,33,81146.63,89004.0
1,polygon,34,81446.17,89543.164
1,polygon,35,81506.08,90262.05
1,polygon,36,80907.01,90441.766
1,polygon,37,79708.87,91040.836
1,polygon,38,79289.52,91520.086
1,polygon,39,78750.36,91939.44
1,polygon,40,78031.48,92179.06
1,polygon,41,76713.52,92658.32
1,polygon,42,75994.64,93137.57
1,polygon,43,75275.766,93497.016
1,polygon,44,74676.695,93856.45
1,polygon,45,73358.74,93976.27
1,polygon,46,72639.86,94096.086
1,polygon,47,72040.79,94155.99
1,polygon,48,71321.91,94275.805
1,polygon,49,70603.02,94275.805
1,polygon,50,69944.05,94155.99
1,polygon,51,69344.984,93856.45
1,polygon,52,68805.82,93377.2
1,polygon,53,68326.56,92838.04
1,polygon,54,67787.41,92179.06
1,polygon,55,67248.24,91639.9
1,polygon,56,66709.08,91040.836
1,polygon,57,66289.734,90501.67
1,polygon,58,65930.29,89962.51
1,polygon,59,65570.85,89423.35
1,polygon,60,65271.316,88884.19
1,polygon,61,64851.97,88404.93
1,polygon,62,64432.617,87865.766
1,polygon,63,64225.113,87684.195
1,polygon,64,64043.547,87476.695
1,polygon,65,64225.113,87087.62
1,polygon,66,64302.926,86828.234
1,polygon,67,64199.176,86413.23
1,polygon,68,64043.547,86050.09
1,polygon,69,63939.793,85764.77
1,polygon,70,63836.04,85453.516
1,polygon,71,63369.152,84675.37
1,polygon,72,63161.645,84390.05
1,polygon,73,63031.953,84156.6
1,polygon,74,62902.266,83897.22
1,polygon,75,62798.51,83637.836
1,polygon,76,62591.004,83300.64
1,polygon,77,62357.562,82937.51
1,polygon,78,62227.87,82704.06
1,polygon,79,62150.055,82444.68
1,polygon,80,62098.18,82185.3
1,polygon,81,61968.49,81951.85
1,polygon,82,61890.67,81692.47
1,polygon,83,61864.734,81355.27
1,polygon,84,61812.86,80992.14
1,polygon,85,61786.92,80706.82
1,polygon,86,61864.734,80369.625
1,polygon,87,61968.49,80110.24
1,polygon,88,61994.426,79747.1
1,polygon,89,61942.55,79358.03
1,polygon,90,61916.613,79046.77
1,polygon,91,61916.613,78735.516
2,polygon,0,78566.44,94811.055
2,polygon,1,78290.51,94495.7
2,polygon,2,78763.54,93983.26
2,polygon,3,79315.41,93786.16
2,polygon,4,79827.85,93707.32
2,polygon,5,81522.88,93707.32
2,polygon,6,81995.914,93431.38
