index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,20593.625,15710.166
0,polygon,1,20299.082,15763.719
0,polygon,2,19924.209,15870.825
0,polygon,3,19522.56,16004.708
1,polygon,0,22664.7,9844.388
1,polygon,1,22631.69,10174.483
1,polygon,2,22301.594,10240.502
1,polygon,3,22070.527,10537.588
1,polygon,4,21938.49,10867.684
1,polygon,5,21872.47,11197.779
1,polygon,6,21773.441,11527.874
1,polygon,7,21641.404,11890.9795
1,polygon,8,21575.385,12221.075
1,polygon,9,21443.346,12584.18
1,polygon,10,21278.299,12881.266
1,polygon,11,21179.27,13211.361
1,polygon,12,20981.213,14201.648
1,polygon,13,20981.213,14597.763
1,polygon,14,21014.223,14927.858
1,polygon,15,21212.28,15257.953
1,polygon,16,21443.346,15522.03
1,polygon,17,21575.385,15918.145
1,polygon,18,21674.414,16248.24
1,polygon,19,21707.422,16578.336
1,polygon,20,22037.518,17172.508
1,polygon,21,22169.557,17502.604
1,polygon,22,22367.613,17832.7
1,polygon,23,22763.729,18426.871
1,polygon,24,22895.766,18756.967
1,polygon,25,22994.795,19087.06
1,polygon,26,23060.814,19417.156
1,polygon,27,23159.844,19747.252
1,polygon,28,23225.861,20110.357
1,polygon,29,23258.871,20506.473
1,polygon,30,23258.871,20902.586
1,polygon,31,23159.844,21232.682
1,polygon,32,23093.824,21595.787
1,polygon,33,22961.785,22255.979
1,polygon,34,22763.729,22586.074
1,polygon,35,22631.69,22916.17
1,polygon,36,22367.613,23180.246
1,polygon,37,22070.527,23345.293
1,polygon,38,21542.375,23807.428
1,polygon,39,21212.28,23840.436
1,polygon,40,20552.088,23576.36
1,polygon,41,20255.002,23411.312
1,polygon,42,19924.906,23312.283
1,polygon,43,19627.82,23015.197
1,polygon,44,19330.734,22751.121
1,polygon,45,19132.678,22454.035
1,polygon,46,18868.602,21793.844
1,polygon,47,18670.545,21496.758
1,polygon,48,18010.354,21232.682
1,polygon,49,17713.268,21067.635
1,polygon,50,17482.201,20803.559
1,polygon,51,17119.096,20737.54
1,polygon,52,16822.01,20539.482
1,polygon,53,16557.934,20275.404
1,polygon,54,16359.876,19945.31
1,polygon,55,16359.876,19582.205
1,polygon,56,16623.951,19318.129
1,polygon,57,16755.99,18955.023
1,polygon,58,16888.03,18558.908
1,polygon,59,17240.895,18156.178
1,polygon,60,18446.162,17111.611
1,polygon,61,18461.229,16925.8
1,polygon,62,17707.936,17387.818
1,polygon,63,17105.303,17945.256
1,polygon,64,16855.02,18162.793
1,polygon,65,16161.818,18955.023
1,polygon,66,15996.7705,19285.12
1,polygon,67,15765.704,19549.195
1,polygon,68,15468.618,19747.252
1,polygon,69,15138.522,19879.291
1,polygon,70,14808.427,19945.31
1,polygon,71,14445.322,20044.338
1,polygon,72,14181.245,20275.404
1,polygon,73,13851.15,20539.482
1,polygon,74,13554.064,20770.549
1,polygon,75,13256.979,21034.625
1,polygon,76,12596.787,21100.645
1,polygon,77,12200.673,21100.645
1,polygon,78,11870.577,21067.635
1,polygon,79,11540.481,20968.605
