index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,83417.41,21110.145
0,polygon,1,82757.414,21770.133
0,polygon,2,81932.43,22182.627
0,polygon,3,81107.44,22512.621
0,polygon,4,80364.95,22925.115
0,polygon,5,79374.97,22595.121
0,polygon,6,78549.984,22430.123
0,polygon,7,77807.49,22842.617
0,polygon,8,76982.51,23090.113
0,polygon,9,76157.516,23420.107
0,polygon,10,75332.53,23667.604
0,polygon,11,74672.54,23090.113
0,polygon,12,74095.055,22430.123
0,polygon,13,73765.055,21522.637
0,polygon,14,74095.055,20697.65
0,polygon,15,74177.55,19790.164
0,polygon,16,74425.05,18882.68
0,polygon,17,74672.54,18057.691
0,polygon,18,75002.54,17232.705
0,polygon,19,75250.03,16407.717
0,polygon,20,75332.53,15582.73
0,polygon,21,75250.03,14592.746
0,polygon,22,75002.54,13767.759
0,polygon,23,74590.05,13025.2705
0,polygon,24,73930.055,12447.78
0,polygon,25,73493.63,11709.578
0,polygon,26,72950.78,11492.438
0,polygon,27,72516.51,11058.159
0,polygon,28,71430.805,10623.88
0,polygon,29,70345.11,9863.892
0,polygon,30,69802.26,9538.183
0,polygon,31,69259.414,9321.043
0,polygon,32,68607.99,9049.618
0,polygon,33,67956.58,8832.479
0,polygon,34,67413.73,8561.055
0,polygon,35,66816.59,8235.346
0,polygon,36,66165.17,8072.4907
0,polygon,37,65568.04,7963.921
0,polygon,38,65025.19,7801.0664
0,polygon,39,64319.49,7583.927
0,polygon,40,63668.07,7366.787
0,polygon,41,62473.8,6769.6533
0,polygon,42,61876.668,6661.0835
0,polygon,43,61333.82,6552.5137
0,polygon,44,60845.254,6281.0894
0,polygon,45,60360.87,6281.0894
0,polygon,46,59876.49,6237.0547
0,polygon,47,59436.14,6148.9854
0,polygon,48,58951.76,5928.8115
0,polygon,49,57982.996,5576.534
0,polygon,50,57542.652,5444.43
0,polygon,51,56397.75,5444.43
0,polygon,52,55649.16,5136.1875
0,polygon,53,55164.777,5092.153
0,polygon,54,55208.812,4475.6675
0,polygon,55,55428.99,3594.9744
0,polygon,56,55869.332,2406.038
0,polygon,57,56221.61,1481.3102
0,polygon,58,56838.098,248.33939
0,polygon,59,56970.2,-412.18066
0,polygon,60,57146.34,-940.5967
0,polygon,61,57454.582,-2217.602
0,polygon,62,57718.79,-3054.2607
0,polygon,63,57982.996,-3494.6074
0,polygon,64,58467.38,-3978.989
0,polygon,65,59215.97,-4639.509
0,polygon,66,59700.35,-4771.613
0,polygon,67,60370.477,-4530.94
0,polygon,68,62445.027,-4263.2554
0,polygon,69,63381.926,-4129.413
0,polygon,70,64118.055,-4062.4922
0,polygon,71,65657.24,-3861.729
0,polygon,72,67999.48,-3460.2024
0,polygon,73,68601.766,-3058.676
0,polygon,74,69270.98,-2724.0706
0,polygon,75,70207.875,-2724.0706
0,polygon,76,71613.22,-2790.9915
0,polygon,77,72550.12,-2790.9915
0,polygon,78,74758.51,-2322.544
0,polygon,79,75762.33,-2188.7017
0,polygon,80,76498.46,-1921.0175
0,polygon,81,77368.43,-1653.3331
0,polygon,82,78773.77,-1184.8855
0,polygon,83,80714.484,-515.67456
0,polygon,84,82655.195,555.0628
0,polygon,85,83725.94,1358.1158
0,polygon,86,85198.195,2830.38
0,polygon,87,86469.7,3901.1172
0,polygon,88,87406.59,4971.8545
0,polygon,89,88343.49,6644.882
0,polygon,90,88945.78,8184.067
0,polygon,91,89481.15,9589.409
0,polygon,92,89614.99,10392.463
0,polygon,93,89748.836,12132.411
0,polygon,94,89748.836,13336.99
0,polygon,95,89481.15,14608.491
0,polygon,96,89347.305,15478.466
0,polygon,97,88811.94,16415.361
0,polygon,98,88343.49,17285.334
0,polygon,99,88075.805,18021.467
0,polygon,100,87339.67,18824.52
0,polygon,101,86536.62,19560.652
0,polygon,102,85733.57,20162.941
0,polygon,103,85131.28,20564.469
1,polygon,0,43571.766,102434.93
1,polygon,1,43571.766,104042.33
1,polygon,2,43250.285,104220.93
1,polygon,3,42857.367,104363.805
1,polygon,4,42321.566,104363.805
1,polygon,5,41857.207,104470.97
1,polygon,6,41500.008,104399.52
1,polygon,7,41035.65,104256.65
1,polygon,8,40607.01,104220.93
1,polygon,9,40249.812,104256.65
1,polygon,10,39856.89,104256.65
1,polygon,11,39499.69,104220.93
1,polygon,12,38785.293,103720.85
1,polygon,13,38320.934,103470.805
1,polygon,14,37713.695,103077.89
1,polygon,15,37427.938,102827.85
1,polygon,16,36999.297,102613.53
1,polygon,17,36606.38,102434.93
1,polygon,18,36249.18,102149.17
1,polygon,19,35856.258,101934.85
1,polygon,20,35570.5,101649.09
1,polygon,21,35249.02,101291.89
1,polygon,22,34963.26,100970.414
1,polygon,23,34713.223,100684.66
1,polygon,24,34141.703,100184.58
1,polygon,25,33891.664,99898.81
1,polygon,26,33605.902,99648.77
1,polygon,27,33355.863,99363.016
1,polygon,28,33141.543,98970.09
1,polygon,29,32998.664,98612.9
1,polygon,30,32748.625,97934.22
1,polygon,31,32677.186,97541.3
1,polygon,32,32427.145,97041.22
1,polygon,33,32355.705,96648.305
1,polygon,34,32355.705,96219.664
1,polygon,35,32284.266,95469.55
1,polygon,36,32284.266,95076.625
1,polygon,37,32462.865,94612.266
1,polygon,38,32784.344,94147.91
1,polygon,39,32962.945,93719.266
1,polygon,40,32998.664,93219.19
1,polygon,41,33248.703,92326.19
1,polygon,42,33498.742,91861.83
1,polygon,43,33998.824,91254.59
1,polygon,44,34177.42,90647.35
1,polygon,45,34213.14,90254.43
1,polygon,46,34284.582,89790.07
1,polygon,47,34427.46,89111.4
1,polygon,48,34606.062,88789.914
1,polygon,49,34856.1,88504.16
1,polygon,50,35570.5,88004.08
1,polygon,51,35856.258,87754.04
1,polygon,52,36177.74,87539.72
1,polygon,53,36820.695,87182.516
1,polygon,54,37285.055,86932.48
1,polygon,55,37713.695,86789.6
1,polygon,56,38249.496,86360.96
1,polygon,57,38678.133,86003.76
1,polygon,58,39571.133,85110.766
1,polygon,59,39856.89,84860.73
1,polygon,60,40249.812,84610.69
1,polygon,61,40714.168,84360.64
1,polygon,62,41285.688,84182.05
1,polygon,63,42000.086,83967.73
1,polygon,64,42785.926,83860.56
1,polygon,65,43714.645,83646.24
1,polygon,66,44714.8,83253.33
1,polygon,67,45429.2,83003.29
1,polygon,68,45965.0,82717.53
1,polygon,69,46643.68,82324.61
1,polygon,70,47143.758,82110.29
1,polygon,71,47858.156,81895.97
1,polygon,72,48643.996,81645.93
1,polygon,73,49929.914,81181.57
1,polygon,74,51037.23,80788.65
1,polygon,75,51573.03,80574.33
1,polygon,76,52144.547,80324.29
1,polygon,77,52751.79,80217.13
1,polygon,78,53680.504,80217.13
1,polygon,79,54394.902,80252.85
1,polygon,80,54894.984,80360.016
1,polygon,81,55502.223,80538.61
1,polygon,82,55859.42,80574.33
1,polygon,83,56288.062,80360.016
1,polygon,84,56859.58,80109.97
1,polygon,85,57216.777,80038.53
1,polygon,86,57573.977,80002.81
1,polygon,87,57966.9,80002.81
1,polygon,88,58324.098,80145.695
1,polygon,89,58288.375,80502.89
1,polygon,90,58145.496,80931.53
1,polygon,91,58038.336,81360.17
1,polygon,92,58109.777,81931.69
1,polygon,93,58181.22,82360.33
1,polygon,94,58288.375,82788.97
1,polygon,95,58324.098,83289.05
1,polygon,96,58324.098,88682.76
1,polygon,97,57966.9,88754.195
1,polygon,98,57538.258,88897.08
1,polygon,99,57145.34,88932.8
1,polygon,100,56716.7,88932.8
1,polygon,101,56359.5,89039.95
1,polygon,102,55145.023,89039.95
1,polygon,103,54787.824,89004.234
1,polygon,104,53894.824,89004.234
1,polygon,105,53537.625,89075.67
1,polygon,106,53180.426,89182.836
1,polygon,107,52787.508,89361.44
1,polygon,108,52430.31,89397.16
1,polygon,109,52037.387,89504.31
1,polygon,110,51573.03,89504.31
1,polygon,111,50858.63,89790.07
1,polygon,112,50537.152,90004.39
1,polygon,113,49822.754,90361.59
1,polygon,114,49108.355,90575.914
1,polygon,115,48751.156,90611.63
1,polygon,116,48429.676,90790.234
1,polygon,117,48143.914,91040.27
1,polygon,118,47786.715,91218.875
1,polygon,119,47429.516,91468.914
1,polygon,120,47108.04,91683.234
1,polygon,121,46786.56,91933.27
1,polygon,122,46500.8,92219.03
1,polygon,123,46143.6,92361.91
1,polygon,124,45429.2,92790.55
1,polygon,125,45036.28,92969.15
1,polygon,126,44393.324,93326.34
1,polygon,127,44036.125,93504.945
1,polygon,128,43643.203,93683.55
1,polygon,129,43286.004,93933.586
1,polygon,130,42964.527,94112.19
1,polygon,131,42643.047,94362.23
1,polygon,132,42285.848,94540.83
1,polygon,133,41928.65,94755.15
1,polygon,134,41607.168,95005.19
1,polygon,135,41285.688,95219.51
1,polygon,136,41035.65,95505.266
1,polygon,137,40714.168,95755.305
1,polygon,138,40428.41,96005.34
1,polygon,139,40821.33,96291.1
1,polygon,140,41178.527,96469.7
1,polygon,141,41535.727,96576.86
1,polygon,142,41857.207,96791.18
1,polygon,143,42178.688,97041.22
1,polygon,144,42464.445,97326.98
1,polygon,145,42714.484,97612.74
1,polygon,146,43035.965,97791.336
