index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,34963.477,13149.83
0,polygon,1,34963.477,12786.726
0,polygon,2,35128.523,12489.64
0,polygon,3,35359.59,12192.554
0,polygon,4,35590.656,11862.458
0,polygon,5,35854.734,11202.267
0,polygon,6,35986.773,10806.152
0,polygon,7,36217.84,10509.066
0,polygon,8,36779.0,9947.904
0,polygon,9,36944.047,9650.818
0,polygon,10,37142.105,9353.732
0,polygon,11,37472.203,9221.694
0,polygon,12,37736.277,8990.627
0,polygon,13,38000.355,8726.551
0,polygon,14,38231.42,8429.465
0,polygon,15,38363.46,8099.369
0,polygon,16,38396.47,7769.2734
0,polygon,17,38396.47,7340.1494
0,polygon,18,38462.49,6679.9585
0,polygon,19,38660.547,6019.7676
0,polygon,20,38726.562,5689.672
0,polygon,21,38825.594,5326.567
0,polygon,22,39056.66,5029.481
0,polygon,23,39320.734,4765.405
0,polygon,24,39584.812,4468.319
0,polygon,25,40112.965,4006.185
0,polygon,26,40410.05,3808.1277
0,polygon,27,40773.156,3676.0896
0,polygon,28,41103.25,3577.0608
0,polygon,29,41829.46,3577.0608
0,polygon,30,42192.566,3511.0417
0,polygon,31,42654.7,3379.0037
0,polygon,32,43017.805,3312.9844
0,polygon,33,43413.92,3312.9844
0,polygon,34,43810.035,3345.9941
0,polygon,35,44140.13,3412.0132
0,polygon,36,44503.234,3445.0227
0,polygon,37,44833.332,3577.0608
0,polygon,38,45163.426,3676.0896
0,polygon,39,45526.53,3742.1086
0,polygon,40,45922.645,3841.1372
0,polygon,41,46582.836,4039.1946
0,polygon,42,46912.934,4171.233
0,polygon,43,47110.99,4468.319
0,polygon,44,47474.094,4402.3
0,polygon,45,47804.19,4468.319
0,polygon,46,48134.285,4600.357
0,polygon,47,48464.383,4864.433
0,polygon,48,48728.457,5128.51
0,polygon,49,49025.543,5392.586
0,polygon,50,49256.61,5656.6626
0,polygon,51,49487.676,5953.7485
0,polygon,52,49652.727,6283.8438
0,polygon,53,49850.78,6580.9297
0,polygon,54,50015.832,6878.0156
0,polygon,55,50081.848,7208.1113
0,polygon,56,50114.86,7538.207
0,polygon,57,50015.832,7868.3022
0,polygon,58,49949.812,8198.397
0,polygon,59,49850.78,8528.493
0,polygon,60,49718.746,8891.599
0,polygon,61,49355.64,9089.655
0,polygon,62,49058.555,9287.713
0,polygon,63,48794.477,9551.789
0,polygon,64,48497.39,9782.856
0,polygon,65,48200.305,9947.904
0,polygon,66,47837.2,10079.942
0,polygon,67,47507.105,10178.971
0,polygon,68,47144.0,10311.009
0,polygon,69,46813.902,10410.038
0,polygon,70,46483.81,10476.057
0,polygon,71,46120.703,10509.066
0,polygon,72,45790.61,10542.076
0,polygon,73,44602.266,10542.076
0,polygon,74,44239.16,10575.085
0,polygon,75,43578.97,10773.143
0,polygon,76,43314.89,11070.229
0,polygon,77,43215.863,11400.324
0,polygon,78,42687.71,11862.458
0,polygon,79,42357.613,11994.496
0,polygon,80,41763.44,12390.61
0,polygon,81,41433.348,12522.648
0,polygon,82,41169.27,12753.716
0,polygon,83,40872.184,12984.782
0,polygon,84,40542.09,13182.84
0,polygon,85,40245.004,13446.916
0,polygon,86,39914.906,13644.974
0,polygon,87,39617.82,13876.04
0,polygon,88,39320.734,14074.098
0,polygon,89,38924.62,14173.126
0,polygon,90,38528.508,14173.126
0,polygon,91,38132.39,14305.164
0,polygon,92,37769.29,14404.193
0,polygon,93,37439.19,14503.222
0,polygon,94,37109.098,14569.241
0,polygon,95,36812.01,14734.289
0,polygon,96,36481.914,14833.317
0,polygon,97,36118.81,14833.317
0,polygon,98,35788.715,14668.27
0,polygon,99,35491.63,14503.222
0,polygon,100,35293.57,14206.136
0,polygon,101,35161.53,13876.04
0,polygon,102,34963.477,13578.954
1,polygon,0,50327.832,101981.1
1,polygon,1,49961.59,102225.266
1,polygon,2,49595.35,102428.734
1,polygon,3,48781.484,102754.28
1,polygon,4,47560.684,102265.96
1,polygon,5,47153.75,101940.414
1,polygon,6,46909.59,101533.48
1,polygon,7,46746.816,101126.55
1,polygon,8,46746.816,100638.23
1,polygon,9,46909.59,100231.29
1,polygon,10,46990.977,99824.36
1,polygon,11,47275.83,99336.04
1,polygon,12,47601.375,99010.49
1,polygon,13,48171.082,98359.4
1,polygon,14,48496.63,98074.54
1,polygon,15,48862.87,97871.07
1,polygon,16,49147.723,97545.52
1,polygon,17,49229.11,97097.9
1,polygon,18,49351.19,96690.97
1,polygon,19,49391.883,96243.336
1,polygon,20,49351.19,95795.71
1,polygon,21,49229.11,95307.39
1,polygon,22,49188.418,94778.375
1,polygon,23,49188.418,93801.734
1,polygon,24,49147.723,93354.11
1,polygon,25,49351.19,92947.17
1,polygon,26,49636.043,92621.625
1,polygon,27,49961.59,92336.77
1,polygon,28,50327.832,92051.92
