index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,107590.5,84951.26
0,polygon,1,106921.29,85018.18
0,polygon,2,106185.16,85018.18
0,polygon,3,104980.58,85218.94
0,polygon,4,104110.6,85620.47
0,polygon,5,103441.39,86289.68
0,polygon,6,102839.1,86825.05
0,polygon,7,102370.66,87360.414
0,polygon,8,101768.37,87962.7
0,polygon,9,100697.625,88899.6
0,polygon,10,100363.02,89501.89
0,polygon,11,100095.336,90238.02
0,polygon,12,99760.734,90907.234
0,polygon,13,99493.05,91576.445
0,polygon,14,99292.28,92245.66
0,polygon,15,98689.99,94454.05
0,polygon,16,98556.16,95123.26
0,polygon,17,98087.7,95658.63
0,polygon,18,97552.336,96997.055
0,polygon,19,97351.57,97733.19
0,polygon,20,97217.734,98402.39
0,polygon,21,97686.18,99004.69
0,polygon,22,98556.16,99205.445
0,polygon,23,99158.445,99540.055
0,polygon,24,99827.66,99874.66
0,polygon,25,100028.414,100543.87
0,polygon,26,99961.49,101346.92
0,polygon,27,99693.81,102083.055
0,polygon,28,99225.37,102685.34
0,polygon,29,99024.6,103354.555
0,polygon,30,99693.81,103555.32
0,polygon,31,100429.945,103689.164
0,polygon,32,101099.16,103956.84
0,polygon,33,101433.76,104626.055
0,polygon,34,101701.445,105295.266
0,polygon,35,101567.6,106098.32
0,polygon,36,100898.39,107102.13
0,polygon,37,100162.26,108574.4
0,polygon,38,99760.734,109176.69
0,polygon,39,99225.37,109845.9
0,polygon,40,98823.836,110582.03
0,polygon,41,98756.914,111318.164
0,polygon,42,99626.89,111719.69
0,polygon,43,102303.734,112790.43
0,polygon,44,104980.58,114061.93
0,polygon,45,106252.08,114931.91
0,polygon,46,107523.58,114864.984
0,polygon,47,108795.08,114396.53
0,polygon,48,109531.21,114128.85
0,polygon,49,109865.82,112388.9
0,polygon,50,109865.82,108775.164
0,polygon,51,109731.98,103488.4
0,polygon,52,109932.734,98603.16
0,polygon,53,109999.66,95658.63
0,polygon,54,109397.37,90304.945
0,polygon,55,109196.61,88966.52
0,polygon,56,109129.69,88230.39
