index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,73609.83,34141.867
0,polygon,1,72222.82,34141.867
0,polygon,2,71727.46,34174.89
0,polygon,3,71397.22,34207.914
0,polygon,4,71033.95,34306.984
0,polygon,5,70637.67,34340.008
0,polygon,6,70109.29,34406.06
0,polygon,7,69713.0,34373.03
0,polygon,8,69052.516,34306.984
0,polygon,9,68656.234,34273.96
0,polygon,10,68325.99,34174.89
0,polygon,11,67929.7,34042.793
0,polygon,12,67599.47,33811.625
0,polygon,13,67236.2,33679.53
0,polygon,14,66575.72,33349.29
0,polygon,15,66311.53,33118.12
0,polygon,16,65882.22,32754.86
0,polygon,17,65684.08,32424.62
0,polygon,18,65882.22,32094.38
0,polygon,19,66146.414,31863.213
0,polygon,20,66146.414,31466.926
0,polygon,21,66113.39,31103.662
0,polygon,22,66014.31,30773.422
0,polygon,23,65684.08,30046.895
0,polygon,24,65188.715,29155.248
0,polygon,25,64924.523,28891.057
0,polygon,26,64594.285,28659.889
0,polygon,27,64297.07,28395.697
0,polygon,28,63636.59,27933.361
0,polygon,29,63306.35,27636.146
0,polygon,30,62943.086,27272.883
0,polygon,31,62678.895,27041.715
0,polygon,32,62447.727,26777.523
0,polygon,33,62216.56,26447.283
0,polygon,34,62051.44,26150.068
0,polygon,35,61853.297,25720.756
0,polygon,36,61787.25,25357.492
0,polygon,37,61688.176,24961.205
0,polygon,38,61622.13,24630.967
0,polygon,39,61556.082,24267.703
0,polygon,40,61523.06,23904.44
0,polygon,41,61523.06,23541.176
0,polygon,42,61490.035,23210.936
0,polygon,43,61423.984,22748.6
0,polygon,44,61390.96,22418.361
0,polygon,45,61324.914,22055.098
0,polygon,46,61324.914,21658.81
0,polygon,47,61357.938,21262.523
0,polygon,48,61258.867,20866.234
0,polygon,49,60730.48,20073.66
0,polygon,50,60565.363,19677.373
0,polygon,51,60433.266,19347.133
0,polygon,52,60202.098,19016.893
0,polygon,53,60003.957,18587.582
0,polygon,54,59871.86,18257.342
0,polygon,55,59673.715,17960.127
0,polygon,56,59442.547,17695.936
0,polygon,57,59178.355,17431.744
0,polygon,58,58848.117,17167.553
0,polygon,59,58550.902,16903.361
0,polygon,60,57923.445,16408.002
0,polygon,61,57692.277,16143.81
0,polygon,62,57560.184,15582.402
0,polygon,63,57560.184,14756.804
0,polygon,64,57428.086,14393.54
0,polygon,65,57295.992,14063.3
0,polygon,66,57130.87,13733.061
0,polygon,67,56998.773,13336.773
0,polygon,68,56899.703,13006.533
0,polygon,69,56635.51,12577.222
0,polygon,70,56371.32,12313.03
0,polygon,71,56074.105,12048.839
0,polygon,72,55842.938,11784.647
0,polygon,73,55479.67,11487.432
0,polygon,74,55215.48,11157.192
0,polygon,75,55050.363,10859.977
0,polygon,76,54819.195,10562.761
0,polygon,77,54588.027,10199.497
0,polygon,78,54621.05,9869.258
0,polygon,79,54753.145,9505.994
