index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,75912.76,55471.164
0,polygon,1,75346.06,54661.605
0,polygon,2,75184.16,53771.086
0,polygon,3,76074.67,52313.875
0,polygon,4,77774.75,51180.492
0,polygon,5,78584.31,51018.58
0,polygon,6,79393.875,51261.45
0,polygon,7,80527.26,51666.227
0,polygon,8,81417.77,51828.14
0,polygon,9,81984.47,52718.656
0,polygon,10,81660.64,54094.91
0,polygon,11,80770.125,54580.65
0,polygon,12,79717.695,55066.387
0,polygon,13,78827.18,55390.21
0,polygon,14,77693.8,55552.12
0,polygon,15,76803.27,55875.945
1,polygon,0,79070.05,49561.367
1,polygon,1,80041.52,48266.07
1,polygon,2,80527.26,47294.598
1,polygon,3,80851.08,46485.035
1,polygon,4,81093.95,45594.52
1,polygon,5,82308.29,44784.957
1,polygon,6,83198.81,44380.18
1,polygon,7,83927.414,43732.527
1,polygon,8,84979.84,42761.055
1,polygon,9,85708.445,41789.582
1,polygon,10,86113.23,40899.066
1,polygon,11,86356.09,40089.504
1,polygon,12,86598.97,39198.99
1,polygon,13,87084.7,38308.47
1,polygon,14,87894.266,37256.04
1,polygon,15,88703.83,36932.215
1,polygon,16,89594.34,36527.434
1,polygon,17,90080.08,35475.004
1,polygon,18,89837.21,33693.973
1,polygon,19,89594.34,32722.498
1,polygon,20,89432.43,31912.936
1,polygon,21,89189.56,31103.375
1,polygon,22,89108.6,30212.857
1,polygon,23,88946.695,29322.34
1,polygon,24,88460.95,28593.736
1,polygon,25,87813.305,27784.174
1,polygon,26,87327.57,26893.656
1,polygon,27,86841.836,26165.053
1,polygon,28,85870.36,25436.447
1,polygon,29,85141.76,24788.799
1,polygon,30,84575.06,23979.236
1,polygon,31,84170.28,22926.809
1,polygon,32,83522.63,22360.115
1,polygon,33,82632.12,21874.379
1,polygon,34,81336.82,20740.992
1,polygon,35,80689.17,19769.52
1,polygon,36,79879.61,19526.65
1,polygon,37,79070.05,19445.695
1,polygon,38,78098.57,19121.871
1,polygon,39,77208.055,19769.52
1,polygon,40,76560.41,20417.168
1,polygon,41,76074.67,21226.729
1,polygon,42,76155.625,22036.291
1,polygon,43,76884.234,23169.676
1,polygon,44,76965.19,23979.236
1,polygon,45,76803.27,25193.578
1,polygon,46,76722.32,26084.096
1,polygon,47,76479.45,27217.482
1,polygon,48,76155.625,28188.955
1,polygon,49,76074.67,29160.428
1,polygon,50,75831.805,30050.945
1,polygon,51,75831.805,30941.463
1,polygon,52,75588.94,32074.848
1,polygon,53,75265.11,33451.1
1,polygon,54,74860.33,34341.62
1,polygon,55,74617.46,35313.094
1,polygon,56,74212.68,36365.523
1,polygon,57,73807.9,37094.13
1,polygon,58,73484.08,37903.688
1,polygon,59,72836.43,38713.25
1,polygon,60,72350.69,39441.855
1,polygon,61,72269.734,40332.37
1,polygon,62,72998.336,40818.11
1,polygon,63,73888.86,41141.934
1,polygon,64,74536.51,41708.625
1,polygon,65,75184.16,42437.23
1,polygon,66,75346.06,43327.75
1,polygon,67,75588.94,44137.31
1,polygon,68,75588.94,47456.51
1,polygon,69,75507.98,48347.027
1,polygon,70,75669.89,49156.59
1,polygon,71,76560.41,49399.457
2,polygon,0,60432.297,129646.58
2,polygon,1,59434.29,130045.78
2,polygon,2,58336.48,130345.18
2,polygon,3,57238.67,130245.375
2,polygon,4,57138.87,129147.57
2,polygon,5,57637.875,128049.766
2,polygon,6,58037.08,127051.76
2,polygon,7,58236.68,125754.34
2,polygon,8,58037.08,124157.53
2,polygon,9,56939.27,123558.73
2,polygon,10,55941.26,123259.33
2,polygon,11,54743.652,123159.52
2,polygon,12,53446.242,123159.52
2,polygon,13,52148.832,123558.73
2,polygon,14,51051.023,123957.93
2,polygon,15,50053.02,124157.53
2,polygon,16,48655.81,124357.13
2,polygon,17,47558.0,124556.734
2,polygon,18,46360.39,124756.336
2,polygon,19,45362.383,124856.14
2,polygon,20,44264.574,125055.74
2,polygon,21,43166.766,125055.74
2,polygon,22,41969.156,124856.14
2,polygon,23,40671.746,124556.734
2,polygon,24,39474.14,124157.53
2,polygon,25,38476.133,123858.13
2,polygon,26,37378.324,123359.125
2,polygon,27,36180.715,123359.125
2,polygon,28,34683.703,123658.53
2,polygon,29,33685.695,123758.33
2,polygon,30,32721.818,123658.53
2,polygon,31,31539.764,123133.17
2,polygon,32,30883.064,122804.82
2,polygon,33,30226.367,122673.484
2,polygon,34,29372.66,122476.48
2,polygon,35,28518.953,122082.45
2,polygon,36,27730.916,121491.43
2,polygon,37,27205.559,120900.4
2,polygon,38,26614.53,120178.03
2,polygon,39,26220.512,119587.0
2,polygon,40,25892.162,118864.63
2,polygon,41,25563.812,118273.61
2,polygon,42,26154.842,117157.22
2,polygon,43,26417.52,116500.52
2,polygon,44,27074.219,116106.51
2,polygon,45,27665.246,115712.484
2,polygon,46,27993.596,115055.79
2,polygon,47,28190.604,114399.09
2,polygon,48,28518.953,113676.73
2,polygon,49,29175.65,113282.7
2,polygon,50,29832.35,112823.016
2,polygon,51,30357.707,112297.66
2,polygon,52,30948.734,111903.64
2,polygon,53,31539.764,111378.28
2,polygon,54,32393.47,110984.266
2,polygon,55,33247.176,110721.586
2,polygon,56,33969.543,110655.914
2,polygon,57,34757.582,110196.23
2,polygon,58,35348.61,109867.875
2,polygon,59,36070.977,109605.195
2,polygon,60,36727.676,109408.19
2,polygon,61,37384.375,109276.85
2,polygon,62,38106.742,109145.51
2,polygon,63,38894.777,109145.51
2,polygon,64,39551.477,109211.18
2,polygon,65,40208.17,109408.19
2,polygon,66,40930.54,109539.53
2,polygon,67,41587.24,109670.87
2,polygon,68,42243.938,109736.54
2,polygon,69,42966.305,109867.875
2,polygon,70,43820.01,109999.22
2,polygon,71,44542.38,110196.23
2,polygon,72,45133.406,110524.58
2,polygon,73,45790.105,110984.266
2,polygon,74,46578.14,111378.28
2,polygon,75,47891.54,111772.3
2,polygon,76,48613.906,112034.98
2,polygon,77,49270.6,112297.66
2,polygon,78,50058.64,112626.01
2,polygon,79,50255.65,113414.05
2,polygon,80,50321.32,114136.414
2,polygon,81,50321.32,114858.78
2,polygon,82,50584.0,115515.48
2,polygon,83,50781.008,116237.84
2,polygon,84,51109.355,116960.21
2,polygon,85,51372.035,117616.914
2,polygon,86,52160.074,117551.24
2,polygon,87,52422.75,116894.55
2,polygon,88,53013.78,116434.85
2,polygon,89,53604.81,116040.836
2,polygon,90,54195.836,115712.484
2,polygon,91,54852.535,115646.82
2,polygon,92,55509.23,115712.484
2,polygon,93,56100.258,116040.836
2,polygon,94,56625.617,116500.52
2,polygon,95,56691.29,117157.22
2,polygon,96,57150.977,117682.58
2,polygon,97,57150.977,118404.945
2,polygon,98,57544.996,119061.65
2,polygon,99,57413.656,119784.016
2,polygon,100,57413.656,121294.42
2,polygon,101,57610.664,121951.12
2,polygon,102,58661.38,123133.17
3,polygon,0,58093.617,130157.14
3,polygon,1,57567.836,129981.875
3,polygon,2,57217.316,129911.77
3,polygon,3,56971.953,129491.15
3,polygon,4,56761.64,129070.52
3,polygon,5,56691.535,128509.695
3,polygon,6,56866.797,128054.016
3,polygon,7,57147.21,127738.55
3,polygon,8,57672.992,127388.03
3,polygon,9,57988.46,127107.61
3,polygon,10,58233.824,126686.984
3,polygon,11,58444.137,126371.516
