index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,14907.458,33236.668
0,polygon,1,14907.458,13409.404
0,polygon,2,15296.228,8355.396
0,polygon,3,16073.768,3690.1577
0,polygon,4,16462.537,-586.31067
0,polygon,5,19572.695,-7195.3984
0,polygon,6,22294.086,-10305.558
0,polygon,7,26181.783,-13415.716
0,polygon,8,29680.713,-15359.565
0,polygon,9,35512.26,-16914.645
0,polygon,10,41343.81,-18080.955
0,polygon,11,48730.438,-18469.725
0,polygon,12,60393.53,-13415.716
0,polygon,13,66613.85,-9139.248
0,polygon,14,74778.016,-3307.6997
0,polygon,15,78276.945,-586.31067
0,polygon,16,82942.18,1746.3085
0,polygon,17,86829.88,3301.388
0,polygon,18,91106.35,4856.4673
0,polygon,19,96937.9,9521.706
0,polygon,20,100825.59,14186.944
0,polygon,21,103935.76,18852.182
0,polygon,22,105490.836,23517.42
0,polygon,23,106657.15,28182.658
0,polygon,24,107045.914,32459.127
0,polygon,25,107045.914,39068.215
0,polygon,26,106657.15,46454.844
0,polygon,27,101214.37,49953.77
0,polygon,28,98492.98,53063.93
0,polygon,29,94605.28,55785.32
0,polygon,30,86829.88,58506.707
0,polygon,31,80609.56,62005.637
0,polygon,32,75944.33,63560.715
0,polygon,33,69724.01,64727.027
0,polygon,34,64670.0,65504.566
0,polygon,35,53784.445,65504.566
0,polygon,36,46397.816,60839.33
0,polygon,37,41732.58,57340.4
0,polygon,38,37844.88,53452.7
0,polygon,39,34345.95,50342.54
0,polygon,40,30847.021,48398.69
0,polygon,41,26570.553,46843.613
0,polygon,42,22682.855,45677.3
0,polygon,43,18795.156,43344.684
0,polygon,44,16851.307,39845.754
