index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,-8029.964,118377.266
0,polygon,1,-8418.733,114100.8
0,polygon,2,-6863.6543,109435.56
0,polygon,3,-4142.265,104381.555
0,polygon,4,-2587.1858,98550.0
0,polygon,5,-1809.6461,93495.99
0,polygon,6,-643.33655,88830.76
0,polygon,7,134.2032,84943.055
0,polygon,8,1300.5128,81055.36
0,polygon,9,5188.2114,76390.125
0,polygon,10,9075.91,75223.81
0,polygon,11,13352.379,75223.81
0,polygon,12,18406.387,76001.35
0,polygon,13,23071.625,76778.89
0,polygon,14,37456.11,76778.89
0,polygon,15,43287.656,78333.97
0,polygon,16,47175.355,79500.28
0,polygon,17,51063.055,81832.9
0,polygon,18,54950.754,85331.83
0,polygon,19,58060.914,88830.76
0,polygon,20,61559.84,92718.45
0,polygon,21,65058.77,95051.08
0,polygon,22,67391.39,98938.77
0,polygon,23,69724.01,103215.24
0,polygon,24,70112.78,107491.71
0,polygon,25,70501.55,112934.49
0,polygon,26,70501.55,118377.266
0,polygon,27,69724.01,123042.51
0,polygon,28,65836.31,129262.82
0,polygon,29,62337.38,133150.52
0,polygon,30,57672.14,138204.53
0,polygon,31,53006.902,142481.0
0,polygon,32,46786.586,146368.7
0,polygon,33,41732.58,148312.55
0,polygon,34,36289.8,149478.86
0,polygon,35,31624.562,149867.62
0,polygon,36,27736.863,149478.86
0,polygon,37,15296.228,146368.7
0,polygon,38,9853.449,144813.61
0,polygon,39,5576.9814,144036.08
