index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,84166.53,42590.074
0,polygon,1,83272.42,42321.84
0,polygon,2,82378.31,42232.43
0,polygon,3,81484.2,42053.61
0,polygon,4,80590.1,41517.145
0,polygon,5,79785.4,40444.215
0,polygon,6,79159.52,39728.926
0,polygon,7,78444.24,38924.23
0,polygon,8,77818.37,38208.945
0,polygon,9,77103.08,37404.246
0,polygon,10,76566.62,36510.14
0,polygon,11,76656.02,35347.8
0,polygon,12,77192.49,34543.1
0,polygon,13,77639.55,33738.406
0,polygon,14,77997.19,32844.297
0,polygon,15,77907.77,31950.19
0,polygon,16,77460.72,31145.492
0,polygon,17,77371.31,30251.385
0,polygon,18,77997.19,29536.098
0,polygon,19,77550.13,28641.99
0,polygon,20,76924.26,27837.293
0,polygon,21,76298.38,27122.006
0,polygon,22,75672.51,26317.31
0,polygon,23,74241.93,24707.916
0,polygon,24,73437.234,24260.861
0,polygon,25,72632.54,23634.986
0,polygon,26,71738.43,23009.111
0,polygon,27,70129.04,21936.182
0,polygon,28,69234.93,21399.717
0,polygon,29,68430.234,20863.252
0,polygon,30,67625.53,20416.197
0,polygon,31,66731.43,19790.322
0,polygon,32,65122.03,18896.215
0,polygon,33,64317.336,18359.75
0,polygon,34,63333.816,17733.875
0,polygon,35,62618.53,17107.998
0,polygon,36,61098.547,15588.016
0,polygon,37,60204.44,14962.14
0,polygon,38,59310.332,13978.621
0,polygon,39,59399.742,12100.995
0,polygon,40,60115.027,10402.189
0,polygon,41,60919.727,9061.028
0,polygon,42,62439.71,7541.0444
0,polygon,43,63423.227,6825.7583
0,polygon,44,64049.105,6110.472
0,polygon,45,64764.39,5037.5425
0,polygon,46,65390.266,4322.2563
0,polygon,47,67625.53,4143.4346
0,polygon,48,70844.32,5395.1855
0,polygon,49,72632.54,6468.115
0,polygon,50,74241.93,7809.277
0,polygon,51,75672.51,8703.385
0,polygon,52,77013.664,9597.492
0,polygon,53,78891.3,10759.833
0,polygon,54,81215.98,12458.638
0,polygon,55,83004.19,14246.854
0,polygon,56,85775.92,17286.82
0,polygon,57,87564.14,19969.145
0,polygon,58,90425.29,24171.451
0,polygon,59,91855.86,26317.31
0,polygon,60,92660.555,27211.418
0,polygon,61,93465.25,28641.99
0,polygon,62,93822.9,29625.51
0,polygon,63,94359.36,31771.367
0,polygon,64,94627.59,33648.996
0,polygon,65,94806.414,35526.62
0,polygon,66,95074.65,37583.07
0,polygon,67,94895.83,38745.41
0,polygon,68,94448.77,39818.34
0,polygon,69,93375.84,40891.27
0,polygon,70,92302.914,41695.965
1,polygon,0,59520.49,13983.701
1,polygon,1,58108.492,12748.206
1,polygon,2,57578.996,12042.209
1,polygon,3,57108.332,11512.711
1,polygon,4,56696.5,10983.214
1,polygon,5,56225.832,10453.716
1,polygon,6,55755.168,10041.884
1,polygon,7,55225.67,9571.22
1,polygon,8,54637.34,9041.722
1,polygon,9,54107.844,8688.723
1,polygon,10,53519.51,8335.725
1,polygon,11,52931.18,7865.0596
1,polygon,12,52225.184,7688.5605
1,polygon,13,51519.188,7394.395
1,polygon,14,50930.855,7100.2295
1,polygon,15,50224.86,6688.398
1,polygon,16,49577.695,6453.0654
1,polygon,17,48871.695,6217.733
1,polygon,18,48224.53,6041.234
1,polygon,19,47577.367,5923.5674
1,polygon,20,47047.87,5570.569
1,polygon,21,46341.875,5629.4023
1,polygon,22,45518.21,5688.2354
1,polygon,23,44929.88,5570.569
1,polygon,24,44341.55,5629.4023
1,polygon,25,43753.22,5747.0684
1,polygon,26,43106.055,5864.7344
1,polygon,27,42576.555,6158.9
1,polygon,28,41870.56,6453.0654
1,polygon,29,41282.227,6511.8984
1,polygon,30,40693.9,6629.5645
1,polygon,31,40046.734,6864.897
1,polygon,32,39458.402,7041.3965
1,polygon,33,38164.074,7394.395
1,polygon,34,37575.742,7570.894
1,polygon,35,36987.414,7629.727
1,polygon,36,36340.25,7629.727
1,polygon,37,35751.918,7865.0596
1,polygon,38,35457.754,8394.558
1,polygon,39,34751.754,8629.89
1,polygon,40,34104.59,8276.892
1,polygon,41,33516.26,8100.392
1,polygon,42,32869.098,7688.5605
1,polygon,43,32457.264,7217.8955
1,polygon,44,32045.434,6688.398
1,polygon,45,31751.268,5864.7344
1,polygon,46,31515.936,4688.0728
1,polygon,47,31515.936,2628.9143
1,polygon,48,32457.264,2217.0828
1,polygon,49,32927.93,1746.418
1,polygon,50,30751.105,1805.2511
1,polygon,51,31986.6,1511.0857
1,polygon,52,31986.6,569.75616
1,polygon,53,32045.434,-195.07404
1,polygon,54,32398.432,-1077.5704
1,polygon,55,32810.26,-1783.5675
1,polygon,56,34222.258,-2666.064
1,polygon,57,35398.918,-2901.3962
1,polygon,58,38164.074,-3313.228
1,polygon,59,41929.39,-3430.894
1,polygon,60,44518.047,-3313.228
1,polygon,61,50519.023,-2960.2295
1,polygon,62,53872.51,-2666.064
1,polygon,63,57049.496,-2548.3977
1,polygon,64,60461.816,-2254.2322
1,polygon,65,63285.805,-1783.5675
1,polygon,66,64462.465,-1371.7358
1,polygon,67,65168.465,-548.0726
1,polygon,68,65639.125,157.92451
1,polygon,69,66050.96,805.08856
1,polygon,70,66462.79,1687.585
1,polygon,71,66992.29,2923.0798
1,polygon,72,67227.625,3923.2424
1,polygon,73,67345.29,4570.4062
1,polygon,74,67462.95,5394.07
2,polygon,0,63708.85,115849.47
2,polygon,1,62165.727,115739.24
2,polygon,2,60512.37,115408.57
2,polygon,3,58859.02,114857.45
2,polygon,4,57756.785,114306.336
2,polygon,5,56434.105,113865.445
2,polygon,6,54450.082,112983.66
2,polygon,7,53017.176,112652.984
2,polygon,8,51694.496,112652.984
2,polygon,9,50261.59,112542.766
2,polygon,10,49049.133,111771.195
2,polygon,11,47946.9,110889.414
2,polygon,12,47395.78,109787.18
2,polygon,13,46844.664,108574.72
2,polygon,14,46734.44,107472.484
2,polygon,15,46183.324,106480.47
2,polygon,16,45301.535,105488.46
2,polygon,17,44309.523,104606.67
2,polygon,18,42876.62,104055.555
2,polygon,19,40451.703,102732.875
2,polygon,20,39239.246,101851.086
2,polygon,21,38026.79,101189.74
2,polygon,22,36814.33,100638.625
2,polygon,23,35491.65,99977.29
2,polygon,24,34168.965,99536.39
2,polygon,25,33066.73,99095.5
2,polygon,26,31964.496,98764.83
2,polygon,27,30531.592,98103.49
2,polygon,28,29429.357,97552.375
2,polygon,29,28106.676,96560.36
2,polygon,30,27114.664,95458.125
