index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,20905.492,94439.06
0,polygon,1,20589.979,94533.72
0,polygon,2,19832.748,94723.03
0,polygon,3,19043.965,94723.03
0,polygon,4,18633.797,94691.48
0,polygon,5,18223.629,94723.03
0,polygon,6,17813.463,94817.68
0,polygon,7,17434.846,94912.336
0,polygon,8,17087.781,95038.54
0,polygon,9,16456.756,95354.055
0,polygon,10,16015.037,95543.36
0,polygon,11,15636.421,95669.57
0,polygon,12,15257.805,95827.33
0,polygon,13,14910.74,95953.53
0,polygon,14,14532.124,96111.29
0,polygon,15,13680.238,96584.555
0,polygon,16,13396.276,96836.97
0,polygon,17,13112.314,97120.93
0,polygon,18,12891.455,97436.445
0,polygon,19,12639.045,97657.305
0,polygon,20,12197.326,98225.23
0,polygon,21,11944.915,98603.84
0,polygon,22,11724.056,98887.805
0,polygon,23,11471.6455,99140.21
0,polygon,24,11376.991,99455.73
0,polygon,25,11219.234,99739.69
0,polygon,26,11061.479,100118.305
0,polygon,27,10840.619,100402.266
0,polygon,28,10651.311,100717.78
0,polygon,29,10493.554,101064.84
0,polygon,30,10272.695,101317.26
0,polygon,31,10083.387,101632.766
0,polygon,32,9925.63,101948.28
0,polygon,33,9673.22,102326.9
0,polygon,34,9578.565,102673.96
0,polygon,35,9483.912,103052.58
0,polygon,36,9168.398,103746.71
0,polygon,37,9042.193,104093.77
0,polygon,38,8947.539,104472.39
0,polygon,39,8915.987,104851.01
0,polygon,40,8789.782,105229.62
0,polygon,41,8695.128,105639.79
0,polygon,42,8663.577,106081.51
0,polygon,43,8632.025,106428.57
0,polygon,44,8600.475,106964.945
0,polygon,45,8568.923,107312.01
0,polygon,46,8537.372,107816.83
0,polygon,47,8537.372,108163.89
0,polygon,48,8474.27,108510.96
0,polygon,49,8442.718,108889.58
0,polygon,50,8411.166,109299.74
0,polygon,51,8379.615,109615.26
0,polygon,52,8379.615,111098.164
0,polygon,53,8442.718,111602.99
0,polygon,54,8505.82,111950.055
0,polygon,55,8568.923,112360.22
0,polygon,56,8600.475,112675.734
0,polygon,57,8632.025,113149.01
0,polygon,58,8663.577,113464.516
0,polygon,59,8726.68,113843.13
0,polygon,60,8758.231,114190.195
0,polygon,61,8852.885,114505.71
0,polygon,62,8915.987,114852.77
0,polygon,63,9483.912,115610.01
0,polygon,64,9736.322,115830.87
0,polygon,65,10051.836,115988.625
0,polygon,66,10335.798,116146.38
0,polygon,67,10619.76,116367.24
0,polygon,68,10903.722,116525.0
0,polygon,69,11219.234,116682.75
0,polygon,70,11534.748,116745.86
0,polygon,71,11818.71,116903.61
0,polygon,72,12228.877,116966.72
0,polygon,73,12986.109,117092.92
0,polygon,74,13301.622,117156.02
0,polygon,75,13711.79,117156.02
0,polygon,76,14058.8545,117092.92
0,polygon,77,14374.367,116966.72
0,polygon,78,14721.433,116777.41
0,polygon,79,15131.6,116493.445
0,polygon,80,15447.112,116241.03
0,polygon,81,15794.178,116020.17
0,polygon,82,16172.793,115925.52
0,polygon,83,16614.512,115957.07
0,polygon,84,16930.025,116083.28
0,polygon,85,17277.09,116241.03
0,polygon,86,17718.809,116461.89
0,polygon,87,18097.424,116588.1
0,polygon,88,18476.041,116525.0
0,polygon,89,18823.105,116272.586
0,polygon,90,19138.62,116146.38
0,polygon,91,19517.234,115988.625
