index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,46799.098,112348.46
0,polygon,1,46876.523,112813.016
0,polygon,2,46682.96,113277.57
0,polygon,3,46373.258,113625.984
0,polygon,4,46257.12,114051.82
0,polygon,5,46063.56,114400.234
0,polygon,6,45715.145,114826.08
0,polygon,7,45095.74,115600.33
0,polygon,8,44515.05,116219.734
0,polygon,9,44205.348,116568.15
0,polygon,10,43740.797,116993.99
0,polygon,11,43353.668,117342.41
0,polygon,12,42889.117,117652.1
0,polygon,13,42424.562,118155.37
0,polygon,14,41998.723,118619.92
0,polygon,15,41611.598,118968.336
0,polygon,16,41185.758,119161.9
0,polygon,17,40721.203,119394.17
0,polygon,18,40101.8,119781.305
0,polygon,19,39598.535,119936.16
0,polygon,20,39172.695,120052.29
0,polygon,21,38785.57,120091.01
0,polygon,22,38282.305,120052.29
0,polygon,23,37740.33,120013.58
0,polygon,24,36346.668,120013.58
0,polygon,25,35959.543,119936.16
0,polygon,26,35494.99,119820.016
0,polygon,27,34875.586,119742.59
0,polygon,28,34294.895,119742.59
0,polygon,29,33907.77,119703.875
0,polygon,30,33443.22,119703.875
0,polygon,31,33056.09,119549.02
0,polygon,32,32707.676,119355.46
0,polygon,33,32281.836,119161.9
0,polygon,34,31894.709,119045.76
0,polygon,35,31546.295,118852.195
0,polygon,36,31120.455,118581.21
0,polygon,37,30772.041,118232.8
0,polygon,38,30578.477,117806.95
0,polygon,39,30578.477,116993.99
0,polygon,40,30539.764,116606.86
0,polygon,41,30501.05,116103.59
0,polygon,42,30384.914,115639.05
0,polygon,43,29997.787,114903.5
0,polygon,44,29804.223,114400.234
0,polygon,45,29610.66,114051.82
0,polygon,46,29262.246,113742.125
0,polygon,47,28797.693,113354.99
0,polygon,48,28449.28,113122.72
0,polygon,49,27946.014,112696.875
0,polygon,50,27597.6,112425.89
0,polygon,51,26978.195,112193.62
0,polygon,52,26552.355,111961.336
0,polygon,53,26203.941,111729.06
0,polygon,54,26049.092,111225.8
0,polygon,55,26010.379,110799.95
0,polygon,56,26010.379,110335.41
0,polygon,57,25971.666,109870.85
0,polygon,58,26049.092,109406.3
0,polygon,59,26320.08,108941.75
0,polygon,60,26784.633,108593.336
0,polygon,61,27133.047,108399.766
0,polygon,62,27520.174,108206.2
0,polygon,63,27984.727,107935.22
0,polygon,64,28487.992,107741.66
0,polygon,65,29378.383,107509.375
0,polygon,66,29726.797,107277.1
0,polygon,67,30191.35,106851.26
0,polygon,68,30578.477,106347.99
0,polygon,69,30849.467,105883.445
0,polygon,70,31120.455,105147.9
0,polygon,71,31314.018,104218.8
0,polygon,72,31585.008,103676.82
0,polygon,73,31817.283,103328.41
0,polygon,74,32126.984,103057.414
0,polygon,75,32359.262,102709.0
0,polygon,76,32552.824,102321.875
0,polygon,77,32939.953,102128.31
0,polygon,78,33830.344,101818.61
0,polygon,79,34372.32,101779.9
0,polygon,80,35456.277,101896.03
0,polygon,81,36230.53,102128.31
0,polygon,82,36849.934,102592.87
0,polygon,83,37508.05,103212.266
0,polygon,84,38088.742,103909.09
0,polygon,85,38592.008,104141.375
0,polygon,86,39327.547,104141.375
0,polygon,87,39985.664,104296.22
0,polygon,88,40643.78,104605.92
0,polygon,89,41185.758,104799.484
0,polygon,90,41805.16,105070.48
0,polygon,91,42231.0,105341.47
0,polygon,92,42734.266,105728.59
0,polygon,93,43198.816,106077.01
0,polygon,94,43818.223,106580.27
0,polygon,95,44205.348,107083.54
0,polygon,96,44437.625,107548.086
0,polygon,97,44669.9,108090.07
0,polygon,98,44786.04,108554.62
0,polygon,99,45134.453,109019.17
0,polygon,100,45599.004,109406.3
0,polygon,101,45947.418,109716.0
0,polygon,102,46257.12,110141.84
0,polygon,103,46373.258,110606.39
1,polygon,0,76172.99,30890.291
1,polygon,1,75982.09,31797.047
1,polygon,2,75982.09,32560.633
1,polygon,3,75886.65,33228.77
1,polygon,4,75695.75,33944.633
1,polygon,5,75457.13,34421.87
1,polygon,6,75409.41,34994.562
1,polygon,7,75313.96,35519.527
1,polygon,8,75218.51,35996.766
1,polygon,9,75123.06,36808.08
1,polygon,10,74979.89,37571.66
1,polygon,11,74836.72,38096.625
1,polygon,12,74454.92,38764.76
1,polygon,13,74120.86,39432.902
1,polygon,14,73929.96,39957.867
1,polygon,15,73691.336,40769.176
1,polygon,16,73595.89,41341.863
1,polygon,17,73357.27,41771.38
1,polygon,18,73118.65,42296.344
1,polygon,19,72784.58,42964.484
1,polygon,20,72545.96,43537.17
1,polygon,21,72355.06,44014.414
1,polygon,22,71973.27,44587.1
1,polygon,23,71591.48,45064.344
1,polygon,24,71209.69,45684.754
1,polygon,25,71066.516,46305.168
1,polygon,26,70923.34,46782.41
1,polygon,27,70684.72,47307.375
1,polygon,28,70446.1,47784.613
1,polygon,29,70207.484,48214.133
1,polygon,30,69825.69,48595.926
1,polygon,31,69443.9,49073.164
1,polygon,32,68918.93,49550.406
1,polygon,33,68346.24,50075.37
1,polygon,34,67773.555,50361.715
1,polygon,35,67296.31,50552.613
1,polygon,36,66771.34,50695.785
1,polygon,37,65530.52,50695.785
1,polygon,38,65053.28,50504.887
1,polygon,39,64719.21,50075.37
1,polygon,40,64528.316,49550.406
1,polygon,41,64337.418,48691.37
1,polygon,42,64241.973,48023.234
1,polygon,43,64241.973,45732.48
1,polygon,44,63812.453,45398.41
1,polygon,45,63717.004,44825.723
1,polygon,46,63382.938,44205.31
1,polygon,47,63239.766,43728.066
1,polygon,48,63192.04,43250.83
1,polygon,49,62571.63,42869.035
1,polygon,50,62046.664,42630.414
1,polygon,51,61664.87,42153.17
1,polygon,52,61426.25,41580.484
1,polygon,53,61330.8,40960.07
1,polygon,54,61521.7,40387.383
1,polygon,55,61521.7,38764.76
1,polygon,56,61664.87,38287.523
1,polygon,57,61760.32,37810.28
1,polygon,58,61855.766,37285.316
1,polygon,59,61903.492,36664.902
1,polygon,60,61998.938,35805.87
1,polygon,61,62046.664,35233.18
1,polygon,62,62142.11,34565.043
1,polygon,63,62333.008,33515.113
1,polygon,64,62571.63,32894.703
1,polygon,65,62667.074,32417.46
1,polygon,66,62619.35,31940.22
1,polygon,67,62619.35,31415.256
1,polygon,68,62762.523,30747.117
