index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,23511.465,9997.309
0,polygon,1,24187.71,10282.044
0,polygon,2,24828.367,10709.147
0,polygon,3,25219.879,10993.883
0,polygon,4,25682.574,11278.619
0,polygon,5,26002.9,11456.578
0,polygon,6,26287.637,11741.313
0,polygon,7,26501.188,12275.193
0,polygon,8,26607.965,12737.889
0,polygon,9,26607.965,13129.399
0,polygon,10,26714.74,13805.646
0,polygon,11,26821.516,14161.566
0,polygon,12,27035.066,14659.854
0,polygon,13,27355.395,14837.813
0,polygon,14,27853.682,14446.302
0,polygon,15,27960.457,14090.382
0,polygon,16,27924.865,13520.911
0,polygon,17,27924.865,13129.399
0,polygon,18,28245.193,12951.44
0,polygon,19,28209.602,12381.969
0,polygon,20,28102.826,11812.498
0,polygon,21,28067.234,11456.578
0,polygon,22,28138.418,11029.475
0,polygon,23,28138.418,10104.085
0,polygon,24,28102.826,9676.981
0,polygon,25,27675.723,9427.838
0,polygon,26,27319.803,9392.246
0,polygon,27,26999.475,9071.918
0,polygon,28,26714.74,8822.774
0,polygon,29,26394.412,8609.223
0,polygon,30,25789.35,8253.304
0,polygon,31,25326.654,8039.752
0,polygon,32,24970.734,7968.568
0,polygon,33,24543.63,7790.6084
0,polygon,34,24187.71,7470.281
0,polygon,35,23902.977,7149.953
0,polygon,36,23440.281,6794.0337
0,polygon,37,23831.793,6900.8096
0,polygon,38,24187.71,7114.3613
0,polygon,39,24614.814,7292.321
0,polygon,40,24899.55,7541.4644
0,polygon,41,25219.879,7719.4243
0,polygon,42,25611.389,7755.016
0,polygon,43,26002.9,7755.016
0,polygon,44,26394.412,7826.2
0,polygon,45,26572.373,7505.8726
0,polygon,46,26679.148,7114.3613
0,polygon,47,26607.965,6687.258
0,polygon,48,26358.82,6402.5225
0,polygon,49,26180.861,6011.0107
0,polygon,50,26038.492,5548.316
0,polygon,51,25896.125,5192.3965
0,polygon,52,26180.861,4943.2524
0,polygon,53,26536.78,4872.069
0,polygon,54,26892.7,5014.4365
0,polygon,55,27248.62,4907.6606
0,polygon,56,27640.13,4943.2524
0,polygon,57,27996.05,4907.6606
0,polygon,58,28423.152,4943.2524
0,polygon,59,28494.338,5299.172
0,polygon,60,28957.033,5619.4995
0,polygon,61,29348.543,5761.867
0,polygon,62,29668.871,6011.0107
0,polygon,63,30024.791,6260.155
0,polygon,64,30380.71,6295.7466
0,polygon,65,30807.812,6295.7466
0,polygon,66,31163.732,6402.5225
0,polygon,67,30807.812,6616.074
0,polygon,68,30451.895,6758.442
0,polygon,69,30238.342,7470.281
0,polygon,70,30095.975,7826.2
0,polygon,71,30095.975,8253.304
0,polygon,72,30202.75,8644.814
0,polygon,73,30345.12,9071.918
0,polygon,74,30594.262,9392.246
0,polygon,75,30914.59,9605.797
0,polygon,76,31270.508,9712.573
0,polygon,77,31590.836,9997.309
0,polygon,78,31911.164,10246.452
0,polygon,79,32623.002,10317.636
0,polygon,80,33121.29,10531.1875
0,polygon,81,33512.8,10637.964
0,polygon,82,33868.72,10744.739
0,polygon,83,34224.64,10815.924
0,polygon,84,34580.56,10851.516
0,polygon,85,34153.457,10887.107
0,polygon,86,33797.535,10709.147
0,polygon,87,33334.84,10637.964
0,polygon,88,32978.92,10566.78
0,polygon,89,32338.268,10566.78
0,polygon,90,31982.348,10531.1875
0,polygon,91,31626.428,10388.82
0,polygon,92,31306.102,10175.269
0,polygon,93,30878.998,10282.044
0,polygon,94,30558.67,10673.556
0,polygon,95,30202.75,11527.763
0,polygon,96,30095.975,11919.273
0,polygon,97,29989.2,12275.193
0,polygon,98,30345.12,12915.848
0,polygon,99,29989.2,12809.072
0,polygon,100,29490.912,12773.48
0,polygon,101,29063.809,12737.889
0,polygon,102,28743.48,13414.136
0,polygon,103,28707.889,13912.423
0,polygon,104,28672.297,14303.934
0,polygon,105,28672.297,14766.629
0,polygon,106,28636.705,15229.324
0,polygon,107,28636.705,15692.02
0,polygon,108,28672.297,16083.531
0,polygon,109,28743.48,16475.043
0,polygon,110,29063.809,16759.777
0,polygon,111,29455.32,17400.434
0,polygon,112,29811.238,17436.025
0,polygon,113,30167.158,17329.25
0,polygon,114,30594.262,17471.617
0,polygon,115,30950.182,17507.209
0,polygon,116,31412.877,17507.209
0,polygon,117,31875.572,17578.393
0,polygon,118,32195.898,17756.352
0,polygon,119,32587.41,17756.352
0,polygon,120,32978.92,17720.76
0,polygon,121,33334.84,17613.984
0,polygon,122,33690.76,17400.434
0,polygon,123,34011.09,17186.88
0,polygon,124,34438.19,17008.922
0,polygon,125,34794.11,16902.146
0,polygon,126,35185.62,16688.594
0,polygon,127,35505.95,16510.635
0,polygon,128,36043.52,16142.214
0,polygon,129,36638.516,15493.13
0,polygon,130,37395.777,15276.769
0,polygon,131,37882.594,14952.227
0,polygon,132,38585.766,14519.503
0,polygon,133,39039.656,14084.115
0,polygon,134,39359.984,13550.236
0,polygon,135,39858.27,12909.581
0,polygon,136,40214.188,12802.806
0,polygon,137,40616.402,12391.887
0,polygon,138,40962.86,12160.915
0,polygon,139,41309.316,12074.301
0,polygon,140,42290.94,11727.845
0,polygon,141,42666.27,11670.102
0,polygon,142,43070.47,11496.873
0,polygon,143,43243.7,11034.932
0,polygon,144,43243.7,9880.076
0,polygon,145,43272.57,9533.619
0,polygon,146,43272.57,6415.51
0,polygon,147,43301.44,6097.9243
0,polygon,148,43330.312,5722.596
0,polygon,149,43330.312,5347.2686
