index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,48645.457,88998.09
0,polygon,1,49479.117,89041.97
0,polygon,2,50181.15,89261.35
0,polygon,3,50751.547,89480.74
0,polygon,4,51190.316,89656.25
0,polygon,5,51848.47,89744.0
0,polygon,6,52331.117,89744.0
0,polygon,7,52769.883,89524.62
0,polygon,8,53471.914,89305.234
0,polygon,9,54042.312,89041.97
0,polygon,10,54481.082,88910.336
0,polygon,11,55183.113,88603.2
0,polygon,12,55753.51,88296.06
0,polygon,13,56323.914,87901.17
0,polygon,14,56762.68,87462.4
0,polygon,15,57201.45,86848.125
0,polygon,16,57508.59,86409.36
0,polygon,17,58824.895,85224.68
0,polygon,18,59395.293,84698.16
0,polygon,19,59702.434,84303.266
0,polygon,20,60009.57,83820.62
0,polygon,21,60448.34,83294.09
0,polygon,22,60755.477,82943.086
0,polygon,23,61062.617,82548.19
0,polygon,24,61676.895,81846.16
0,polygon,25,62027.91,81451.266
0,polygon,26,62247.293,80968.625
0,polygon,27,62335.047,80354.34
0,polygon,28,62422.8,79783.945
0,polygon,29,62466.676,79301.3
0,polygon,30,62510.555,78730.9
0,polygon,31,62554.43,78116.625
0,polygon,32,62686.062,77326.84
0,polygon,33,62729.938,76888.07
0,polygon,34,62905.445,76361.55
0,polygon,35,63080.953,75615.64
0,polygon,36,63124.832,75045.24
0,polygon,37,63256.46,74606.48
0,polygon,38,63388.094,74079.95
0,polygon,39,63651.35,73509.555
0,polygon,40,64046.246,72368.75
0,polygon,41,64177.875,71842.23
0,polygon,42,64309.508,71096.32
0,polygon,43,64397.26,70350.414
0,polygon,44,64485.016,69780.016
0,polygon,45,64572.77,69253.49
0,polygon,46,64572.77,68595.336
0,polygon,47,64528.89,68156.57
0,polygon,48,64572.77,67717.805
0,polygon,49,64704.4,66971.89
0,polygon,50,64572.77,65962.73
0,polygon,51,64441.137,64690.297
0,polygon,52,64397.26,63944.39
0,polygon,53,64353.383,63154.605
0,polygon,54,64353.383,61575.035
0,polygon,55,64265.63,60565.867
0,polygon,56,64221.754,59951.594
0,polygon,57,64177.875,59512.824
0,polygon,58,64177.875,58547.53
0,polygon,59,64221.754,58064.887
0,polygon,60,64265.63,57626.117
0,polygon,61,64353.383,56967.965
0,polygon,62,64353.383,55081.258
0,polygon,63,64177.875,54379.227
0,polygon,64,64002.367,53852.703
0,polygon,65,63519.723,53764.95
0,polygon,66,63037.08,53633.32
0,polygon,67,62247.293,53457.812
0,polygon,68,61808.523,53413.934
0,polygon,69,61325.88,53413.934
0,polygon,70,60755.477,53457.812
0,polygon,71,59702.434,53545.566
0,polygon,72,59088.156,53633.32
0,polygon,73,58517.758,53764.95
0,polygon,74,57947.36,53808.83
0,polygon,75,56806.56,53808.83
0,polygon,76,56367.79,53852.703
0,polygon,77,55929.02,53764.95
0,polygon,78,55446.375,53896.582
0,polygon,79,55139.24,53545.566
0,polygon,80,54700.47,53370.06
0,polygon,81,54612.715,53852.703
0,polygon,82,54568.836,54335.35
0,polygon,83,54393.33,54817.996
0,polygon,84,54305.574,55256.766
0,polygon,85,54086.19,55739.41
0,polygon,86,53954.56,56178.18
0,polygon,87,53866.81,56660.824
0,polygon,88,53822.93,57143.473
0,polygon,89,53735.176,57669.992
0,polygon,90,53691.3,58415.902
0,polygon,91,53603.547,59205.684
0,polygon,92,53559.668,59644.453
0,polygon,93,53428.04,60258.73
0,polygon,94,53340.285,60873.008
0,polygon,95,53252.53,61443.406
0,polygon,96,53208.652,61882.176
0,polygon,97,53208.652,62364.82
0,polygon,98,53120.9,62803.59
0,polygon,99,53077.023,63330.113
0,polygon,100,53033.145,63812.758
0,polygon,101,52945.39,64427.035
0,polygon,102,52901.516,64953.56
0,polygon,103,52901.516,66050.48
0,polygon,104,52857.637,66971.89
0,polygon,105,52813.76,67410.664
0,polygon,106,52813.76,67981.06
0,polygon,107,52726.008,68419.83
0,polygon,108,52682.13,68858.6
0,polygon,109,52550.5,69341.25
0,polygon,110,52418.87,69911.65
0,polygon,111,52287.24,70350.414
0,polygon,112,52067.855,70833.06
0,polygon,113,51892.348,71271.83
0,polygon,114,51672.96,71666.72
0,polygon,115,51409.7,72281.0
0,polygon,116,51102.562,72807.52
0,polygon,117,50883.18,73246.29
0,polygon,118,50576.04,73816.69
0,polygon,119,50268.902,74211.58
0,polygon,120,49961.76,74694.23
0,polygon,121,49566.87,75132.99
0,polygon,122,49171.98,75484.01
0,polygon,123,48733.21,75747.27
0,polygon,124,48338.32,76054.414
0,polygon,125,47943.426,76493.18
0,polygon,126,47934.613,76841.23
0,polygon,127,47991.605,77468.15
0,polygon,128,47668.645,77962.086
0,polygon,129,47098.715,78285.05
0,polygon,130,46589.434,79090.22
0,polygon,131,46414.8,79690.87
0,polygon,132,45996.855,80317.79
0,polygon,133,45654.9,80659.75
0,polygon,134,45350.934,80963.71
0,polygon,135,44696.535,80924.74
0,polygon,136,44213.89,81231.88
0,polygon,137,43862.875,81539.02
0,polygon,138,43555.74,81977.79
0,polygon,139,43557.734,82372.8
0,polygon,140,43432.727,82697.81
0,polygon,141,43432.727,83260.34
0,polygon,142,43204.723,83996.125
0,polygon,143,43424.105,84478.77
0,polygon,144,43862.875,84829.79
0,polygon,145,44213.89,85136.93
0,polygon,146,44652.66,85400.19
0,polygon,147,45179.184,85663.45
0,polygon,148,45486.32,86058.34
0,polygon,149,45793.457,86497.11
0,polygon,150,46276.105,86760.375
0,polygon,151,47065.89,87374.65
0,polygon,152,47329.15,87769.54
0,polygon,153,47724.043,88120.555
0,polygon,154,48031.18,88471.57
0,polygon,155,48382.195,88778.71
1,polygon,0,54784.867,53735.016
1,polygon,1,54761.45,53477.395
1,polygon,2,54761.45,53219.777
1,polygon,3,54784.867,52938.74
1,polygon,4,54901.97,52681.12
1,polygon,5,54948.81,52423.504
1,polygon,6,55065.906,52025.367
1,polygon,7,55159.586,51720.91
1,polygon,8,55276.684,51416.453
1,polygon,9,55323.523,51182.254
1,polygon,10,55464.043,50830.957
1,polygon,11,55604.562,50596.758
1,polygon,12,55674.82,50268.883
1,polygon,13,55698.242,50011.26
1,polygon,14,55815.34,49777.066
1,polygon,15,56002.7,49566.285
1,polygon,16,56190.06,49378.93
1,polygon,17,56307.156,49144.73
1,polygon,18,56353.996,48910.53
1,polygon,19,56447.676,48606.074
1,polygon,20,56517.934,48325.035
1,polygon,21,56588.195,48090.84
1,polygon,22,56705.293,47833.22
1,polygon,23,56752.133,47575.6
1,polygon,24,56752.133,47317.984
1,polygon,25,56728.715,47013.527
1,polygon,26,56705.293,46779.33
1,polygon,27,56705.293,46498.29
1,polygon,28,56611.613,46217.254
1,polygon,29,56564.773,45959.637
1,polygon,30,56471.098,45702.016
1,polygon,31,56447.676,45467.82
1,polygon,32,56377.418,45233.62
1,polygon,33,56236.9,45022.844
1,polygon,34,56119.797,44765.223
1,polygon,35,56026.12,44484.188
1,polygon,36,56002.7,44226.57
1,polygon,37,55932.44,43968.95
1,polygon,38,55909.02,43687.914
1,polygon,39,55909.02,43172.676
1,polygon,40,55791.92,42961.9
1,polygon,41,55698.242,42704.28
1,polygon,42,55651.402,42446.664
1,polygon,43,55581.145,42212.465
1,polygon,44,55487.465,41954.848
1,polygon,45,55464.043,41697.227
1,polygon,46,55440.625,41228.832
1,polygon,47,55440.625,40690.176
1,polygon,48,55464.043,40174.94
1,polygon,49,55557.723,39940.742
1,polygon,50,55698.242,39683.125
1,polygon,51,55698.242,39074.207
1,polygon,52,55651.402,38722.91
1,polygon,53,55604.562,38418.453
1,polygon,54,55604.562,37341.14
1,polygon,55,55510.883,37083.523
1,polygon,56,55440.625,36849.324
1,polygon,57,55300.105,36615.13
1,polygon,58,55136.168,36404.35
1,polygon,59,54948.81,36216.992
1,polygon,60,54714.61,36006.21
1,polygon,61,54363.312,35772.016
1,polygon,62,54129.113,35678.336
1,polygon,63,53848.08,35561.234
1,polygon,64,53590.457,35467.56
1,polygon,65,53356.26,35397.297
1,polygon,66,53098.64,35303.617
1,polygon,67,52794.184,35186.52
1,polygon,68,52536.566,35046.0
1,polygon,69,52302.367,34928.902
1,polygon,70,52044.75,34788.383
1,polygon,71,51857.39,34624.445
1,polygon,72,51576.355,34319.984
1,polygon,73,51435.836,33992.11
1,polygon,74,51388.996,33570.55
1,polygon,75,51388.996,33289.516
1,polygon,76,51412.414,32985.055
1,polygon,77,51435.836,32750.857
1,polygon,78,51435.836,32071.684
1,polygon,79,51365.574,31556.447
1,polygon,80,51295.316,31205.15
1,polygon,81,51271.9,30807.014
1,polygon,82,51271.9,30479.137
1,polygon,83,51295.316,30198.098
1,polygon,84,51435.836,29917.06
1,polygon,85,51623.195,29331.564
1,polygon,86,51670.035,28910.008
1,polygon,87,51670.035,28347.934
1,polygon,88,51599.773,27739.018
1,polygon,89,51529.516,27200.361
1,polygon,90,51506.094,26825.645
1,polygon,91,51529.516,26521.188
1,polygon,92,51787.133,26333.828
1,polygon,93,52068.17,26310.408
1,polygon,94,52513.15,26310.408
1,polygon,95,52794.184,26263.568
1,polygon,96,53098.64,26123.05
1,polygon,97,58297.84,26029.371
1,polygon,98,58813.08,26450.928
1,polygon,99,59234.633,27013.004
1,polygon,100,59749.87,27902.957
1,polygon,101,60148.008,28652.39
1,polygon,102,60639.824,29753.121
1,polygon,103,61342.418,31345.67
1,polygon,104,62255.79,33523.71
1,polygon,105,62747.605,34507.344
1,polygon,106,63450.2,36099.89
1,polygon,107,63918.598,37036.684
1,polygon,108,64386.992,37996.9
1,polygon,109,64925.65,39612.863
1,polygon,110,65581.41,41954.848
1,polygon,111,66166.9,44694.965
1,polygon,112,66588.45,47575.6
1,polygon,113,66658.72,49542.867
1,polygon,114,66518.195,50690.438
1,polygon,115,66401.1,51510.133
1,polygon,116,66166.9,51931.688
1,polygon,117,65932.7,52189.305
1,polygon,118,65628.24,52634.28
1,polygon,119,65511.145,53172.938
1,polygon,120,65206.688,53336.88
1,polygon,121,64995.91,53453.977
1,polygon,122,64574.35,53641.336
1,polygon,123,64082.535,53711.594
1,polygon,124,63660.98,53875.53
1,polygon,125,63216.004,54062.89
1,polygon,126,62981.805,54226.832
