index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,45881.613,53635.9
0,polygon,1,45795.0,53289.44
0,polygon,2,45621.773,53000.727
0,polygon,3,45535.156,52625.4
0,polygon,4,45506.285,52336.684
0,polygon,5,45419.67,52019.098
0,polygon,6,45304.188,51672.64
0,polygon,7,45102.086,51383.93
0,polygon,8,44871.117,51152.957
0,polygon,9,44582.402,50633.273
0,polygon,10,44466.918,50344.56
0,polygon,11,44351.43,50026.973
0,polygon,12,44264.816,49738.258
0,polygon,13,44120.46,49420.676
0,polygon,14,44062.72,49103.09
0,polygon,15,44062.72,48548.684
0,polygon,16,44016.49,48394.58
0,polygon,17,43939.434,48240.473
0,polygon,18,43893.203,47978.496
0,polygon,19,43862.383,47793.57
0,polygon,20,43877.793,47624.055
0,polygon,21,43908.613,47454.54
0,polygon,22,43908.613,47269.617
0,polygon,23,43877.793,47115.51
0,polygon,24,43831.562,46961.406
0,polygon,25,43831.562,46776.48
0,polygon,26,43800.742,46606.965
0,polygon,27,43769.918,46452.863
0,polygon,28,43769.918,46252.527
0,polygon,29,43800.742,46098.42
0,polygon,30,43816.152,45928.906
0,polygon,31,43816.152,45127.562
0,polygon,32,43893.203,44865.586
0,polygon,33,43954.844,44680.66
0,polygon,34,44001.08,44495.734
0,polygon,35,44031.9,44295.4
0,polygon,36,44047.31,44125.883
0,polygon,37,44093.54,43956.367
0,polygon,38,44124.36,43771.445
0,polygon,39,44139.77,43555.7
0,polygon,40,44186.004,43386.184
0,polygon,41,44293.875,43247.49
0,polygon,42,44355.516,43093.383
0,polygon,43,44386.336,42939.28
0,polygon,44,44719.332,42995.074
0,polygon,45,45036.918,43023.945
0,polygon,46,45181.273,42764.105
0,polygon,47,45751.67,41931.582
0,polygon,48,45971.06,41361.18
0,polygon,49,46058.81,40837.68
0,polygon,50,46491.53,40459.047
0,polygon,51,46978.348,40188.594
0,polygon,52,47573.34,40134.504
0,polygon,53,48114.242,39918.145
0,polygon,54,48709.24,39755.87
0,polygon,55,49304.23,39755.87
0,polygon,56,49899.227,39972.234
0,polygon,57,50548.31,39972.234
0,polygon,58,51089.215,39864.05
0,polygon,59,51630.117,40134.504
0,polygon,60,51684.207,40729.5
0,polygon,61,52062.84,41216.312
0,polygon,62,52549.652,41594.945
0,polygon,63,52928.285,42027.668
0,polygon,64,53252.83,42514.48
0,polygon,65,53901.914,44137.19
0,polygon,66,53901.914,45231.88
0,polygon,67,53866.32,45587.797
0,polygon,68,53866.32,45979.31
0,polygon,69,53795.137,46691.15
0,polygon,70,53830.73,47082.66
0,polygon,71,53866.32,47438.58
0,polygon,72,53866.32,48008.05
0,polygon,73,53759.547,48363.97
0,polygon,74,53617.18,48826.664
0,polygon,75,53545.996,49253.766
0,polygon,76,53403.625,49752.055
0,polygon,77,53190.074,50072.383
0,polygon,78,52976.523,50428.3
0,polygon,79,52798.562,50855.406
0,polygon,80,52620.605,51246.918
0,polygon,81,52371.46,51567.242
0,polygon,82,52015.54,51958.754
0,polygon,83,51766.4,52279.082
0,polygon,84,51446.07,52635.004
0,polygon,85,51054.56,53026.51
0,polygon,86,50663.047,53275.656
0,polygon,87,50164.758,53631.58
0,polygon,88,49310.555,54201.047
0,polygon,89,48563.12,54094.273
0,polygon,90,48100.426,54165.457
0,polygon,91,47744.508,54236.64
