index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,48948.605,89444.34
0,polygon,1,48641.324,89049.27
0,polygon,2,48246.25,88829.78
0,polygon,3,48026.766,88434.71
0,polygon,4,47719.484,88083.53
0,polygon,5,47500.0,87688.46
0,polygon,6,47192.72,87337.28
0,polygon,7,46753.746,87117.8
0,polygon,8,46358.67,86810.516
0,polygon,9,45963.598,86547.13
0,polygon,10,45524.625,86152.055
0,polygon,11,45129.55,85756.984
0,polygon,12,44734.477,85493.6
0,polygon,13,44251.61,85230.22
0,polygon,14,43768.74,84879.04
0,polygon,15,42890.797,84176.69
0,polygon,16,42188.44,83562.125
0,polygon,17,41705.574,83298.74
0,polygon,18,41222.703,83254.84
0,polygon,19,41047.113,83781.61
0,polygon,20,40739.836,84176.69
0,polygon,21,40388.656,84527.86
0,polygon,22,40256.965,85054.625
0,polygon,23,40169.17,85493.6
0,polygon,24,40169.17,86195.95
0,polygon,25,40256.965,86634.93
0,polygon,26,40213.07,87073.9
0,polygon,27,39993.582,87864.05
0,polygon,28,39642.406,88259.125
0,polygon,29,39203.434,88390.81
0,polygon,30,38720.566,88610.3
0,polygon,31,38237.695,88741.99
0,polygon,32,37710.93,88829.78
0,polygon,33,37096.37,88829.78
0,polygon,34,36481.81,88917.58
0,polygon,35,35955.043,88698.09
0,polygon,36,35516.074,88434.71
0,polygon,37,35033.203,88127.43
0,polygon,38,34550.336,87907.945
0,polygon,39,34199.156,87512.87
0,polygon,40,33672.39,87512.87
0,polygon,41,32838.344,87425.08
0,polygon,42,32311.58,87425.08
0,polygon,43,31565.328,87512.87
0,polygon,44,30643.488,87688.46
0,polygon,45,29809.441,87864.05
0,polygon,46,29150.984,88215.23
0,polygon,47,28580.32,88741.99
0,polygon,48,28097.451,89268.76
0,polygon,49,28053.555,90190.59
0,polygon,50,28755.91,93175.6
0,polygon,51,30160.62,97345.836
0,polygon,52,33101.73,104281.586
0,polygon,53,37359.754,111217.336
0,polygon,54,39686.305,114773.01
0,polygon,55,40169.17,114377.93
0,polygon,56,42320.133,112270.87
0,polygon,57,44646.684,110295.5
0,polygon,58,46402.57,108759.09
0,polygon,59,48597.426,107617.77
0,polygon,60,49036.4,107047.11
0,polygon,61,49694.855,104896.15
0,polygon,62,50704.492,101296.58
0,polygon,63,51362.95,98574.95
0,polygon,64,51406.844,97872.6
0,polygon,65,51275.152,97433.625
0,polygon,66,51055.668,96687.375
0,polygon,67,51011.77,96116.71
0,polygon,68,51231.258,95589.945
0,polygon,69,51362.95,94843.695
