index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,46711.957,68028.39
0,polygon,1,46875.973,68262.7
0,polygon,2,46946.266,68520.44
0,polygon,3,47180.57,69082.77
0,polygon,4,47297.723,69410.805
0,polygon,5,47133.707,69668.54
0,polygon,6,46946.266,69902.84
0,polygon,7,46758.82,70160.58
0,polygon,8,46688.527,70418.32
0,polygon,9,46571.375,70699.484
0,polygon,10,46454.22,71027.516
0,polygon,11,46290.207,71378.98
0,polygon,12,46196.484,71636.71
0,polygon,13,46009.04,71894.445
0,polygon,14,45821.594,72222.48
0,polygon,15,45634.15,72527.08
0,polygon,16,45446.703,72691.09
0,polygon,17,45188.965,72948.83
0,polygon,18,44884.367,73159.7
0,polygon,19,44509.477,73487.734
0,polygon,20,44298.6,73628.31
0,polygon,21,44228.31,74003.2
0,polygon,22,43853.418,74026.64
0,polygon,23,43548.82,74026.64
0,polygon,24,43267.652,74143.79
0,polygon,25,42939.625,74378.09
0,polygon,26,42752.18,74565.54
0,polygon,27,42494.44,74706.125
0,polygon,28,42189.844,74846.71
0,polygon,29,41885.246,74846.71
0,polygon,30,41604.08,74940.43
0,polygon,31,41322.91,74987.3
0,polygon,32,41065.176,75034.16
0,polygon,33,40760.574,75057.586
0,polygon,34,40479.406,75127.875
0,polygon,35,40198.242,75245.03
0,polygon,36,39963.934,75385.62
0,polygon,37,39565.613,75573.06
0,polygon,38,39331.31,75619.92
0,polygon,39,39050.14,75713.64
0,polygon,40,38768.973,75783.94
0,polygon,41,38487.805,75830.8
0,polygon,42,38206.637,75830.8
0,polygon,43,37574.008,76041.67
0,polygon,44,37339.703,76182.26
0,polygon,45,37081.965,76346.27
0,polygon,46,36824.23,76439.99
0,polygon,47,36589.92,76486.85
0,polygon,48,36355.617,76580.58
0,polygon,49,35957.582,76955.19
0,polygon,50,35694.195,77350.26
0,polygon,51,35343.02,77701.44
0,polygon,52,34289.49,78052.62
0,polygon,53,33850.516,78228.2
0,polygon,54,33323.75,78228.2
0,polygon,55,32884.777,78052.62
0,polygon,56,32401.91,77920.92
0,polygon,57,31919.041,77701.44
0,polygon,58,31480.07,77481.95
0,polygon,59,31304.48,76779.6
0,polygon,60,31304.48,75769.96
0,polygon,61,31216.686,75287.09
0,polygon,62,31128.893,74716.43
0,polygon,63,31128.893,73662.9
0,polygon,64,31392.275,73223.93
0,polygon,65,31480.07,72784.95
0,polygon,66,31523.967,72345.984
0,polygon,67,31480.07,71907.016
0,polygon,68,31523.967,71380.25
0,polygon,69,31567.863,70941.27
0,polygon,70,31567.863,70414.51
0,polygon,71,31436.172,69975.54
0,polygon,72,31216.686,69580.46
0,polygon,73,30997.201,69141.49
0,polygon,74,30689.92,68702.52
0,polygon,75,30426.537,68307.445
0,polygon,76,30207.05,67912.37
0,polygon,77,30075.36,67385.6
0,polygon,78,29811.977,66902.734
0,polygon,79,29548.594,66463.766
0,polygon,80,29504.697,65980.9
0,polygon,81,29680.285,65498.027
0,polygon,82,29768.08,65059.055
0,polygon,83,30031.463,64181.113
0,polygon,84,30470.436,64312.805
0,polygon,85,30821.611,64707.88
0,polygon,86,31128.893,65102.953
0,polygon,87,31523.967,65366.336
0,polygon,88,32006.836,65454.13
0,polygon,89,32489.705,65498.027
0,polygon,90,33543.234,65498.027
0,polygon,91,34026.105,65410.23
0,polygon,92,34640.664,65015.156
0,polygon,93,35343.02,64400.598
0,polygon,94,35922.273,64247.188
0,polygon,95,36049.203,64043.17
0,polygon,96,36064.62,63888.996
0,polygon,97,36203.38,63796.492
0,polygon,98,36357.555,63596.062
0,polygon,99,36450.06,63441.887
0,polygon,100,36635.07,63318.547
0,polygon,101,36866.332,63503.56
0,polygon,102,38721.67,62993.24
0,polygon,103,39912.21,63534.39
0,polygon,104,40561.594,63750.85
0,polygon,105,41265.094,63913.2
0,polygon,106,42293.285,64183.773
0,polygon,107,42942.67,64237.89
0,polygon,108,44295.555,64237.89
0,polygon,109,45215.516,64562.582
0,polygon,110,45864.9,65374.312
0,polygon,111,45648.438,65969.58
0,polygon,112,45540.207,66405.41
0,polygon,113,45521.203,66633.484
0,polygon,114,45388.156,66804.54
0,polygon,115,45426.17,67013.62
0,polygon,116,45464.184,67203.68
0,polygon,117,45559.215,67374.734
0,polygon,118,45730.273,67583.805
0,polygon,119,45863.316,67735.86
1,polygon,0,31761.465,76922.24
1,polygon,1,31410.287,77229.52
1,polygon,2,31059.111,77580.7
1,polygon,3,30620.139,77844.086
1,polygon,4,30137.27,77844.086
1,polygon,5,29610.504,77756.29
1,polygon,6,29083.738,77756.29
1,polygon,7,28513.074,77887.984
1,polygon,8,27635.13,78063.57
1,polygon,9,27064.469,78063.57
1,polygon,10,26537.703,78195.266
1,polygon,11,26142.629,78414.75
1,polygon,12,25835.348,78765.92
1,polygon,13,25615.861,79204.9
1,polygon,14,25571.965,79643.87
1,polygon,15,25264.686,79995.05
1,polygon,16,24737.92,79775.56
1,polygon,17,24342.844,79556.08
1,polygon,18,23903.873,79424.38
1,polygon,19,23464.9,79204.9
1,polygon,20,22894.238,78941.516
1,polygon,21,22499.164,78678.13
1,polygon,22,22147.986,78370.85
1,polygon,23,21665.117,78195.266
1,polygon,24,21138.352,78195.266
1,polygon,25,20172.613,77624.6
1,polygon,26,19601.951,77185.625
1,polygon,27,18987.39,76571.07
1,polygon,28,18680.111,76132.09
1,polygon,29,18504.521,75693.125
1,polygon,30,18328.934,75210.26
1,polygon,31,18241.139,74507.9
1,polygon,32,17933.86,73410.47
1,polygon,33,17670.477,72005.766
1,polygon,34,17582.682,71479.0
1,polygon,35,17538.785,71040.02
1,polygon,36,17538.785,68406.195
1,polygon,37,17626.578,67879.43
1,polygon,38,17670.477,67264.87
1,polygon,39,17977.756,66825.9
1,polygon,40,18460.625,66738.1
1,polygon,41,18767.904,67089.28
1,polygon,42,18943.494,67528.25
1,polygon,43,19470.26,67879.43
1,polygon,44,19821.438,68318.4
1,polygon,45,19997.025,68757.375
1,polygon,46,19997.025,69767.01
1,polygon,47,20084.82,70249.875
1,polygon,48,20348.203,70644.95
1,polygon,49,20567.69,71040.02
1,polygon,50,20962.764,71347.305
1,polygon,51,21313.94,71654.586
1,polygon,52,21313.94,72269.15
1,polygon,53,21226.146,72795.914
1,polygon,54,21270.043,73322.68
1,polygon,55,21401.734,73761.65
1,polygon,56,21401.734,73278.78
1,polygon,57,21928.5,73147.086
1,polygon,58,22499.164,72927.6
1,polygon,59,22938.135,72620.32
1,polygon,60,23201.518,72225.25
1,polygon,61,23508.799,71830.17
1,polygon,62,23859.977,71259.51
1,polygon,63,24035.564,70732.74
1,polygon,64,24386.742,69854.805
1,polygon,65,24694.021,69503.625
1,polygon,66,25220.787,69064.66
1,polygon,67,25791.451,68757.375
1,polygon,68,26274.32,68537.88
1,polygon,69,26669.395,68230.61
1,polygon,70,26976.674,67879.43
1,polygon,71,27240.057,67440.46
1,polygon,72,27503.44,67045.38
1,polygon,73,27591.234,66606.414
1,polygon,74,27854.617,66167.44
1,polygon,75,28293.59,66035.75
1,polygon,76,28776.459,65860.16
1,polygon,77,29215.43,66123.54
1,polygon,78,29478.812,66518.62
1,polygon,79,29698.299,66913.695
1,polygon,80,29873.887,67352.664
1,polygon,81,29654.4,67879.43
1,polygon,82,29127.635,68669.58
1,polygon,83,28952.047,69108.55
1,polygon,84,28952.047,70074.29
1,polygon,85,29215.43,70513.26
1,polygon,86,29127.635,70996.125
1,polygon,87,29303.225,71435.1
1,polygon,88,29566.607,72181.35
1,polygon,89,29786.094,72576.42
1,polygon,90,30137.27,72971.5
1,polygon,91,30883.521,73410.47
1,polygon,92,31190.803,73805.55
1,polygon,93,31585.877,74551.8
2,polygon,0,36125.344,64659.54
2,polygon,1,35774.164,64264.465
2,polygon,2,35422.99,63518.21
2,polygon,3,34545.043,63869.39
2,polygon,4,34149.97,64264.465
2,polygon,5,33798.793,64571.742
2,polygon,6,33359.82,64703.434
2,polygon,7,32920.85,64747.332
2,polygon,8,32437.98,64835.13
2,polygon,9,31999.01,64791.23
2,polygon,10,31560.037,64527.848
2,polygon,11,31164.963,64308.36
2,polygon,12,30682.094,63957.184
2,polygon,13,30374.814,63606.008
2,polygon,14,29891.945,63474.316
2,polygon,15,30023.637,63913.285
2,polygon,16,30330.918,64835.13
2,polygon,17,30462.61,65537.484
2,polygon,18,30682.094,66020.35
2,polygon,19,31121.066,66064.25
2,polygon,20,32262.393,66459.32
2,polygon,21,33184.234,66678.805
2,polygon,22,33842.69,66591.016
2,polygon,23,36125.344,66020.35
