index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,37130.355,109383.18
0,polygon,1,35358.242,108416.57
0,polygon,2,29397.496,101489.21
0,polygon,3,24564.459,90695.43
0,polygon,4,23275.648,82640.37
0,polygon,5,23436.75,74102.0
0,polygon,6,25208.863,68141.25
0,polygon,7,26175.47,66530.234
0,polygon,8,28591.99,64597.023
0,polygon,9,34874.938,59280.68
0,polygon,10,36485.953,57669.668
0,polygon,11,39224.67,55092.047
0,polygon,12,42930.004,50903.414
0,polygon,13,46313.13,48809.098
0,polygon,14,50985.066,48647.996
0,polygon,15,59362.332,50581.21
0,polygon,16,69028.41,54930.945
0,polygon,17,79338.89,60247.29
0,polygon,18,89166.07,65241.43
0,polygon,19,99154.34,71202.17
0,polygon,20,103181.875,73618.695
0,polygon,21,108337.12,78773.94
0,polygon,22,112847.95,89245.516
0,polygon,23,111559.14,96978.375
0,polygon,24,110431.44,101650.31
0,polygon,25,105920.6,106644.45
0,polygon,26,98348.84,109383.18
0,polygon,27,89327.17,111477.49
0,polygon,28,76761.27,113894.01
0,polygon,29,64678.676,114699.516
0,polygon,30,54690.395,115666.125
0,polygon,31,45668.723,115988.33
0,polygon,32,38902.473,114055.11
0,polygon,33,36324.85,113410.71
