index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,-920.41223,21020.041
0,polygon,1,-1965.8661,18406.406
0,polygon,2,-2880.6382,16184.816
0,polygon,3,-3795.4102,14355.272
0,polygon,4,-4187.4556,12395.047
0,polygon,5,-1312.4574,8735.958
0,polygon,6,647.7685,5338.2334
0,polygon,7,2346.6309,3247.326
0,polygon,8,4568.22,-281.08057
0,polygon,9,6005.719,-3025.3967
0,polygon,10,6920.491,-4070.8506
0,polygon,11,8750.035,-4593.5776
0,polygon,12,11363.67,-4724.2593
0,polygon,13,14500.031,-4724.2593
0,polygon,14,17897.756,-4070.8506
0,polygon,15,20642.072,-3548.1238
0,polygon,16,23909.115,-2764.0334
0,polygon,17,26522.75,-2110.6248
0,polygon,18,27829.568,-1979.943
0,polygon,19,32926.156,-1979.943
0,polygon,20,35539.79,-1849.2612
0,polygon,21,37238.652,-1587.8978
0,polygon,22,39460.242,-934.4892
0,polygon,23,41159.1,-411.7623
0,polygon,24,43119.33,633.6915
0,polygon,25,44426.15,1156.4185
0,polygon,26,46909.098,2071.1904
0,polygon,27,48607.96,2593.9175
0,polygon,28,50829.55,3508.6895
0,polygon,29,52920.457,4292.78
0,polygon,30,54880.684,5207.552
0,polygon,31,60892.043,9389.367
0,polygon,32,64812.496,12917.773
0,polygon,33,67164.766,15792.771
0,polygon,34,68732.945,18929.133
0,polygon,35,70039.766,23502.994
0,polygon,36,70170.445,25593.9
0,polygon,37,70301.125,27554.127
0,polygon,38,70954.54,30821.17
0,polygon,39,71607.945,35525.71
0,polygon,40,71477.266,38270.027
0,polygon,41,69909.086,39446.164
0,polygon,42,67948.86,39838.21
0,polygon,43,66119.31,40491.617
0,polygon,44,63897.723,41406.39
0,polygon,45,62198.86,42190.48
0,polygon,46,61022.727,42843.89
0,polygon,47,56840.91,43889.344
0,polygon,48,53704.55,44934.797
0,polygon,49,51352.277,45196.16
0,polygon,50,49653.414,45196.16
0,polygon,51,47954.555,45065.477
0,polygon,52,45863.645,44804.113
0,polygon,53,43772.74,44673.434
0,polygon,54,36193.2,44673.434
0,polygon,55,34494.336,44542.75
0,polygon,56,30573.883,44542.75
0,polygon,57,28482.977,44412.07
0,polygon,58,18812.53,44412.07
0,polygon,59,16068.212,43889.344
0,polygon,60,13977.305,43366.617
0,polygon,61,12409.124,43105.254
0,polygon,62,10579.58,42582.527
0,polygon,63,9272.763,42190.48
0,polygon,64,7704.5815,41275.707
0,polygon,65,6267.0825,39968.89
0,polygon,66,3784.13,37224.574
0,polygon,67,1039.8136,34218.895
0,polygon,68,-1051.094,31343.896
0,polygon,69,-1835.1843,29775.717
0,polygon,70,-2227.2295,28338.217
0,polygon,71,-2488.593,26770.037
0,polygon,72,-2619.2747,25332.537
0,polygon,73,-1835.1843,24156.402
