index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,84846.05,87476.06
0,polygon,1,84998.59,87323.516
0,polygon,2,85208.35,87247.24
0,polygon,3,85399.03,87132.83
0,polygon,4,85551.586,86999.35
0,polygon,5,85723.195,86865.875
0,polygon,6,85894.81,86751.46
0,polygon,7,86066.43,86656.12
0,polygon,8,86257.12,86541.71
0,polygon,9,86447.8,86408.23
0,polygon,10,86638.484,86312.89
0,polygon,11,86829.17,86236.62
0,polygon,12,87019.85,86179.41
0,polygon,13,87229.61,86103.13
0,polygon,14,87363.086,85931.516
0,polygon,15,87534.7,85778.97
0,polygon,16,87725.39,85645.49
0,polygon,17,87858.87,85435.734
0,polygon,18,88011.414,85302.26
0,polygon,19,88221.17,85111.57
0,polygon,20,88469.06,84920.89
0,polygon,21,89136.45,84196.29
0,polygon,22,89308.07,83910.26
0,polygon,23,89403.414,83738.64
0,polygon,24,89365.27,83261.93
0,polygon,25,89250.87,82766.15
0,polygon,26,89155.52,82384.78
0,polygon,27,89060.18,81507.63
0,polygon,28,89041.11,80458.87
0,polygon,29,89041.11,79619.85
0,polygon,30,89022.05,79429.164
0,polygon,31,88888.56,79162.21
0,polygon,32,88678.81,79009.664
0,polygon,33,88335.58,78742.7
0,polygon,34,88068.62,78552.016
0,polygon,35,87782.59,78304.125
0,polygon,36,87553.77,78018.1
0,polygon,37,87420.29,77808.34
0,polygon,38,87286.81,77636.734
0,polygon,39,86943.58,77312.57
0,polygon,40,86733.83,77179.086
0,polygon,41,86409.664,77064.68
0,polygon,42,86085.5,76797.72
0,polygon,43,85742.266,76568.9
0,polygon,44,85134.375,75823.32
0,polygon,45,84465.08,74886.305
0,polygon,46,83661.914,74150.07
0,polygon,47,83059.55,73614.63
0,polygon,48,82457.18,73146.125
0,polygon,49,81720.945,72744.55
0,polygon,50,80583.13,71941.38
0,polygon,51,79512.26,71339.016
0,polygon,52,78642.164,70870.5
0,polygon,53,77839.01,70468.92
0,polygon,54,77102.78,70067.34
0,polygon,55,76299.62,69732.695
0,polygon,56,74693.3,68929.53
0,polygon,57,74024.0,68527.95
0,polygon,58,73220.836,68327.164
0,polygon,59,71748.38,67925.586
0,polygon,60,71212.94,68461.02
0,polygon,61,71079.08,69130.33
0,polygon,62,70543.64,70803.57
0,polygon,63,70476.71,71606.734
0,polygon,64,70476.71,72342.96
0,polygon,65,70409.78,73079.195
0,polygon,66,70142.06,73882.35
0,polygon,67,69874.34,74618.586
0,polygon,68,69740.48,75287.88
0,polygon,69,69673.55,76291.83
0,polygon,70,69606.625,76830.86
0,polygon,71,69700.65,77089.44
0,polygon,72,69653.64,77395.03
0,polygon,73,69536.1,77606.59
0,polygon,74,69677.15,77841.67
0,polygon,75,69888.71,77959.2
0,polygon,76,70123.78,78100.25
0,polygon,77,70335.34,78264.8
0,polygon,78,70828.99,78593.9
0,polygon,79,71040.56,78781.95
0,polygon,80,71322.65,78946.51
0,polygon,81,71557.72,79111.055
0,polygon,82,71769.28,79299.11
0,polygon,83,71933.83,79487.17
0,polygon,84,72145.4,79651.72
0,polygon,85,72380.47,79792.766
0,polygon,86,72568.52,79957.31
0,polygon,87,72803.59,80098.36
0,polygon,88,73015.164,80215.89
0,polygon,89,73250.234,80286.414
0,polygon,90,73461.8,80427.45
0,polygon,91,73673.36,80544.99
0,polygon,92,73861.42,80756.555
0,polygon,93,74096.49,80968.12
0,polygon,94,74331.56,81085.66
0,polygon,95,74590.14,81273.71
0,polygon,96,74848.72,81485.28
0,polygon,97,75060.28,81673.336
0,polygon,98,75271.85,81837.88
0,polygon,99,75436.4,82025.945
0,polygon,100,75624.45,82237.51
0,polygon,101,75812.516,82402.055
0,polygon,102,76000.57,82590.12
0,polygon,103,76141.61,82825.19
0,polygon,104,76282.66,83036.75
0,polygon,105,76564.74,83271.82
0,polygon,106,76776.305,83412.87
0,polygon,107,76987.87,83530.4
0,polygon,108,77152.42,83788.98
0,polygon,109,77316.97,84071.06
0,polygon,110,77458.016,84329.64
0,polygon,111,77834.125,84799.79
0,polygon,112,78225.195,85226.58
1,polygon,0,69666.35,77746.08
1,polygon,1,69380.555,77496.01
1,polygon,2,69023.305,77281.664
1,polygon,3,68666.06,77031.586
1,polygon,4,68344.54,76852.96
1,polygon,5,67951.57,76674.34
1,polygon,6,67522.875,76495.72
1,polygon,7,67165.625,76317.09
1,polygon,8,66808.375,76174.195
1,polygon,9,66379.68,75924.125
1,polygon,10,65986.71,75638.33
1,polygon,11,65665.19,75459.7
1,polygon,12,65236.492,75281.08
1,polygon,13,64914.97,75031.01
1,polygon,14,64522.0,74780.93
1,polygon,15,64129.027,74495.13
1,polygon,16,63736.055,74352.234
1,polygon,17,63378.81,74173.62
1,polygon,18,62878.664,73994.99
1,polygon,19,61699.75,73566.3
1,polygon,20,61271.05,73423.4
1,polygon,21,60806.633,73316.22
1,polygon,22,60413.66,73173.32
1,polygon,23,59949.24,73030.42
1,polygon,24,59449.094,72851.8
1,polygon,25,59127.57,72673.18
1,polygon,26,58734.6,72458.83
1,polygon,27,58413.08,72280.2
1,polygon,28,57770.035,71708.61
1,polygon,29,57377.062,71422.81
1,polygon,30,56948.367,71172.74
1,polygon,31,56305.324,70815.49
1,polygon,32,56233.875,70351.07
1,polygon,33,56198.15,69958.1
1,polygon,34,56126.7,69136.44
1,polygon,35,56090.973,68457.664
1,polygon,36,56126.7,67493.1
1,polygon,37,56198.15,66564.26
1,polygon,38,56198.15,65528.242
1,polygon,39,56090.973,64813.75
1,polygon,40,56233.875,61705.703
1,polygon,41,58448.805,62027.223
1,polygon,42,62092.72,62634.543
1,polygon,43,65558.016,63241.863
1,polygon,44,67665.77,63706.285
1,polygon,45,69844.98,64206.43
1,polygon,46,71345.414,64635.125
1,polygon,47,72524.33,65099.547
1,polygon,48,72595.77,68707.734
1,polygon,49,72524.33,69243.61
1,polygon,50,72381.43,69708.03
2,polygon,0,56421.848,70678.33
2,polygon,1,56025.48,70458.125
2,polygon,2,55629.117,70061.76
2,polygon,3,54836.387,69621.35
2,polygon,4,54440.023,69357.11
2,polygon,5,54043.656,69048.83
2,polygon,6,52722.44,68168.016
2,polygon,7,52017.793,67859.734
2,polygon,8,51136.984,67595.49
2,polygon,9,50696.58,67507.41
2,polygon,10,50168.09,67331.25
2,polygon,11,49639.605,67199.125
2,polygon,12,47085.254,67199.125
2,polygon,13,46644.85,67375.29
2,polygon,14,46160.406,67551.45
2,polygon,15,45675.957,67683.57
2,polygon,16,45147.473,68035.9
2,polygon,17,44795.15,68344.18
2,polygon,18,44530.906,68740.55
2,polygon,19,44354.742,69180.95
2,polygon,20,44134.54,69665.4
2,polygon,21,44002.418,70105.805
2,polygon,22,44002.418,70590.25
2,polygon,23,44310.703,70986.61
2,polygon,24,44614.68,71217.06
2,polygon,25,44826.246,71381.62
2,polygon,26,44849.75,71640.195
2,polygon,27,44849.75,72698.016
2,polygon,28,44896.766,72933.086
2,polygon,29,44873.258,73168.16
2,polygon,30,44685.203,73379.73
2,polygon,31,44638.188,73661.81
2,polygon,32,44614.68,73896.88
2,polygon,33,44567.668,74157.96
2,polygon,34,43831.438,73890.234
2,polygon,35,43162.14,73622.516
2,polygon,36,42760.56,73020.14
2,polygon,37,42225.117,72417.77
2,polygon,38,41756.61,71815.41
2,polygon,39,40819.59,71213.03
2,polygon,40,39146.34,69539.78
2,polygon,41,38677.832,69004.34
2,polygon,42,38610.9,62110.56
2,polygon,43,39213.27,61307.4
2,polygon,44,39681.78,60705.027
2,polygon,45,40886.52,59500.29
2,polygon,46,41957.4,58964.848
2,polygon,47,43095.207,58630.2
2,polygon,48,44299.95,58228.617
2,polygon,49,45370.83,57960.9
2,polygon,50,46910.22,57693.18
2,polygon,51,47579.516,57559.32
2,polygon,52,48449.605,57559.32
2,polygon,53,49988.996,57760.11
2,polygon,54,51528.387,57893.97
2,polygon,55,54205.586,58228.617
2,polygon,56,56079.625,58630.2
2,polygon,57,57685.945,59165.637
2,polygon,58,58288.312,59634.15
2,polygon,59,59158.402,60370.38
