index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,45334.555,33335.637
0,polygon,1,45350.023,33180.957
0,polygon,2,45380.957,33010.812
0,polygon,3,45396.426,32840.664
0,polygon,4,45396.426,32670.518
0,polygon,5,45411.895,32515.838
0,polygon,6,45411.895,32345.691
0,polygon,7,45396.426,32191.012
0,polygon,8,45396.426,32020.865
0,polygon,9,45427.363,31866.186
0,polygon,10,45473.766,31711.506
0,polygon,11,45504.703,31541.36
0,polygon,12,45628.445,31433.084
0,polygon,13,45783.125,31402.148
0,polygon,14,45953.27,31340.277
0,polygon,15,46107.95,31293.873
0,polygon,16,46278.098,31216.533
0,polygon,17,46417.31,31123.725
0,polygon,18,46571.99,31030.918
0,polygon,19,46726.668,30999.982
0,polygon,20,46958.688,30969.047
0,polygon,21,47113.367,30938.111
0,polygon,22,47283.51,30860.771
0,polygon,23,47453.66,30814.367
0,polygon,24,47608.34,30767.963
0,polygon,25,47778.484,30706.092
0,polygon,26,47964.1,30628.752
0,polygon,27,48118.78,30566.88
0,polygon,28,48257.992,30474.072
0,polygon,29,48428.137,30396.732
0,polygon,30,48675.625,30180.182
0,polygon,31,48768.434,30040.97
0,polygon,32,48861.24,29855.355
0,polygon,33,48907.645,29700.678
0,polygon,34,48923.113,29484.127
0,polygon,35,48938.58,29298.512
0,polygon,36,48984.984,29112.896
0,polygon,37,49077.79,28819.006
0,polygon,38,49093.258,28664.326
0,polygon,39,49124.195,28509.646
0,polygon,40,49108.727,28324.033
0,polygon,41,48984.984,28169.354
0,polygon,42,48861.24,28045.61
0,polygon,43,48752.965,27921.867
0,polygon,44,48613.754,27813.592
0,polygon,45,48459.074,27705.316
0,polygon,46,48304.395,27674.379
0,polygon,47,48134.246,27658.912
0,polygon,48,47948.633,27643.443
0,polygon,49,47763.02,27612.508
0,polygon,50,47592.87,27597.041
0,polygon,51,47128.832,27550.637
0,polygon,52,46943.22,27519.701
0,polygon,53,46695.73,27442.361
0,polygon,54,46525.586,27488.766
0,polygon,55,46370.906,27519.701
0,polygon,56,45984.207,27519.701
