index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,93189.34,85610.734
0,polygon,1,92616.82,85126.29
0,polygon,2,92132.375,84773.97
0,polygon,3,91691.97,84421.64
0,polygon,4,91207.52,84157.4
0,polygon,5,90767.12,84025.28
0,polygon,6,90326.71,84157.4
0,polygon,7,89798.23,84509.73
0,polygon,8,89401.86,84729.93
0,polygon,9,88917.414,84862.05
0,polygon,10,88388.93,85082.25
0,polygon,11,87904.484,85346.49
0,polygon,12,87552.16,85698.82
0,polygon,13,87155.8,86007.1
0,polygon,14,86671.35,86315.38
0,polygon,15,86098.82,86579.625
0,polygon,16,85526.3,86931.95
0,polygon,17,85085.89,87372.36
0,polygon,18,84689.52,87856.805
0,polygon,19,84249.12,88209.125
0,polygon,20,83852.76,88429.33
0,polygon,21,83456.39,88825.695
0,polygon,22,83236.19,89310.14
0,polygon,23,83021.555,90146.375
0,polygon,24,82774.02,90971.47
0,polygon,25,82443.99,91879.08
0,polygon,26,82443.99,93776.8
0,polygon,27,82691.516,94684.41
0,polygon,28,82774.02,95509.5
0,polygon,29,83434.1,96252.086
0,polygon,30,84589.24,96747.15
0,polygon,31,86156.92,96252.086
0,polygon,32,87147.04,95922.05
0,polygon,33,88054.65,95179.46
0,polygon,34,89539.82,94106.836
0,polygon,35,91107.5,92786.68
0,polygon,36,93005.23,90146.375
0,polygon,37,93995.34,88248.65
0,polygon,38,94242.87,87423.555
0,polygon,39,94242.87,86515.945
