index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,11547.541,20253.527
0,polygon,1,11790.301,20339.73
0,polygon,2,12026.673,20342.281
0,polygon,3,12542.871,20619.893
0,polygon,4,12785.637,20770.75
0,polygon,5,13028.404,20856.953
0,polygon,6,13246.888,21007.81
0,polygon,7,13465.379,21115.564
0,polygon,8,13708.146,21180.217
0,polygon,9,13732.422,21395.727
0,polygon,10,13683.869,21611.236
0,polygon,11,13683.869,21848.297
0,polygon,12,13659.594,22063.807
0,polygon,13,13611.035,22300.867
0,polygon,14,13708.146,22731.885
0,polygon,15,13805.25,22947.395
0,polygon,16,13829.525,23162.904
0,polygon,17,13712.976,23880.12
0,polygon,18,13555.641,24457.012
0,polygon,19,13433.27,24929.018
0,polygon,20,13328.38,25366.059
0,polygon,21,13240.972,25680.727
0,polygon,22,13171.045,26117.768
0,polygon,23,13013.71,26624.736
0,polygon,24,12821.412,27271.557
0,polygon,25,12716.522,27691.115
0,polygon,26,12541.706,28285.492
0,polygon,27,12262.0,28897.35
0,polygon,28,12080.012,29361.918
0,polygon,29,11852.6045,29765.674
0,polygon,30,11761.638,30169.43
0,polygon,31,11579.711,30734.688
0,polygon,32,11443.27,31138.443
0,polygon,33,11306.823,31582.574
0,polygon,34,11215.857,31986.33
0,polygon,35,11033.93,32390.086
0,polygon,36,10852.002,32874.594
0,polygon,37,10761.043,33278.348
0,polygon,38,10579.115,33682.1
0,polygon,39,10397.182,34166.61
0,polygon,40,10169.774,34529.992
0,polygon,41,9714.96,34691.492
0,polygon,42,9260.141,34529.992
0,polygon,43,8805.32,34408.863
0,polygon,44,8759.846,33843.605
0,polygon,45,8759.846,32874.594
0,polygon,46,8941.766,32309.334
0,polygon,47,8997.689,31702.736
0,polygon,48,9077.393,31277.656
0,polygon,49,9210.2295,30932.28
0,polygon,50,9316.499,30533.766
0,polygon,51,9422.77,30188.389
0,polygon,52,9422.77,29736.742
0,polygon,53,9502.472,29258.527
0,polygon,54,9449.337,28647.475
0,polygon,55,9582.174,27558.209
0,polygon,56,9851.406,26374.125
0,polygon,57,9942.367,25566.613
0,polygon,58,10215.26,24759.104
0,polygon,59,10397.182,24355.348
0,polygon,60,10488.148,23911.215
0,polygon,61,10715.5625,23426.709
0,polygon,62,10897.484,22901.826
0,polygon,63,10988.45,22417.32
0,polygon,64,11170.377,21932.812
0,polygon,65,11352.303,21125.3
0,polygon,66,11488.75,20681.17
1,polygon,0,77079.06,83914.75
1,polygon,1,77031.734,84072.5
1,polygon,2,76952.86,84214.48
1,polygon,3,76905.53,84372.234
1,polygon,4,76889.76,84577.31
1,polygon,5,76873.984,84735.06
1,polygon,6,76842.43,84892.81
1,polygon,7,76826.66,85050.57
1,polygon,8,76826.66,85239.875
1,polygon,9,76795.11,85397.625
1,polygon,10,76747.78,85571.16
1,polygon,11,76716.23,85744.68
1,polygon,12,76637.35,85902.44
1,polygon,13,76511.15,86012.86
1,polygon,14,76448.05,86217.94
1,polygon,15,76353.4,86375.695
1,polygon,16,76321.84,86533.445
1,polygon,17,76258.75,86691.195
1,polygon,18,76132.55,86801.625
1,polygon,19,76006.34,86959.375
1,polygon,20,75990.57,87117.13
1,polygon,21,75959.016,87274.88
1,polygon,22,75880.14,87416.86
1,polygon,23,75817.04,87574.62
1,polygon,24,75627.734,87890.12
1,polygon,25,75580.41,88047.875
1,polygon,26,75564.63,88221.4
1,polygon,27,75517.305,88379.16
1,polygon,28,75454.2,88536.91
1,polygon,29,75438.43,88694.66
1,polygon,30,75406.88,88868.19
1,polygon,31,75375.33,89025.94
1,polygon,32,75359.555,89183.695
1,polygon,33,75359.555,89562.3
1,polygon,34,75375.33,89720.055
1,polygon,35,75438.43,89877.805
1,polygon,36,75501.53,90067.11
1,polygon,37,75659.29,90351.06
1,polygon,38,75753.94,90508.81
1,polygon,39,75927.47,90587.695
1,polygon,40,76116.766,90635.016
1,polygon,41,76258.75,90713.9
1,polygon,42,76400.73,90824.32
1,polygon,43,76542.7,90903.195
1,polygon,44,76617.586,90593.87
1,polygon,45,76735.805,90268.766
1,polygon,46,76883.58,89943.664
1,polygon,47,77031.35,89677.67
1,polygon,48,77267.8,89382.12
1,polygon,49,77504.234,89057.016
1,polygon,50,77740.67,88791.02
1,polygon,51,77977.11,88554.58
1,polygon,52,78124.88,88259.03
1,polygon,53,78361.33,87904.375
1,polygon,54,78715.984,87520.164
1,polygon,55,78952.42,87283.72
1,polygon,56,79100.195,86929.06
1,polygon,57,79277.52,86574.41
1,polygon,58,79336.63,86278.85
1,polygon,59,79454.86,85983.305
1,polygon,60,79661.74,85510.43
1,polygon,61,79779.96,85185.32
1,polygon,62,79927.734,84801.11
1,polygon,63,80164.17,84328.234
1,polygon,64,80341.5,84003.125
1,polygon,65,80489.27,83678.02
1,polygon,66,80666.61,83352.92
1,polygon,67,80843.94,83057.37
1,polygon,68,81021.266,82643.6
1,polygon,69,81287.26,82052.51
1,polygon,70,81375.92,81756.95
1,polygon,71,81582.805,81195.414
1,polygon,72,81789.695,80722.53
1,polygon,73,82026.13,80279.21
1,polygon,74,82203.46,79806.336
1,polygon,75,82351.234,79540.336
1,polygon,76,82528.56,79185.68
