index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,15698.689,6582.2627
0,polygon,1,15654.648,7066.7085
0,polygon,2,15478.486,7507.114
0,polygon,3,15390.405,8035.6
0,polygon,4,15390.405,8445.202
0,polygon,5,15497.579,8802.449
0,polygon,6,15640.478,9516.943
0,polygon,7,15676.203,9909.914
0,polygon,8,15569.028,10267.161
0,polygon,9,15390.405,10588.684
0,polygon,10,15283.231,10945.93
0,polygon,11,15211.782,11303.177
0,polygon,12,15283.231,11660.424
0,polygon,13,15318.956,12124.845
0,polygon,14,15283.231,12624.99
0,polygon,15,15211.782,12982.236
0,polygon,16,15211.782,13375.208
0,polygon,17,15426.13,13768.18
0,polygon,18,15497.579,14161.151
0,polygon,19,15569.028,14518.397
0,polygon,20,15497.579,14875.645
0,polygon,21,15283.231,15232.892
0,polygon,22,15176.058,15590.138
0,polygon,23,15354.681,15911.66
0,polygon,24,15533.304,16376.081
0,polygon,25,15569.028,16769.053
0,polygon,26,15426.13,17554.996
0,polygon,27,15283.231,17947.967
0,polygon,28,15211.782,18305.213
0,polygon,29,15140.332,18698.186
0,polygon,30,15033.158,19126.88
0,polygon,31,14997.434,19484.127
0,polygon,32,15033.158,19841.375
0,polygon,33,15140.332,20270.07
0,polygon,34,15318.956,20698.768
0,polygon,35,15426.13,21091.738
0,polygon,36,15461.8545,21520.434
0,polygon,37,15533.304,21877.682
0,polygon,38,15569.028,22234.928
0,polygon,39,15711.928,22592.174
0,polygon,40,15890.551,22949.422
0,polygon,41,16140.623,23306.668
0,polygon,42,16462.146,23663.916
0,polygon,43,16819.393,23878.264
0,polygon,44,17283.812,24235.51
0,polygon,45,17533.887,24521.307
0,polygon,46,17962.582,24842.83
0,polygon,47,18284.104,25021.453
0,polygon,48,18712.8,25307.25
0,polygon,49,19141.496,25485.873
0,polygon,50,19427.293,25807.396
0,polygon,51,19855.99,26021.744
0,polygon,52,20356.135,26236.092
0,polygon,53,20713.383,26450.44
0,polygon,54,21147.719,26866.209
0,polygon,55,21636.348,27191.96
0,polygon,56,22179.27,27354.838
0,polygon,57,22722.19,27463.422
0,polygon,58,23265.111,27734.883
0,polygon,59,23862.324,27952.05
0,polygon,60,24405.244,28169.219
0,polygon,61,24893.873,28440.68
0,polygon,62,25491.086,28712.14
0,polygon,63,26034.008,29037.893
0,polygon,64,26576.928,29309.354
0,polygon,65,27119.85,29472.229
0,polygon,66,27717.062,29417.938
0,polygon,67,28259.982,29309.354
0,polygon,68,28748.611,28875.016
0,polygon,69,29182.95,28440.68
0,polygon,70,29345.824,27843.467
0,polygon,71,29454.408,27300.545
0,polygon,72,29617.285,26757.625
0,polygon,73,29617.285,25454.615
0,polygon,74,29562.992,24857.402
0,polygon,75,29345.824,24314.48
0,polygon,76,29074.363,23825.852
0,polygon,77,28857.195,23282.932
0,polygon,78,28585.736,22794.303
0,polygon,79,28368.566,22197.09
0,polygon,80,28205.691,21654.168
0,polygon,81,28097.107,21056.955
0,polygon,82,28314.275,20514.035
0,polygon,83,28368.566,19916.822
0,polygon,84,28531.443,19265.316
0,polygon,85,28259.982,18776.688
0,polygon,86,27717.062,18559.52
0,polygon,87,27065.557,18125.182
0,polygon,88,26794.096,17582.262
0,polygon,89,26956.973,17039.34
0,polygon,90,27228.434,16442.127
0,polygon,91,27228.434,15790.623
0,polygon,92,27391.309,15247.702
0,polygon,93,27662.77,14704.781
0,polygon,94,27662.77,13401.7705
0,polygon,95,27608.479,12858.85
0,polygon,96,27228.434,12424.513
0,polygon,97,26739.805,12098.761
0,polygon,98,26196.883,11664.424
0,polygon,99,25708.254,11392.964
0,polygon,100,25328.21,10958.627
0,polygon,101,25273.918,10307.122
0,polygon,102,25056.75,9764.201
0,polygon,103,25056.75,8949.819
0,polygon,104,24839.582,8352.606
0,polygon,105,24513.828,7809.6855
0,polygon,106,24188.076,7321.0566
0,polygon,107,23753.74,6506.6753
0,polygon,108,23319.402,5963.7544
0,polygon,109,22885.066,5475.1255
0,polygon,110,22450.729,5095.081
0,polygon,111,21907.809,4769.3286
0,polygon,112,21419.18,4497.868
0,polygon,113,20930.55,4172.115
0,polygon,114,20333.338,4172.115
0,polygon,115,19899.002,4552.16
0,polygon,116,19247.496,4769.3286
0,polygon,117,18487.406,5040.789
0,polygon,118,17890.193,5149.373
0,polygon,119,17292.98,5366.5415
0,polygon,120,16695.768,5692.294
0,polygon,121,16152.847,6018.0464
1,polygon,0,9896.343,6006.9834
1,polygon,1,10289.314,6006.9834
1,polygon,2,10789.46,6185.6064
1,polygon,3,11110.981,6364.23
