index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,46081.094,35502.598
0,polygon,1,46271.777,35426.324
0,polygon,2,46424.33,35292.844
0,polygon,3,46595.94,35197.5
0,polygon,4,46805.695,35121.227
0,polygon,5,47015.45,35083.09
0,polygon,6,47244.27,34987.746
0,polygon,7,47415.887,34854.27
0,polygon,8,47568.434,34701.723
0,polygon,9,47720.984,34568.242
0,polygon,10,47854.46,34415.695
0,polygon,11,48026.08,34282.215
0,polygon,12,48178.625,34148.734
0,polygon,13,48350.242,34053.395
0,polygon,14,48559.996,33977.117
0,polygon,15,48712.543,33843.64
0,polygon,16,48884.16,33748.297
0,polygon,17,49036.707,33614.816
0,polygon,18,49151.117,33443.203
0,polygon,19,49341.805,33290.652
0,polygon,20,49551.56,33214.38
0,polygon,21,49932.926,33138.105
0,polygon,22,50142.68,33119.04
0,polygon,23,50352.434,33061.832
0,polygon,24,50543.117,33004.625
0,polygon,25,50503.312,32955.21
0,polygon,26,50563.17,32929.27
0,polygon,27,50734.625,32545.53
0,polygon,28,50784.816,32369.867
0,polygon,29,50860.098,32206.754
0,polygon,30,50935.383,32131.47
0,polygon,31,50885.19,31993.451
0,polygon,32,50784.816,31805.242
0,polygon,33,50810.08,31669.834
0,polygon,34,50638.46,31536.354
0,polygon,35,50409.637,31441.012
0,polygon,36,50264.105,31358.71
0,polygon,37,50163.727,31258.332
0,polygon,38,50063.348,31120.312
0,polygon,39,50000.613,30982.293
0,polygon,40,49925.33,30856.82
0,polygon,41,49812.406,30781.537
0,polygon,42,49686.934,30731.35
0,polygon,43,49611.65,30618.424
0,polygon,44,49561.46,30480.404
0,polygon,45,49548.914,30342.385
0,polygon,46,49585.1,30186.729
0,polygon,47,49642.895,29897.762
0,polygon,48,49659.406,29707.87
0,polygon,49,49739.6,29522.938
0,polygon,50,49587.055,29370.389
0,polygon,51,48998.91,29253.78
0,polygon,52,48949.375,29410.646
0,polygon,53,48924.605,29650.076
0,polygon,54,48919.656,29847.102
0,polygon,55,48805.246,30037.787
0,polygon,56,48671.766,30190.334
0,polygon,57,48500.152,30323.812
0,polygon,58,48309.465,30400.088
0,polygon,59,48118.78,30495.43
0,polygon,60,47909.027,30571.703
0,polygon,61,47642.07,30705.184
0,polygon,62,47432.316,30743.32
0,polygon,63,47222.562,30800.525
0,polygon,64,47031.88,30857.73
0,polygon,65,46841.195,30895.867
0,polygon,66,46650.508,30972.14
0,polygon,67,46459.824,31029.348
0,polygon,68,46326.344,31181.895
0,polygon,69,46135.66,31277.236
0,polygon,70,45944.977,31391.648
0,polygon,71,45678.016,31448.854
0,polygon,72,45506.402,31544.195
0,polygon,73,45430.125,31753.95
0,polygon,74,45430.125,32249.729
0,polygon,75,45353.85,32459.482
0,polygon,76,45315.715,32650.168
0,polygon,77,45315.715,33107.812
0,polygon,78,45296.65,33298.496
0,polygon,79,45296.65,33508.25
0,polygon,80,45277.58,33756.14
0,polygon,81,45372.92,33927.754
0,polygon,82,45468.26,34137.508
0,polygon,83,45544.54,34518.88
0,polygon,84,45678.016,34671.426
0,polygon,85,45773.36,34843.043
0,polygon,86,45906.84,34995.59
0,polygon,87,46002.18,35167.207
1,polygon,0,44777.996,71278.42
1,polygon,1,44825.01,71654.53
1,polygon,2,44848.516,71936.62
1,polygon,3,44848.516,72782.875
1,polygon,4,44825.01,73017.95
1,polygon,5,44801.504,73276.53
1,polygon,6,44754.49,73535.11
1,polygon,7,44683.97,73793.69
1,polygon,8,44683.97,74052.266
1,polygon,9,44801.504,74263.83
1,polygon,10,44966.055,74451.88
1,polygon,11,45201.125,74616.44
1,polygon,12,45436.195,74733.97
1,polygon,13,45694.773,74875.016
1,polygon,14,45929.848,74969.05
1,polygon,15,46094.4,75157.1
1,polygon,16,46282.453,75368.664
1,polygon,17,46541.03,75227.625
1,polygon,18,46611.555,74992.555
1,polygon,19,46752.598,74757.48
1,polygon,20,46870.133,74522.41
1,polygon,21,46998.85,74235.664
1,polygon,22,46941.562,74024.13
1,polygon,23,46857.832,73817.016
1,polygon,24,46917.15,73488.09
1,polygon,25,46893.64,73253.02
1,polygon,26,46940.656,72970.94
1,polygon,27,46987.668,72735.87
1,polygon,28,47034.684,72453.78
1,polygon,29,47034.684,72171.695
1,polygon,30,47081.7,71936.62
1,polygon,31,47128.71,71654.53
1,polygon,32,47025.523,71101.19
1,polygon,33,46797.35,71307.625
1,polygon,34,46658.57,71513.49
1,polygon,35,46376.484,71560.51
1,polygon,36,45812.312,71560.51
1,polygon,37,45506.72,71513.49
1,polygon,38,45107.098,71395.95
