index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,50450.42,24661.926
0,polygon,1,49693.082,25250.97
0,polygon,2,48767.438,25503.418
0,polygon,3,47757.65,25755.865
0,polygon,4,46916.156,25924.164
0,polygon,5,46074.664,26176.611
0,polygon,6,45233.17,26260.762
0,polygon,7,44307.53,26260.762
0,polygon,8,43297.742,26344.91
0,polygon,9,42579.63,26777.02
0,polygon,10,42220.305,27091.43
0,polygon,11,41726.23,27136.346
0,polygon,12,41187.246,27136.346
0,polygon,13,40693.17,27181.262
0,polygon,14,38716.883,27181.262
0,polygon,15,38246.816,27080.975
0,polygon,16,37693.11,26914.861
0,polygon,17,37084.027,26970.232
0,polygon,18,36530.316,26914.861
0,polygon,19,35533.64,26250.41
0,polygon,20,35090.676,25862.814
0,polygon,21,34813.82,25219.377
0,polygon,22,34710.082,24078.268
0,polygon,23,34710.082,22937.16
0,polygon,24,34191.395,21899.79
0,polygon,25,33672.71,20758.682
0,polygon,26,33154.023,19721.31
0,polygon,27,32842.812,18683.94
0,polygon,28,32842.812,17542.83
0,polygon,29,33050.29,16401.723
0,polygon,30,33672.71,15364.352
0,polygon,31,34087.66,14223.243
0,polygon,32,34295.133,13185.872
0,polygon,33,35539.98,13185.872
0,polygon,34,36760.65,13669.935
0,polygon,35,37748.793,14568.248
0,polygon,36,38736.938,15421.6455
0,polygon,37,39455.586,15736.055
0,polygon,38,40758.14,16319.958
0,polygon,39,41297.13,16679.283
0,polygon,40,42330.188,17128.44
0,polygon,41,43138.67,17397.934
0,polygon,42,44046.42,17854.041
0,polygon,43,45291.266,17957.78
0,polygon,44,46328.637,17854.041
0,polygon,45,47366.008,18061.516
0,polygon,46,48299.645,18580.201
0,polygon,47,49233.277,19202.625
0,polygon,48,50063.17,20447.469
1,polygon,0,57441.523,82986.836
1,polygon,1,58105.973,84094.26
1,polygon,2,58493.57,84592.59
1,polygon,3,58825.797,85146.305
1,polygon,4,59158.02,85644.64
1,polygon,5,59379.504,86253.73
1,polygon,6,59711.73,87028.914
1,polygon,7,59711.73,87693.37
1,polygon,8,59379.504,89022.266
1,polygon,9,59379.504,89631.35
1,polygon,10,59324.133,90351.17
1,polygon,11,59490.246,91015.625
1,polygon,12,59490.246,91735.445
1,polygon,13,59379.504,92510.64
1,polygon,14,59324.137,93077.24
1,polygon,15,59051.098,93759.84
1,polygon,16,58573.277,94374.18
1,polygon,17,57822.418,94783.74
1,polygon,18,57071.56,94783.74
1,polygon,19,56184.18,94920.26
1,polygon,20,55433.32,95193.3
1,polygon,21,54614.2,94988.52
1,polygon,22,53931.6,94920.26
1,polygon,23,53249.0,94510.7
1,polygon,24,52523.438,94089.95
1,polygon,25,51681.945,93837.51
1,polygon,26,51092.9,92908.55
1,polygon,27,50672.152,91898.76
1,polygon,28,49746.51,91309.71
1,polygon,29,48905.02,90888.96
1,polygon,30,48063.527,90299.92
1,polygon,31,47390.336,89542.58
1,polygon,32,46380.543,89542.58
1,polygon,33,45370.754,89205.98
1,polygon,34,44360.96,88616.94
1,polygon,35,43771.918,87859.59
1,polygon,36,44024.367,87018.1
1,polygon,37,44360.96,85890.06
1,polygon,38,44540.625,85261.24
1,polygon,39,44675.37,84812.086
1,polygon,40,44765.203,84362.93
1,polygon,41,45079.61,83868.86
1,polygon,42,45438.938,83060.375
1,polygon,43,46067.754,81802.74
1,polygon,44,46382.164,81263.75
1,polygon,45,46696.574,80545.1
1,polygon,46,47100.816,80051.03
1,polygon,47,47549.973,79691.7
1,polygon,48,47909.297,79377.3
1,polygon,49,48313.54,79062.88
1,polygon,50,48609.086,78974.22
1,polygon,51,48904.633,78796.89
1,polygon,52,49259.293,79033.33
1,polygon,53,49613.953,79210.66
1,polygon,54,49968.61,79328.88
1,polygon,55,50264.16,79417.55
1,polygon,56,50530.152,79624.43
1,polygon,57,50825.703,79801.76
1,polygon,58,51121.254,79949.53
1,polygon,59,51446.355,79919.98
1,polygon,60,51801.016,79919.98
1,polygon,61,52067.008,80097.305
1,polygon,62,52392.113,80097.305
1,polygon,63,52687.66,80215.52
1,polygon,64,52924.1,80422.414
1,polygon,65,53278.758,80540.63
1,polygon,66,53633.418,80570.19
1,polygon,67,53928.97,80629.3
1,polygon,68,54254.07,80688.41
1,polygon,69,54579.176,80717.96
1,polygon,70,55288.492,80717.96
2,polygon,0,57645.42,83319.99
2,polygon,1,57586.312,82994.89
2,polygon,2,57468.094,82699.34
2,polygon,3,57261.21,82374.24
2,polygon,4,57054.324,82108.24
2,polygon,5,56876.996,81812.695
2,polygon,6,56729.223,81546.7
2,polygon,7,56551.89,81251.16
2,polygon,8,56315.453,81014.71
2,polygon,9,56079.016,80807.83
2,polygon,10,55842.574,80512.28
2,polygon,11,55606.137,80719.164
2,polygon,12,55281.03,80807.83
