index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,10714.065,22818.297
0,polygon,1,4875.9336,14061.1
0,polygon,2,3578.5708,11952.886
0,polygon,3,335.1642,4817.391
0,polygon,4,-1286.5391,-2318.1033
0,polygon,5,-1935.2203,-5237.1694
0,polygon,6,-313.5171,-6534.5317
0,polygon,7,3416.4004,-8480.576
0,polygon,8,7308.4883,-10426.62
0,polygon,9,13146.62,-12534.834
0,polygon,10,20768.625,-14643.048
0,polygon,11,29039.312,-15940.411
0,polygon,12,43634.64,-15940.411
0,polygon,13,50445.797,-14643.048
0,polygon,14,54662.223,-12859.175
0,polygon,15,58878.652,-8967.087
0,polygon,16,64392.445,-47.718697
0,polygon,17,65365.465,1898.3252
0,polygon,18,67149.336,3195.6877
0,polygon,19,69581.89,5141.732
0,polygon,20,70554.914,6763.435
0,polygon,21,71365.766,8709.4795
0,polygon,22,71852.28,11466.375
0,polygon,23,72176.62,16817.996
0,polygon,24,72338.79,22818.297
0,polygon,25,71690.11,30764.645
0,polygon,26,69419.73,35954.094
0,polygon,27,65365.465,40657.035
0,polygon,28,63257.25,43576.098
0,polygon,29,56932.61,46332.996
0,polygon,30,45742.855,48279.04
0,polygon,31,37310.0,47954.7
0,polygon,32,30336.676,46332.996
0,polygon,33,25471.564,45035.633
0,polygon,34,20119.943,43738.27
0,polygon,35,14281.8125,41792.227
0,polygon,36,9578.873,40008.35
0,polygon,37,7794.9995,38548.82
0,polygon,38,7308.4883,35629.754
0,polygon,39,7794.9995,32710.688
0,polygon,40,8443.681,29953.793
0,polygon,41,8768.021,27196.896
