index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,72360.125,117730.29
0,polygon,1,69860.695,119703.52
0,polygon,2,68808.305,120624.37
0,polygon,3,67624.36,122466.055
0,polygon,4,66440.42,124176.19
0,polygon,5,65124.934,125754.77
0,polygon,6,64204.09,128911.95
0,polygon,7,63809.44,130490.54
0,polygon,8,63151.7,131937.58
0,polygon,9,62099.305,132989.97
0,polygon,10,60652.27,134568.55
0,polygon,11,58942.133,136147.14
0,polygon,12,57758.19,137067.98
0,polygon,13,54601.02,138383.47
0,polygon,14,52101.59,139172.77
0,polygon,15,48681.316,139567.4
0,polygon,16,46050.34,139698.97
0,polygon,17,41051.48,139830.52
0,polygon,18,36052.62,139830.52
0,polygon,19,32632.348,139567.4
0,polygon,20,28291.234,139172.77
0,polygon,21,24476.314,138778.12
0,polygon,22,21582.238,138383.47
0,polygon,23,18556.613,137988.83
0,polygon,24,15794.086,137331.08
0,polygon,25,12636.912,136673.34
0,polygon,26,10532.13,136147.14
0,polygon,27,6848.76,134700.11
0,polygon,28,4743.977,133910.81
0,polygon,29,3165.39,132989.97
0,polygon,30,-517.9799,131148.28
0,polygon,31,-1833.4691,130095.89
0,polygon,32,-3017.4094,128122.66
0,polygon,33,-3938.252,126017.875
0,polygon,34,-4332.8984,121019.016
0,polygon,35,-4201.3496,116414.805
0,polygon,36,-3938.252,111942.14
0,polygon,37,-3412.0562,107864.125
0,polygon,38,-3017.4094,105890.89
0,polygon,39,-2228.116,102865.266
0,polygon,40,-1044.1755,98261.055
0,polygon,41,139.76471,92867.55
0,polygon,42,1323.705,89315.73
0,polygon,43,2902.292,86421.65
0,polygon,44,5664.8193,83264.48
0,polygon,45,7769.602,82343.63
0,polygon,46,10400.58,81948.984
0,polygon,47,12768.461,81948.984
0,polygon,48,17241.125,83396.02
0,polygon,49,22239.984,86290.1
0,polygon,50,24870.96,87474.04
0,polygon,51,27107.293,88000.234
0,polygon,52,29869.82,88131.79
0,polygon,53,34474.03,88263.336
0,polygon,54,48681.316,88263.336
0,polygon,55,52627.785,88657.984
0,polygon,56,57100.45,89578.82
0,polygon,57,59731.426,90105.016
0,polygon,58,63283.246,91420.51
0,polygon,59,67755.91,93656.84
0,polygon,60,69597.59,94709.234
0,polygon,61,71307.734,95498.52
0,polygon,62,74728.0,97734.86
0,polygon,63,76964.336,99839.64
0,polygon,64,76306.59,101549.77
0,polygon,65,75254.195,102865.266
