index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,55861.75,11764.397
0,polygon,1,54505.727,15530.791
0,polygon,2,54459.523,16177.628
0,polygon,3,54320.914,16639.654
0,polygon,4,54274.71,17194.086
0,polygon,5,54089.902,17656.111
0,polygon,6,53858.89,18118.139
0,polygon,7,53775.207,18562.717
0,polygon,8,53587.816,18974.98
0,polygon,9,53475.38,19349.766
0,polygon,10,53400.42,19762.03
0,polygon,11,53550.336,20511.6
0,polygon,12,53587.816,21073.777
0,polygon,13,53700.25,21448.564
0,polygon,14,54075.035,21710.914
0,polygon,15,54674.69,21710.914
0,polygon,16,55161.914,21748.393
0,polygon,17,55574.176,21710.914
0,polygon,18,56061.4,21710.914
0,polygon,19,56623.574,21598.479
0,polygon,20,57110.797,21523.521
0,polygon,21,57635.496,21373.607
0,polygon,22,58122.72,21298.648
0,polygon,23,58722.375,21261.17
0,polygon,24,59284.55,21261.17
0,polygon,25,59884.207,21073.777
0,polygon,26,60521.344,20661.514
0,polygon,27,61495.785,20174.293
0,polygon,28,61870.57,19911.943
0,polygon,29,62282.836,19574.637
0,polygon,30,62695.098,19274.809
0,polygon,31,63332.234,18862.545
0,polygon,32,63669.54,18600.195
0,polygon,33,64081.805,18300.367
0,polygon,34,64381.633,17963.06
0,polygon,35,64569.023,17475.84
0,polygon,36,64793.895,16951.139
0,polygon,37,64868.85,16538.875
0,polygon,38,65018.766,16014.177
0,polygon,39,65168.68,15451.998
0,polygon,40,65318.594,14964.777
0,polygon,41,65505.99,14515.035
0,polygon,42,65768.336,14215.207
0,polygon,43,66068.164,13915.379
0,polygon,44,66597.164,13100.785
0,polygon,45,66878.02,12398.628
0,polygon,46,66878.02,6711.1465
0,polygon,47,66386.516,6008.9883
0,polygon,48,65473.707,5306.83
0,polygon,49,64420.473,4464.24
0,polygon,50,63367.234,3762.082
0,polygon,51,62594.86,3200.3555
0,polygon,52,61611.84,2779.0605
0,polygon,53,60979.895,2357.7656
0,polygon,54,60347.953,2006.6865
0,polygon,55,59154.285,1515.1758
0,polygon,56,58452.125,1234.3125
0,polygon,57,57328.67,813.0176
0,polygon,58,56626.516,602.3701
0,polygon,59,55362.63,251.29106
0,polygon,60,54239.176,-29.57221
0,polygon,61,53326.37,-240.21967
0,polygon,62,52273.133,-450.86713
0,polygon,63,51149.68,-801.9462
0,polygon,64,49815.582,-1153.0253
0,polygon,65,48692.13,-1433.8885
0,polygon,66,47779.324,-1574.3202
0,polygon,67,46094.145,-2065.8308
0,polygon,68,45181.336,-2065.8308
0,polygon,69,44338.746,-2136.0466
0,polygon,70,43425.94,-2346.694
0,polygon,71,42302.49,-2557.3416
0,polygon,72,41319.47,-2767.989
0,polygon,73,40617.31,-3048.8523
0,polygon,74,30997.742,-3189.284
0,polygon,75,29804.072,-3119.068
0,polygon,76,28961.482,-2978.6365
0,polygon,77,27486.951,-2978.6365
0,polygon,78,26574.145,-3048.8523
0,polygon,79,25661.34,-3048.8523
0,polygon,80,24116.592,-2978.6365
0,polygon,81,23133.57,-2627.5574
0,polygon,82,22642.06,-2065.8308
0,polygon,83,23133.57,-1363.6727
0,polygon,84,23554.865,-661.5146
0,polygon,85,23905.945,110.85943
0,polygon,86,24467.672,1164.0967
0,polygon,87,24748.535,1866.2549
0,polygon,88,24959.182,2779.0605
0,polygon,89,25329.225,3209.8376
0,polygon,90,25479.139,3584.623
0,polygon,91,25591.574,3959.4084
0,polygon,92,25629.053,4382.5425
0,polygon,93,25629.053,4653.816
0,polygon,94,25727.697,4999.0728
0,polygon,95,25949.648,5147.04
0,polygon,96,26220.922,5147.04
0,polygon,97,26516.855,5073.0566
0,polygon,98,26788.129,5048.3955
0,polygon,99,27059.402,5048.3955
0,polygon,100,27355.338,5073.0566
0,polygon,101,27651.271,5122.379
0,polygon,102,27922.545,5147.04
0,polygon,103,28243.14,5097.718
0,polygon,104,28588.398,5073.0566
0,polygon,105,28884.332,5073.0566
0,polygon,106,29130.945,5048.3955
0,polygon,107,29747.475,5048.3955
0,polygon,108,29994.086,5147.04
0,polygon,109,30240.7,5221.024
0,polygon,110,30561.295,5270.346
0,polygon,111,30807.906,5344.33
0,polygon,112,31301.13,5442.9746
0,polygon,113,31547.742,5516.9585
0,polygon,114,31819.016,5541.6196
0,polygon,115,32139.611,5640.264
0,polygon,116,32682.158,5837.554
0,polygon,117,32978.094,6010.1826
0,polygon,118,33224.703,6108.827
0,polygon,119,33471.316,6232.1333
0,polygon,120,33767.25,6330.7783
0,polygon,121,34260.477,6528.068
0,polygon,122,34507.086,6651.374
0,polygon,123,34778.36,6799.3413
0,polygon,124,35074.297,6947.3086
