index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,48714.906,114773.266
0,polygon,1,49110.13,114864.47
0,polygon,2,49414.145,114986.08
0,polygon,3,49748.562,115290.09
0,polygon,4,49930.973,115563.71
0,polygon,5,50052.582,115898.13
0,polygon,6,50174.188,116262.95
0,polygon,7,50143.785,116658.17
0,polygon,8,50052.582,116962.195
0,polygon,9,49930.973,117357.414
0,polygon,10,49778.965,117843.84
0,polygon,11,49596.555,118147.86
0,polygon,12,49292.54,118360.67
0,polygon,13,48988.52,118603.89
0,polygon,14,48441.29,119090.31
0,polygon,15,48137.27,119394.33
0,polygon,16,47833.254,119667.945
0,polygon,17,47529.24,119911.164
0,polygon,18,47316.426,120184.77
0,polygon,19,47134.016,120488.8
0,polygon,20,46982.004,120823.21
0,polygon,21,46890.8,121127.234
0,polygon,22,46769.19,121492.055
0,polygon,23,46769.19,121887.27
0,polygon,24,46799.594,122221.695
0,polygon,25,46890.8,122525.71
0,polygon,26,46860.4,122920.94
0,polygon,27,46769.19,123316.16
0,polygon,28,46738.793,123650.58
0,polygon,29,46677.99,123954.59
0,polygon,30,46647.586,124289.016
0,polygon,31,46556.38,124623.43
0,polygon,32,46404.37,124927.445
0,polygon,33,46100.355,125018.66
0,polygon,34,45796.336,125079.46
0,polygon,35,45492.32,125170.664
0,polygon,36,45097.098,125322.67
0,polygon,37,44701.875,125444.28
0,polygon,38,44337.055,125565.88
0,polygon,39,44002.633,125687.49
0,polygon,40,43698.617,125748.3
0,polygon,41,43364.2,125839.5
0,polygon,42,42999.38,125869.91
0,polygon,43,42604.156,125869.91
0,polygon,44,42300.137,125900.305
0,polygon,45,41904.914,125930.7
0,polygon,46,41509.69,125930.7
0,polygon,47,41175.273,125961.11
0,polygon,48,40749.65,126021.914
0,polygon,49,40415.23,126021.914
0,polygon,50,40080.81,125930.7
0,polygon,51,39776.793,125869.91
0,polygon,52,39472.773,125839.5
0,polygon,53,39107.953,125778.695
0,polygon,54,38803.938,125687.49
0,polygon,55,38439.117,125565.88
