index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,54711.883,14903.209
0,polygon,1,54646.066,15192.8
0,polygon,2,54552.082,15375.816
0,polygon,3,54535.855,15538.09
0,polygon,4,54470.945,15716.59
0,polygon,5,54470.945,15895.091
0,polygon,6,54406.035,16219.637
0,polygon,7,54406.035,16398.137
0,polygon,8,54373.582,16576.637
0,polygon,9,54357.355,16755.137
0,polygon,10,54324.9,16917.41
0,polygon,11,54227.535,17241.955
0,polygon,12,54211.31,17404.229
0,polygon,13,54146.4,17566.502
0,polygon,14,54065.26,17728.775
0,polygon,15,54000.355,17907.275
0,polygon,16,53951.67,18069.549
0,polygon,17,53886.76,18231.82
0,polygon,18,53838.082,18394.094
0,polygon,19,53756.945,18572.594
0,polygon,20,53708.26,18751.094
0,polygon,21,53675.81,18913.367
0,polygon,22,53627.125,19091.867
0,polygon,23,53578.445,19254.14
0,polygon,24,53529.76,19432.64
0,polygon,25,53481.082,19594.914
0,polygon,26,53464.85,19757.188
0,polygon,27,53448.625,19935.688
0,polygon,28,53464.85,20130.414
0,polygon,29,53481.082,20292.688
0,polygon,30,53529.76,20471.188
0,polygon,31,53562.22,20682.143
0,polygon,32,53562.22,21250.098
0,polygon,33,53627.125,21412.371
0,polygon,34,53756.945,21542.19
0,polygon,35,53902.992,21639.553
0,polygon,36,54081.492,21688.234
0,polygon,37,54276.22,21704.463
0,polygon,38,54876.63,21704.463
0,polygon,39,55453.543,21796.867
0,polygon,40,55823.164,21473.45
0,polygon,41,56054.176,20965.219
0,polygon,42,56285.19,20410.787
0,polygon,43,56747.215,19486.736
0,polygon,44,57024.43,18978.506
0,polygon,45,57301.65,18424.074
0,polygon,46,57625.066,17962.049
0,polygon,47,57809.875,17453.82
0,polygon,48,58087.094,16899.389
0,polygon,49,58410.51,16437.361
0,polygon,50,58918.74,15420.904
0,polygon,51,59149.754,14589.257
0,polygon,52,59380.766,13850.015
0,polygon,53,59473.17,13387.988
0,polygon,54,59611.777,12879.76
0,polygon,55,59704.184,12279.125
0,polygon,56,59750.387,11632.288
0,polygon,57,59842.793,10939.249
0,polygon,58,59935.2,10153.804
0,polygon,59,60027.6,9506.968
0,polygon,60,60073.805,8952.536
0,polygon,61,60166.21,8444.307
0,polygon,62,60258.617,7843.673
0,polygon,63,60397.223,7289.241
0,polygon,64,60443.426,6781.012
0,polygon,65,60628.24,5856.9595
0,polygon,66,60674.438,5302.528
0,polygon,67,60720.64,4794.2993
0,polygon,68,60766.844,4239.8677
0,polygon,69,60766.844,3731.6387
0,polygon,70,60813.047,3269.6123
0,polygon,71,59565.58,2576.5728
0,polygon,72,59103.55,2530.37
0,polygon,73,58687.727,2807.586
0,polygon,74,58410.51,3269.6123
0,polygon,75,58179.496,3777.8413
0,polygon,76,57948.484,4193.665
0,polygon,77,57671.27,4701.894
0,polygon,78,57486.457,5210.1226
0,polygon,79,57255.445,5718.3516
0,polygon,80,56747.215,6734.8096
0,polygon,81,56377.594,7751.2676
0,polygon,82,56192.785,8398.1045
0,polygon,83,56007.973,8952.536
0,polygon,84,55869.367,9553.17
0,polygon,85,55776.96,10107.602
0,polygon,86,55684.555,10569.628
0,polygon,87,55638.35,11124.06
0,polygon,88,55499.746,11586.086
0,polygon,89,55407.34,12602.544
0,polygon,90,55268.73,13156.976
0,polygon,91,55176.33,13619.001
0,polygon,92,54991.516,14127.23
0,polygon,93,54852.906,14589.257
1,polygon,0,10442.055,110846.84
1,polygon,1,10688.666,110822.19
1,polygon,2,10936.943,110884.664
1,polygon,3,11068.575,110897.83
1,polygon,4,11226.534,110871.5
1,polygon,5,11371.329,110937.32
1,polygon,6,11502.962,110976.81
1,polygon,7,11647.757,111003.13
1,polygon,8,11884.695,111134.766
1,polygon,9,12029.49,111187.42
1,polygon,10,12161.122,111226.91
1,polygon,11,12279.592,111292.73
1,polygon,12,12371.734,111398.03
1,polygon,13,12503.366,111437.52
1,polygon,14,12621.835,111503.336
1,polygon,15,12700.814,111621.805
1,polygon,16,12792.957,111727.11
1,polygon,17,12858.772,111845.58
1,polygon,18,12898.263,111977.21
1,polygon,19,12885.1,112122.01
1,polygon,20,12858.772,112266.805
1,polygon,21,12806.12,112398.44
1,polygon,22,12713.978,112516.91
1,polygon,23,12674.488,112661.7
1,polygon,24,12648.161,112806.49
1,polygon,25,12582.346,112924.96
1,polygon,26,12542.855,113082.92
1,polygon,27,12477.04,113201.39
1,polygon,28,12424.387,113346.19
1,polygon,29,12384.897,113490.984
1,polygon,30,12358.57,113662.1
1,polygon,31,12332.244,113793.734
1,polygon,32,12332.244,113951.695
1,polygon,33,12319.081,114083.33
1,polygon,34,12292.755,114214.96
1,polygon,35,12279.592,114346.59
1,polygon,36,12279.592,114965.266
1,polygon,37,12266.428,115123.22
1,polygon,38,12240.102,115254.85
1,polygon,39,12226.938,115412.81
1,polygon,40,12226.938,115557.61
1,polygon,41,12187.449,115702.41
1,polygon,42,12161.122,115860.36
1,polygon,43,12174.286,115991.99
1,polygon,44,12200.612,116136.79
1,polygon,45,12161.122,116268.42
1,polygon,46,12161.122,116413.22
1,polygon,47,12134.797,116550.984
