index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,7219.3213,100089.92
0,polygon,1,7078.884,100038.38
0,polygon,2,7007.339,100021.17
0,polygon,3,6557.5967,99908.734
0,polygon,4,6107.854,99496.48
0,polygon,5,5882.983,98934.3
0,polygon,6,5882.983,96798.016
0,polygon,7,6032.897,96010.97
0,polygon,8,6182.811,95598.7
0,polygon,9,6520.118,94699.22
0,polygon,10,6857.425,93874.695
0,polygon,11,7082.296,93200.08
0,polygon,12,7269.6885,92825.3
0,polygon,13,7532.038,92150.68
0,polygon,14,7869.345,91476.07
0,polygon,15,8469.002,90689.016
0,polygon,16,9331.008,89752.055
0,polygon,17,10342.929,88852.57
0,polygon,18,11354.849,88177.95
0,polygon,19,12029.462,87840.65
0,polygon,20,12704.076,87653.26
0,polygon,21,13303.732,87540.82
0,polygon,22,14203.217,87278.47
0,polygon,23,16002.187,86791.25
0,polygon,24,17876.113,86378.984
0,polygon,25,18438.291,86304.03
0,polygon,26,19037.947,86903.69
0,polygon,27,19525.168,87540.82
0,polygon,28,19899.955,87803.17
0,polygon,29,20349.697,88103.0
0,polygon,30,20911.875,88402.83
0,polygon,31,21174.225,88702.66
0,polygon,32,21549.01,88927.52
0,polygon,33,21923.795,89452.23
0,polygon,34,22186.145,90389.19
0,polygon,35,21811.36,91063.805
0,polygon,36,21436.574,91288.67
0,polygon,37,21136.746,91588.5
0,polygon,38,21061.79,92038.24
0,polygon,39,20911.875,92413.03
0,polygon,40,20799.44,92787.81
0,polygon,41,20574.568,93349.99
0,polygon,42,20199.783,93799.734
0,polygon,43,19899.955,94324.44
0,polygon,44,19712.56,94699.22
0,polygon,45,19402.836,94973.414
0,polygon,46,19156.225,95096.72
0,polygon,47,19057.58,95343.336
0,polygon,48,19057.58,95935.2
0,polygon,49,19106.902,96231.14
0,polygon,50,19106.902,96896.99
0,polygon,51,19254.87,97316.23
0,polygon,52,19353.514,97612.164
0,polygon,53,19501.48,97932.76
0,polygon,54,19624.787,98228.695
0,polygon,55,19945.383,98697.26
0,polygon,56,20118.012,98943.87
0,polygon,57,20265.979,99165.82
0,polygon,58,20635.896,99363.11
0,polygon,59,20907.17,99585.06
0,polygon,60,21227.766,99807.016
0,polygon,61,21400.395,100028.96
0,polygon,62,21597.684,100374.22
0,polygon,63,21745.652,100670.16
0,polygon,64,21868.957,100892.1
0,polygon,65,22090.908,101237.36
0,polygon,66,22338.13,101534.88
0,polygon,67,22600.48,101872.19
0,polygon,68,23050.223,102097.06
0,polygon,69,23462.486,102172.016
0,polygon,70,23874.75,102359.41
0,polygon,71,24249.535,102621.76
0,polygon,72,24549.363,102921.586
0,polygon,73,24174.578,103258.89
0,polygon,74,23200.137,103671.16
0,polygon,75,22000.824,104120.9
