index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,46482.04,124887.47
0,polygon,1,46632.33,124827.35
0,polygon,2,46797.645,124812.33
0,polygon,3,47098.22,124752.21
0,polygon,4,47233.477,124677.07
0,polygon,5,47473.934,124496.73
0,polygon,6,47624.223,124391.52
0,polygon,7,47834.625,124241.234
0,polygon,8,47984.91,124226.2
0,polygon,9,48240.4,124151.06
0,polygon,10,48390.688,124090.945
0,polygon,11,48616.117,123985.75
0,polygon,12,48766.406,123910.6
0,polygon,13,48916.69,123805.4
0,polygon,14,49021.895,123685.17
0,polygon,15,49142.12,123564.945
0,polygon,16,49307.438,123489.8
0,polygon,17,49517.84,123264.37
0,polygon,18,49668.13,122993.85
0,polygon,19,49788.36,122843.56
0,polygon,20,49923.617,122693.27
0,polygon,21,50058.875,122588.08
0,polygon,22,50179.105,122482.875
0,polygon,23,50299.336,122302.53
0,polygon,24,50419.562,122092.125
0,polygon,25,50660.023,121881.73
0,polygon,26,50795.28,121731.44
0,polygon,27,50840.367,121581.15
0,polygon,28,50855.4,121430.87
0,polygon,29,50915.51,121265.55
0,polygon,30,51020.71,121145.32
0,polygon,31,51201.06,121010.06
0,polygon,32,51336.316,120934.914
0,polygon,33,51501.633,120934.914
0,polygon,34,51697.004,120889.83
0,polygon,35,51922.438,120829.72
0,polygon,36,52102.78,120784.63
0,polygon,37,52238.04,120709.484
0,polygon,38,52403.355,120604.28
0,polygon,39,52538.613,120514.11
0,polygon,40,52688.9,120438.97
0,polygon,41,52761.207,120309.38
0,polygon,42,52809.97,120175.28
0,polygon,43,52858.734,120028.99
0,polygon,44,52846.543,119894.89
0,polygon,45,52761.207,119736.41
0,polygon,46,52688.062,119590.12
0,polygon,47,52566.152,119480.4
0,polygon,48,52456.434,119395.06
0,polygon,49,52334.523,119334.11
0,polygon,50,52224.805,119236.58
0,polygon,51,52127.277,119139.055
0,polygon,52,51834.695,118883.04
0,polygon,53,51737.168,118785.516
0,polygon,54,51639.637,118639.23
0,polygon,55,51651.83,118505.125
0,polygon,56,51583.31,118351.27
0,polygon,57,51491.95,118122.875
0,polygon,58,51400.59,117825.96
