index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,47762.84,112754.38
0,polygon,1,48464.996,112403.305
0,polygon,2,48886.293,111771.36
0,polygon,3,49307.586,111069.2
0,polygon,4,49588.45,110156.4
0,polygon,5,49658.668,109454.234
0,polygon,6,49658.668,108611.65
0,polygon,7,49338.535,107690.52
0,polygon,8,48698.277,106730.13
0,polygon,9,47631.184,106303.3
0,polygon,10,46350.668,105983.164
0,polygon,11,45070.152,105769.75
0,polygon,12,43789.64,105449.62
0,polygon,13,42722.543,105342.914
0,polygon,14,41442.03,104809.36
0,polygon,15,40374.934,104382.52
0,polygon,16,39307.84,104062.4
0,polygon,17,38240.746,103635.555
0,polygon,18,36960.23,103315.43
0,polygon,19,35893.137,102995.305
0,polygon,20,34826.04,102355.05
0,polygon,21,33758.945,102248.336
0,polygon,22,32691.85,102675.17
0,polygon,23,31518.045,103422.14
0,polygon,24,30664.37,104275.81
0,polygon,25,29810.693,105022.78
0,polygon,26,29170.436,105983.164
0,polygon,27,29063.727,107156.97
0,polygon,28,29063.727,108544.195
0,polygon,29,29170.436,109718.0
0,polygon,30,29597.273,110785.09
0,polygon,31,29920.691,111400.03
0,polygon,32,30244.11,111954.47
0,polygon,33,30798.541,113340.55
0,polygon,34,31121.96,113710.164
0,polygon,35,31491.582,114125.99
0,polygon,36,31953.607,114541.81
0,polygon,37,32277.025,114911.44
0,polygon,38,32692.85,115281.055
0,polygon,39,33062.47,115650.68
0,polygon,40,33524.496,115927.89
0,polygon,41,33847.914,116297.516
0,polygon,42,34263.74,116574.73
0,polygon,43,34725.766,116805.74
0,polygon,44,35187.793,117082.96
0,polygon,45,36111.844,117452.58
0,polygon,46,36820.027,117270.95
0,polygon,47,37503.52,116416.59
0,polygon,48,37845.26,115619.19
0,polygon,49,38187.008,114480.04
0,polygon,50,38756.582,113568.72
1,polygon,0,48128.54,112486.8
1,polygon,1,47712.715,112810.22
1,polygon,2,47204.484,113133.64
1,polygon,3,46788.66,113457.055
1,polygon,4,46280.434,113826.68
1,polygon,5,45726.0,114011.484
1,polygon,6,45171.57,114242.5
1,polygon,7,44663.34,114565.92
1,polygon,8,44201.312,114935.54
1,polygon,9,43739.29,114981.74
1,polygon,10,43323.465,115258.96
1,polygon,11,42815.234,115443.766
1,polygon,12,41983.586,115905.8
1,polygon,13,41521.562,116044.41
1,polygon,14,41059.535,116090.6
1,polygon,15,40551.305,116229.21
1,polygon,16,39996.875,116275.414
1,polygon,17,39488.645,116460.23
1,polygon,18,39072.82,116737.445
1,polygon,19,38564.594,116829.84
1,polygon,20,38056.363,116829.84
1,polygon,21,37594.336,117107.06
1,polygon,22,37132.312,117153.266
1,polygon,23,36670.285,117338.08
1,polygon,24,36346.867,116922.25
1,polygon,25,36531.676,115767.19
1,polygon,26,36855.094,114796.93
1,polygon,27,36947.5,114334.91
1,polygon,28,37086.11,113688.07
1,polygon,29,37409.527,112902.625
1,polygon,30,38194.973,111839.96
1,polygon,31,38795.605,111331.734
1,polygon,32,39303.836,110962.12
2,polygon,0,27898.195,14441.981
2,polygon,1,27528.574,14765.4
2,polygon,2,27066.549,14811.603
2,polygon,3,26558.32,14950.211
2,polygon,4,26050.092,15042.616
2,polygon,5,25541.861,15227.426
2,polygon,6,25079.836,15366.034
2,polygon,7,24617.809,15412.236
2,polygon,8,23693.758,15597.047
2,polygon,9,23235.33,15505.842
2,polygon,10,22870.508,15566.6455
2,polygon,11,22505.688,15718.654
2,polygon,12,22110.465,15840.261
2,polygon,13,21715.242,15870.662
2,polygon,14,21411.225,16022.671
2,polygon,15,21076.807,16205.082
2,polygon,16,20739.988,16450.695
2,polygon,17,20231.76,16774.115
2,polygon,18,19815.936,17051.33
2,polygon,19,19446.314,17420.951
2,polygon,20,19076.693,17836.775
2,polygon,21,18833.357,18475.156
2,polygon,22,18776.4,19133.54
2,polygon,23,18603.28,20085.703
2,polygon,24,19041.926,20743.674
2,polygon,25,19365.344,21113.295
2,polygon,26,19734.965,21482.914
2,polygon,27,20058.383,21852.535
2,polygon,28,20520.41,22268.36
2,polygon,29,20890.031,22591.777
2,polygon,30,21305.854,22822.791
2,polygon,31,21721.678,23100.006
2,polygon,32,22183.705,23238.615
2,polygon,33,22876.744,23469.627
2,polygon,34,23292.568,23700.64
2,polygon,35,23847.0,23931.654
