index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,-8192.849,78095.06
0,polygon,1,-5247.5186,75149.734
0,polygon,2,-2596.7222,73088.0
0,polygon,3,348.60736,70437.2
0,polygon,4,4766.6016,67197.34
0,polygon,5,7711.931,66019.21
0,polygon,6,11835.393,64841.08
0,polygon,7,15369.788,63368.414
0,polygon,8,18315.117,62190.28
0,polygon,9,22733.111,59539.484
0,polygon,10,26267.508,57477.754
0,polygon,11,29801.902,56888.688
0,polygon,12,35103.496,56299.62
0,polygon,13,47473.88,56299.62
0,polygon,14,53364.54,55710.555
0,polygon,15,65440.39,55710.555
0,polygon,16,68974.79,56594.156
0,polygon,17,73098.25,59834.016
0,polygon,18,81639.7,69553.6
0,polygon,19,86057.695,76916.93
0,polygon,20,87530.36,80745.86
0,polygon,21,83701.43,84869.32
0,polygon,22,80461.57,87520.12
0,polygon,23,74865.445,94294.375
0,polygon,24,71625.586,101068.63
0,polygon,25,69858.38,104603.02
0,polygon,26,66618.52,106370.23
0,polygon,27,63967.727,108137.42
0,polygon,28,57488.0,111082.75
0,polygon,29,51302.81,113733.55
0,polygon,30,46295.75,115795.28
0,polygon,31,40699.62,117267.945
0,polygon,32,35103.496,117857.01
0,polygon,33,25089.375,117562.48
0,polygon,34,20671.38,116973.41
0,polygon,35,13308.058,114617.15
0,polygon,36,6828.3325,111671.82
0,polygon,37,937.6733,107842.89
0,polygon,38,-2596.7222,105486.625
0,polygon,39,-6131.1177,103424.89
0,polygon,40,-9076.447,101068.63
0,polygon,41,-11432.711,97828.766
0,polygon,42,-13199.908,93116.24
0,polygon,43,-12905.376,89287.31
0,polygon,44,-10254.579,86931.05
0,polygon,45,-9076.447,83985.72
