index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,50711.69,33431.73
0,polygon,1,50859.09,33302.758
0,polygon,2,50951.215,33063.234
0,polygon,3,51190.74,32713.16
0,polygon,4,51374.99,32547.336
0,polygon,5,51522.387,32399.936
0,polygon,6,51669.785,32270.96
0,polygon,7,51830.055,32129.121
0,polygon,8,52057.19,32083.695
0,polygon,9,52284.332,32129.121
0,polygon,10,52560.46,32158.922
0,polygon,11,52524.09,32374.328
0,polygon,12,52693.82,32568.307
0,polygon,13,52778.688,32677.422
0,polygon,14,52875.676,32786.535
0,polygon,15,52948.42,32907.773
0,polygon,16,53033.285,33053.258
0,polygon,17,53106.027,33162.37
0,polygon,18,53215.145,33259.363
0,polygon,19,53348.504,33404.848
0,polygon,20,53421.246,33513.96
0,polygon,21,53542.484,33610.95
0,polygon,22,53627.35,33707.94
0,polygon,23,53712.22,33829.18
0,polygon,24,53833.453,33926.168
0,polygon,25,53930.445,34035.28
0,polygon,26,54027.434,34156.52
0,polygon,27,54124.426,34241.387
0,polygon,28,54269.91,34326.254
0,polygon,29,54391.15,34411.117
0,polygon,30,54451.766,34532.355
0,polygon,31,54463.89,34677.84
0,polygon,32,54621.5,34811.203
0,polygon,33,54706.363,34908.19
0,polygon,34,54857.766,35069.258
0,polygon,35,54602.44,35452.246
0,polygon,36,54347.117,35920.34
1,polygon,0,54816.926,35096.46
1,polygon,1,54936.484,35216.02
1,polygon,2,54984.31,35347.53
1,polygon,3,55115.82,35455.133
1,polygon,4,55235.38,35538.824
1,polygon,5,55342.98,35634.473
1,polygon,6,55534.273,35825.76
1,polygon,7,55617.965,35921.41
1,polygon,8,55749.48,35993.145
1,polygon,9,55880.992,36088.79
1,polygon,10,55988.594,36184.438
1,polygon,11,56072.285,36303.996
1,polygon,12,56191.844,36471.375
1,polygon,13,56287.49,36626.8
1,polygon,14,56419.004,36746.36
1,polygon,15,56586.383,36830.05
1,polygon,16,56693.99,36889.83
1,polygon,17,56825.5,36985.477
1,polygon,18,56945.06,37081.12
1,polygon,19,57172.22,37260.457
1,polygon,20,57363.51,37439.797
1,polygon,21,57506.98,37499.574
1,polygon,22,57602.625,37607.176
1,polygon,23,57781.965,37666.957
1,polygon,24,58021.08,37798.47
1,polygon,25,58164.547,37894.117
1,polygon,26,58308.02,38001.72
1,polygon,27,58427.574,38109.32
1,polygon,28,58571.047,38193.01
1,polygon,29,58678.65,38300.613
1,polygon,30,58738.426,38408.215
1,polygon,31,58869.94,38444.082
1,polygon,32,58989.5,38467.992
1,polygon,33,59109.055,38503.86
1,polygon,34,59252.527,38599.508
1,polygon,35,59407.95,38671.242
1,polygon,36,59670.977,38766.887
1,polygon,37,59790.535,38814.71
1,polygon,38,59910.094,38850.58
1,polygon,39,60005.742,38934.27
1,polygon,40,60149.21,38934.27
1,polygon,41,60268.77,38970.137
1,polygon,42,60388.324,39017.96
1,polygon,43,60555.707,39101.65
1,polygon,44,60699.176,39161.43
1,polygon,45,60842.645,39185.34
1,polygon,46,61010.027,39185.34
