index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,49397.543,29145.03
0,polygon,1,49218.68,29472.95
0,polygon,2,49039.812,29741.248
0,polygon,3,48950.38,30158.602
0,polygon,4,48920.57,30456.71
0,polygon,5,48801.324,30874.064
0,polygon,6,48711.89,31172.174
0,polygon,7,48682.082,31529.904
0,polygon,8,48682.082,31857.826
0,polygon,9,48592.65,32155.936
0,polygon,10,48562.836,32513.666
0,polygon,11,48383.973,32811.777
0,polygon,12,47966.617,33020.453
0,polygon,13,47668.508,33258.94
0,polygon,14,47459.832,33497.426
0,polygon,15,47191.535,33676.293
0,polygon,16,46893.426,33795.535
0,polygon,17,46505.883,33974.402
0,polygon,18,46207.773,34153.27
0,polygon,19,45850.043,34391.754
0,polygon,20,45492.31,34570.62
0,polygon,21,45224.01,34749.49
0,polygon,22,44896.09,34898.543
0,polygon,23,44508.547,35077.406
0,polygon,24,44150.816,35107.22
0,polygon,25,43822.9,35166.84
0,polygon,26,43435.355,35166.84
0,polygon,27,43047.812,35137.03
0,polygon,28,42690.082,35107.22
0,polygon,29,42362.16,35077.406
0,polygon,30,41974.617,34987.977
0,polygon,31,41676.508,34928.35
0,polygon,32,41318.777,34719.676
0,polygon,33,41020.668,34540.81
0,polygon,34,40692.746,34361.945
0,polygon,35,40394.637,34183.08
0,polygon,36,40096.527,34063.836
0,polygon,37,39768.61,33944.59
0,polygon,38,39410.88,33765.727
0,polygon,39,39142.58,33616.67
0,polygon,40,38904.09,33348.37
0,polygon,41,38665.6,33139.695
0,polygon,42,38337.684,32871.4
0,polygon,43,38069.383,32692.531
0,polygon,44,37801.086,32424.234
0,polygon,45,37473.164,32155.936
0,polygon,46,37234.68,31947.258
0,polygon,47,36996.19,31708.771
0,polygon,48,36757.703,31500.094
0,polygon,49,36519.215,31261.607
0,polygon,50,36340.35,30963.498
0,polygon,51,36161.484,30695.2
0,polygon,52,35893.188,30367.277
0,polygon,53,35684.508,30039.357
0,polygon,54,35446.02,29741.248
0,polygon,55,35237.344,29443.139
0,polygon,56,35088.29,29145.03
0,polygon,57,34939.234,28787.299
0,polygon,58,34879.613,28429.566
0,polygon,59,34849.8,28071.836
0,polygon,60,34849.8,27654.482
0,polygon,61,34939.234,27356.373
0,polygon,62,34969.047,26939.02
0,polygon,63,35028.668,26611.1
