index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,3887.086,23165.65
0,polygon,1,4220.538,23165.65
0,polygon,2,4553.99,23105.021
0,polygon,3,4796.501,22892.826
0,polygon,4,5129.953,22771.57
0,polygon,5,5433.0913,22650.314
0,polygon,6,5675.602,22407.805
0,polygon,7,5736.2295,22104.666
0,polygon,8,5887.799,21831.842
0,polygon,9,6039.368,21468.076
0,polygon,10,6312.1924,21225.564
0,polygon,11,6615.331,21043.682
0,polygon,12,6888.1553,20801.172
0,polygon,13,7160.98,20619.287
0,polygon,14,7464.118,20407.092
0,polygon,15,7736.943,20073.639
0,polygon,16,7888.5117,19770.5
0,polygon,17,8100.709,19467.361
0,polygon,18,8221.964,19164.225
0,polygon,19,8373.533,18861.086
0,polygon,20,8585.73,18557.947
0,polygon,21,8797.927,18224.494
0,polygon,22,8919.183,17921.357
0,polygon,23,9192.007,17618.219
0,polygon,24,9434.518,17375.707
0,polygon,25,9677.028,17163.512
0,polygon,26,9828.598,16860.373
0,polygon,27,9646.714,16435.979
0,polygon,28,9313.262,16223.782
0,polygon,29,8919.183,16132.841
0,polygon,30,8464.475,16102.526
0,polygon,31,7342.863,16102.526
0,polygon,32,6585.017,16041.899
0,polygon,33,5796.8574,15890.33
0,polygon,34,3796.1443,15526.563
1,polygon,0,64124.26,80113.01
1,polygon,1,63760.496,79961.44
1,polygon,2,63487.67,79749.24
1,polygon,3,63214.844,79597.67
1,polygon,4,63184.53,79264.22
1,polygon,5,63305.785,78961.086
1,polygon,6,63487.67,78688.26
1,polygon,7,63548.297,78294.18
1,polygon,8,63548.297,77930.414
1,polygon,9,63578.613,77596.96
1,polygon,10,63699.867,77263.51
1,polygon,11,63790.81,76899.74
1,polygon,12,64215.203,76535.98
1,polygon,13,64518.34,76232.836
1,polygon,14,64730.54,75747.82
1,polygon,15,64760.85,75293.11
1,polygon,16,64760.85,74959.66
1,polygon,17,64730.54,74626.2
1,polygon,18,64730.54,74292.75
1,polygon,19,64760.85,73989.62
1,polygon,20,64882.105,73686.48
1,polygon,21,65033.676,73353.02
1,polygon,22,65154.93,73019.57
1,polygon,23,65276.188,72716.44
1,polygon,24,65579.33,72110.16
1,polygon,25,65761.21,71655.45
1,polygon,26,65912.77,71261.37
1,polygon,27,66034.03,70958.234
1,polygon,28,66185.6,70533.836
1,polygon,29,66306.86,70139.76
1,polygon,30,66367.484,69806.305
1,polygon,31,66549.37,69381.914
1,polygon,32,66973.76,69048.46
1,polygon,33,67307.21,68836.266
1,polygon,34,67670.98,68654.38
1,polygon,35,68065.06,68472.5
1,polygon,36,68428.83,68320.93
1,polygon,37,68792.59,68229.984
1,polygon,38,69156.36,68108.734
1,polygon,39,69489.81,68745.32
1,polygon,40,69732.32,69412.23
1,polygon,41,70096.086,70442.9
1,polygon,42,70277.97,71140.12
1,polygon,43,70338.59,72261.73
1,polygon,44,70277.97,73080.2
1,polygon,45,70065.77,74504.95
1,polygon,46,69489.81,75747.82
1,polygon,47,69004.79,76354.09
1,polygon,48,68428.83,77081.625
1,polygon,49,68065.06,77506.02
1,polygon,50,67731.61,77869.79
1,polygon,51,67519.41,78142.61
1,polygon,52,67398.16,78506.375
1,polygon,53,67367.84,78900.45
1,polygon,54,67367.84,79718.93
1,polygon,55,67246.586,80082.695
1,polygon,56,67095.016,80416.15
