index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,17372.02,13059.29
0,polygon,1,16943.623,13316.328
0,polygon,2,16558.066,13659.045
0,polygon,3,16086.831,14001.762
0,polygon,4,15744.114,14301.639
0,polygon,5,15358.558,14558.677
0,polygon,6,14973.001,14901.394
0,polygon,7,14287.567,15501.147
0,polygon,8,13944.851,15843.865
0,polygon,9,13602.134,16143.742
0,polygon,10,13345.096,16529.299
0,polygon,11,13130.898,16914.855
0,polygon,12,12916.7,17386.09
0,polygon,13,12745.342,17900.166
0,polygon,14,12616.823,18328.562
0,polygon,15,12445.465,18756.957
0,polygon,16,12316.945,19313.873
0,polygon,17,12145.587,19913.627
0,polygon,18,12059.908,20342.023
0,polygon,19,11888.55,20856.1
0,polygon,20,11717.191,21284.494
0,polygon,21,11460.153,21712.89
0,polygon,22,11203.116,22184.127
0,polygon,23,11074.597,22612.523
0,polygon,24,10903.238,23126.598
0,polygon,25,10731.88,23597.834
0,polygon,26,10560.521,24111.908
0,polygon,27,10432.003,24625.984
0,polygon,28,10346.324,25182.898
0,polygon,29,10174.965,25696.975
0,polygon,30,10046.446,26125.371
0,polygon,31,9746.569,26767.965
0,polygon,32,9618.051,27196.361
0,polygon,33,9189.654,28310.19
0,polygon,34,8675.579,29723.896
0,polygon,35,8461.381,30109.453
0,polygon,36,8247.183,30537.85
0,polygon,37,8161.504,30966.246
0,polygon,38,8161.504,31437.48
0,polygon,39,8375.702,31865.877
0,polygon,40,8804.098,31908.717
0,polygon,41,9318.173,32122.916
0,polygon,42,10089.286,32551.31
0,polygon,43,10517.683,32679.83
0,polygon,44,10603.361,32208.594
0,polygon,45,10603.361,31737.36
0,polygon,46,10731.88,31308.963
0,polygon,47,11074.597,30794.887
0,polygon,48,11331.635,30280.812
0,polygon,49,11502.993,29766.736
0,polygon,50,12102.748,28738.586
0,polygon,51,12445.465,28224.512
0,polygon,52,12745.342,27710.436
0,polygon,53,13002.379,27324.879
0,polygon,54,13259.417,26896.482
0,polygon,55,13944.851,26039.691
0,polygon,56,14287.567,25739.814
0,polygon,57,14630.284,25268.578
0,polygon,58,14887.322,24883.021
0,polygon,59,15101.52,24454.625
0,polygon,60,15315.718,24069.068
0,polygon,61,15572.756,23640.674
0,polygon,62,15915.473,22783.88
0,polygon,63,16086.831,22312.645
0,polygon,64,16258.189,21884.25
0,polygon,65,16600.906,20856.1
0,polygon,66,16943.623,19999.307
0,polygon,67,17200.66,19570.91
0,polygon,68,17446.877,19108.148
0,polygon,69,17593.338,18693.176
0,polygon,70,17800.416,18285.723
0,polygon,71,18400.17,17600.29
0,polygon,72,18740.615,17240.77
0,polygon,73,18704.0,16679.336
0,polygon,74,18614.367,16229.421
0,polygon,75,18571.527,15758.186
0,polygon,76,18485.85,15329.789
0,polygon,77,18314.49,14901.394
0,polygon,78,18271.65,14472.997
0,polygon,79,18143.133,14044.602
0,polygon,80,17971.773,13616.205
1,polygon,0,55888.543,83278.2
1,polygon,1,55962.74,83463.69
1,polygon,2,56111.125,83612.08
1,polygon,3,56222.414,83779.01
1,polygon,4,56259.51,83964.5
1,polygon,5,56315.16,84149.984
1,polygon,6,56352.254,84335.47
1,polygon,7,56463.547,84502.41
1,polygon,8,56556.29,84669.34
1,polygon,9,56630.484,84854.83
1,polygon,10,56778.87,85003.21
1,polygon,11,56908.71,85170.15
1,polygon,12,57075.65,85281.44
1,polygon,13,57279.68,85337.086
1,polygon,14,57465.164,85392.734
1,polygon,15,57632.1,85485.48
1,polygon,16,57817.586,85559.67
1,polygon,17,58021.62,85615.31
1,polygon,18,58207.105,85670.96
1,polygon,19,58411.14,85708.055
1,polygon,20,58596.625,85763.7
1,polygon,21,58782.11,85726.6
1,polygon,22,58967.594,85670.96
1,polygon,23,59134.53,85559.67
1,polygon,24,59264.37,85355.63
1,polygon,25,59412.758,85188.695
1,polygon,26,59598.246,84966.12
1,polygon,27,59746.633,84817.73
1,polygon,28,59857.92,84632.24
1,polygon,29,59913.57,84446.76
1,polygon,30,59932.11,83805.164
1,polygon,31,59932.11,82372.85
1,polygon,32,60062.32,81721.805
1,polygon,33,60192.53,80940.55
1,polygon,34,60322.74,80289.5
1,polygon,35,60062.32,79638.445
1,polygon,36,60062.32,78922.3
1,polygon,37,59997.215,78206.14
1,polygon,38,59932.11,77555.09
1,polygon,39,59867.004,76708.73
1,polygon,40,59867.004,72802.43
1,polygon,41,59736.797,72151.38
1,polygon,42,59736.797,71305.02
1,polygon,43,59671.69,70523.76
1,polygon,44,59671.69,69742.5
1,polygon,45,59541.48,68310.195
1,polygon,46,59281.062,66747.68
1,polygon,47,59085.746,66096.625
1,polygon,48,58825.33,65315.367
1,polygon,49,58825.33,63101.8
1,polygon,50,58434.7,62515.86
1,polygon,51,57848.754,62190.332
1,polygon,52,57132.6,62190.332
1,polygon,53,56481.55,62060.125
1,polygon,54,55700.293,62646.066
1,polygon,55,55374.766,63557.535
1,polygon,56,55309.664,64794.53
1,polygon,57,55244.56,65575.79
1,polygon,58,55114.348,66357.05
1,polygon,59,55114.348,69612.29
1,polygon,60,55049.242,70523.76
1,polygon,61,54984.137,71305.02
1,polygon,62,54853.93,72151.38
1,polygon,63,54723.72,73062.85
1,polygon,64,54528.402,73909.22
1,polygon,65,54333.09,74690.48
1,polygon,66,54267.984,75406.625
1,polygon,67,54267.984,77815.51
1,polygon,68,54199.39,78327.46
1,polygon,69,54153.656,78556.125
1,polygon,70,54130.793,78784.79
1,polygon,71,54107.926,79082.05
1,polygon,72,54039.33,79310.71
1,polygon,73,53993.598,79526.414
1,polygon,74,53937.953,79711.9
1,polygon,75,53919.402,79897.39
1,polygon,76,53882.305,80082.875
1,polygon,77,53900.855,80268.36
1,polygon,78,54086.34,80398.195
1,polygon,79,54197.63,80565.13
1,polygon,80,54308.92,80750.62
1,polygon,81,54383.117,80936.1
1,polygon,82,54587.15,81065.945
1,polygon,83,54754.086,81158.69
1,polygon,84,54846.83,81325.625
1,polygon,85,54995.215,81455.46
1,polygon,86,55125.055,81622.4
1,polygon,87,55217.797,81789.336
1,polygon,88,55347.637,81956.27
1,polygon,89,55421.832,82160.305
1,polygon,90,55496.027,82345.79
