index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,52298.18,32077.512
0,polygon,1,52214.418,32004.219
0,polygon,2,52046.895,31868.107
0,polygon,3,51921.254,31658.703
0,polygon,4,51816.55,31428.357
0,polygon,5,51732.79,31323.656
0,polygon,6,51680.438,31187.543
0,polygon,7,51607.15,31051.432
0,polygon,8,51450.094,30936.258
0,polygon,9,51345.39,30789.676
0,polygon,10,51272.1,30695.443
0,polygon,11,51188.34,30622.152
0,polygon,12,51062.695,30538.39
0,polygon,13,50916.113,30412.748
0,polygon,14,50780.0,30318.518
0,polygon,15,50664.83,30224.285
0,polygon,16,50518.246,30119.582
0,polygon,17,50424.01,29993.94
0,polygon,18,50340.25,29753.125
0,polygon,19,50256.492,29575.133
0,polygon,20,50162.258,29459.959
0,polygon,21,50068.027,29407.61
0,polygon,22,49942.383,29344.787
0,polygon,23,49795.8,29281.967
0,polygon,24,49691.098,29261.025
0,polygon,25,49544.516,29198.205
0,polygon,26,49408.402,29407.61
0,polygon,27,49356.05,29512.31
0,polygon,28,49293.23,29606.543
0,polygon,29,49188.53,29700.775
0,polygon,30,49094.297,29805.477
0,polygon,31,49010.535,29910.178
0,polygon,32,48958.184,30035.82
0,polygon,33,48905.832,30171.934
0,polygon,34,48853.484,30339.457
0,polygon,35,48853.484,30454.629
0,polygon,36,48884.895,30559.332
0,polygon,37,48874.42,30684.975
0,polygon,38,48843.01,30789.676
0,polygon,39,48801.133,30904.848
0,polygon,40,48748.78,31093.312
0,polygon,41,48717.37,31229.424
0,polygon,42,48685.96,31344.596
0,polygon,43,48685.96,31522.59
0,polygon,44,48665.02,31669.174
0,polygon,45,48665.02,31983.28
0,polygon,46,48644.08,32087.98
0,polygon,47,48581.258,32224.094
0,polygon,48,48549.848,32339.266
0,polygon,49,48497.496,32454.438
0,polygon,50,48413.734,32548.67
0,polygon,51,48361.383,32663.842
0,polygon,52,48329.973,32789.484
0,polygon,53,48424.203,32852.305
0,polygon,54,48570.79,32883.715
0,polygon,55,48665.02,32957.008
0,polygon,56,48759.25,33040.77
