index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,44369.688,24134.559
0,polygon,1,44810.754,23840.514
0,polygon,2,45435.598,23840.514
0,polygon,3,45839.91,23877.27
0,polygon,4,46097.2,23583.225
0,polygon,5,46280.977,23252.426
0,polygon,6,46464.754,22884.87
0,polygon,7,46758.8,22590.826
0,polygon,8,47163.11,22333.537
0,polygon,9,47420.4,21929.225
0,polygon,10,47751.2,21745.447
0,polygon,11,48155.51,21524.914
0,polygon,12,48412.8,21194.113
0,polygon,13,48633.332,20863.314
0,polygon,14,48927.375,20532.514
0,polygon,15,49221.42,20275.225
0,polygon,16,49515.465,19870.914
0,polygon,17,49662.49,19466.604
0,polygon,18,49736.0,19062.291
0,polygon,19,50030.043,18694.736
0,polygon,20,50324.09,18290.424
0,polygon,21,50397.598,17849.357
0,polygon,22,50360.844,17408.291
0,polygon,23,50287.332,17003.98
0,polygon,24,50287.332,16599.668
0,polygon,25,49883.023,16195.357
0,polygon,26,49625.734,15901.313
0,polygon,27,49294.934,15607.269
0,polygon,28,48927.375,14798.646
0,polygon,29,48633.332,14394.335
0,polygon,30,48339.29,14137.046
0,polygon,31,47971.73,13916.513
0,polygon,32,47640.934,13659.224
0,polygon,33,47383.645,13254.913
0,polygon,34,47126.355,12924.112
0,polygon,35,46869.066,12556.558
0,polygon,36,46648.53,12225.757
0,polygon,37,46354.49,11858.201
0,polygon,38,45986.934,11637.668
0,polygon,39,45619.375,11343.624
0,polygon,40,45215.066,11159.846
0,polygon,41,44847.508,10902.557
0,polygon,42,44259.42,10608.513
0,polygon,43,43891.863,10535.001
0,polygon,44,43487.555,10571.757
0,polygon,45,42201.11,10571.757
0,polygon,46,41760.043,10608.513
0,polygon,47,41355.73,10718.779
0,polygon,48,40951.42,10755.534
0,polygon,49,40547.11,10755.534
0,polygon,50,40179.555,10829.046
0,polygon,51,39775.242,10939.3125
0,polygon,52,39407.688,11086.335
0,polygon,53,38746.086,11453.891
0,polygon,54,38341.773,11637.668
0,polygon,55,38010.977,11858.201
0,polygon,56,37606.664,12115.49
0,polygon,57,37275.863,12299.269
0,polygon,58,36908.31,12483.046
0,polygon,59,36577.508,12666.824
0,polygon,60,36320.22,12960.868
0,polygon,61,36136.44,13291.668
0,polygon,62,35879.152,13585.713
0,polygon,63,35585.11,13843.002
0,polygon,64,35254.31,14137.046
0,polygon,65,34960.266,14467.847
0,polygon,66,34776.484,14872.157
0,polygon,67,34666.22,15239.713
0,polygon,68,34482.44,15570.513
0,polygon,69,34335.418,15974.824
0,polygon,70,34298.664,16342.38
0,polygon,71,34519.195,17077.49
0,polygon,72,34519.195,17518.559
0,polygon,73,34335.418,17922.87
0,polygon,74,34298.664,18327.18
