index,shape-type,vertex-index,axis-0,axis-1
0,rectangle,0,-25555.203,-28690.47
0,rectangle,1,-25555.203,48241.36
0,rectangle,2,100147.68,48241.36
0,rectangle,3,100147.68,-28690.47
1,rectangle,0,96270.49,39262.56
1,rectangle,1,96270.49,39772.715
1,rectangle,2,96780.66,39772.715
1,rectangle,3,96780.66,39262.56
2,rectangle,0,138375.89,1186.1576
2,rectangle,1,138375.89,1696.3154
2,rectangle,2,138886.06,1696.3154
2,rectangle,3,138886.06,1186.1576
3,rectangle,0,92819.88,52308.242
3,rectangle,1,92819.88,52818.402
3,rectangle,2,93330.04,52818.402
3,rectangle,3,93330.04,52308.242
