index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,66254.28,12086.626
0,polygon,1,66470.04,11840.049
0,polygon,2,66716.62,11624.294
0,polygon,3,66870.73,11346.895
0,polygon,4,67209.766,11285.251
0,polygon,5,67517.99,11346.895
0,polygon,6,67826.21,11316.073
0,polygon,7,68134.43,11254.429
0,polygon,8,68473.48,11254.429
0,polygon,9,68843.34,11131.14
0,polygon,10,69583.07,11131.14
0,polygon,11,69922.12,10977.029
0,polygon,12,70199.516,10730.452
0,polygon,13,70507.734,10514.697
0,polygon,14,70785.14,10360.586
0,polygon,15,71093.36,10175.653
0,polygon,16,71432.4,10052.365
0,polygon,17,71802.266,9929.076
0,polygon,18,72141.31,9929.076
0,polygon,19,72480.35,9744.144
0,polygon,20,72788.58,9559.211
0,polygon,21,72973.51,9250.989
0,polygon,22,73250.91,9035.234
0,polygon,23,73466.664,8788.657
0,polygon,24,73713.24,8542.08
0,polygon,25,74052.28,8511.258
0,polygon,26,74268.04,8264.681
0,polygon,27,74514.62,7956.459
0,polygon,28,74853.66,7956.459
0,polygon,29,75131.06,7740.704
0,polygon,30,75408.46,7494.127
0,polygon,31,75685.86,7278.3716
0,polygon,32,75685.86,7617.4155
0,polygon,33,75562.57,7925.6367
0,polygon,34,75315.99,8172.214
0,polygon,35,75069.414,8387.969
0,polygon,36,74792.016,8542.08
0,polygon,37,74545.44,8757.835
0,polygon,38,74268.04,8911.945
0,polygon,39,74237.22,9250.989
0,polygon,40,74052.28,9559.211
0,polygon,41,73682.42,10114.009
0,polygon,42,73435.84,10453.053
0,polygon,43,73220.086,10730.452
0,polygon,44,73004.33,10977.029
0,polygon,45,72788.58,11254.429
0,polygon,46,72850.22,11593.472
0,polygon,47,73035.16,11963.338
0,polygon,48,73158.445,12302.382
0,polygon,49,73374.195,12579.78
0,polygon,50,73651.59,12764.714
0,polygon,51,73990.64,12918.824
0,polygon,52,74391.33,13165.401
0,polygon,53,75007.77,13411.979
0,polygon,54,75346.81,13689.378
0,polygon,55,75685.86,13843.488
0,polygon,56,76363.945,14090.065
0,polygon,57,76672.164,14120.888
0,polygon,58,76980.39,14182.532
0,polygon,59,77257.79,14336.643
0,polygon,60,78336.56,14336.643
0,polygon,61,78644.78,14398.287
0,polygon,62,78983.83,14429.109
0,polygon,63,79322.875,14429.109
0,polygon,64,79661.914,14336.643
0,polygon,65,80031.78,14182.532
0,polygon,66,80432.47,14059.244
0,polygon,67,80771.516,13905.133
0,polygon,68,81141.375,13781.845
0,polygon,69,81511.24,13689.378
0,polygon,70,81788.64,13504.445
0,polygon,71,81973.58,13196.224
0,polygon,72,82250.98,12980.469
0,polygon,73,82528.375,12703.069
0,polygon,74,82620.84,12394.848
0,polygon,75,82898.24,12117.448
0,polygon,76,83144.82,12364.025
0,polygon,77,83206.46,12672.247
0,polygon,78,83113.99,13042.113
0,polygon,79,82867.414,13288.69
0,polygon,80,82559.195,13442.801
0,polygon,81,82312.62,13658.556
0,polygon,82,82035.22,13812.667
0,polygon,83,81696.18,14028.422
0,polygon,84,81018.086,14398.287
0,polygon,85,80709.87,14521.576
0,polygon,86,80401.65,14675.687
0,polygon,87,80155.07,14922.264
0,polygon,88,79970.13,15199.663
0,polygon,89,79970.13,15538.707
0,polygon,90,80155.07,16155.149
0,polygon,91,80247.54,16525.016
0,polygon,92,80432.47,16802.414
0,polygon,93,80679.05,17018.17
0,polygon,94,81233.84,17449.68
0,polygon,95,81542.06,17727.078
0,polygon,96,81788.64,18004.479
0,polygon,97,82066.04,18189.412
0,polygon,98,82312.62,18405.166
0,polygon,99,82528.375,18682.566
0,polygon,100,82682.484,18990.787
0,polygon,101,82867.414,19299.008
0,polygon,102,82898.24,19607.23
0,polygon,103,82744.13,19915.451
0,polygon,104,82405.086,19946.273
0,polygon,105,82158.51,19730.518
0,polygon,106,82035.22,19422.297
0,polygon,107,81973.58,19083.254
0,polygon,108,81881.11,18775.031
0,polygon,109,81542.06,18682.566
0,polygon,110,81295.49,18066.123
0,polygon,111,81141.375,17757.9
0,polygon,112,80771.516,17757.9
0,polygon,113,80494.11,17542.146
0,polygon,114,80247.54,17233.924
0,polygon,115,80031.78,16987.348
0,polygon,116,79785.2,16648.305
0,polygon,117,79538.625,16401.727
0,polygon,118,79230.41,16309.261
0,polygon,119,78552.32,16309.261
0,polygon,120,78213.27,16155.149
0,polygon,121,77935.875,15939.395
0,polygon,122,77627.66,15877.75
0,polygon,123,77350.25,15723.64
0,polygon,124,76980.39,15600.351
0,polygon,125,76610.52,15538.707
0,polygon,126,76302.305,15600.351
0,polygon,127,75963.26,15692.817
0,polygon,128,75624.21,15692.817
0,polygon,129,75315.99,15785.284
0,polygon,130,74976.945,15816.106
0,polygon,131,74637.91,15908.572
0,polygon,132,74514.62,16278.438
0,polygon,133,74360.51,16555.838
0,polygon,134,74206.4,16864.059
0,polygon,135,74175.57,17233.924
0,polygon,136,74329.69,17511.324
0,polygon,137,74298.86,17881.19
0,polygon,138,74391.33,18251.055
0,polygon,139,74545.44,18620.922
0,polygon,140,74699.55,18929.143
0,polygon,141,74822.836,19237.363
0,polygon,142,75038.59,19483.941
0,polygon,143,75254.35,19884.629
0,polygon,144,75285.17,20192.852
0,polygon,145,75254.35,20531.895
0,polygon,146,75531.75,20809.293
0,polygon,147,75747.5,21086.693
0,polygon,148,75870.79,21394.914
