index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,48252.67,78629.28
0,polygon,1,47784.258,78488.76
0,polygon,2,46753.742,78488.76
0,polygon,3,46285.33,78254.55
0,polygon,4,45723.23,78067.18
0,polygon,5,45254.812,78020.34
0,polygon,6,44317.984,78114.02
0,polygon,7,43381.152,78301.39
0,polygon,8,42865.895,78348.234
0,polygon,9,42397.48,78441.914
0,polygon,10,41882.223,78582.44
0,polygon,11,41226.44,78535.6
0,polygon,12,40804.867,78207.7
0,polygon,13,39868.04,77926.66
0,polygon,14,39324.74,77452.695
0,polygon,15,38684.055,77096.76
0,polygon,16,37972.188,76740.83
0,polygon,17,37901.0,73679.8
0,polygon,18,38185.75,72825.555
0,polygon,19,38755.242,72256.06
0,polygon,20,40321.35,71117.07
0,polygon,21,41745.086,70120.45
0,polygon,22,42456.957,69764.52
0,polygon,23,43168.824,69479.77
0,polygon,24,44094.25,69123.84
0,polygon,25,44877.305,68839.09
0,polygon,26,46331.242,68277.0
0,polygon,27,46846.5,68089.63
0,polygon,28,47455.44,67855.42
0,polygon,29,47970.695,67621.22
0,polygon,30,48579.637,67246.484
0,polygon,31,49329.1,66871.75
0,polygon,32,50500.14,66403.336
0,polygon,33,51015.395,66215.97
0,polygon,34,51764.86,66028.6
0,polygon,35,52233.277,65747.555
0,polygon,36,52701.69,65560.19
0,polygon,37,53451.156,65138.617
0,polygon,38,53919.57,64951.25
0,polygon,39,54762.72,64482.836
0,polygon,40,55371.66,64201.785
0,polygon,41,56308.49,63967.58
0,polygon,42,57292.16,63873.895
0,polygon,43,58182.152,63733.37
0,polygon,44,59962.13,63358.637
0,polygon,45,60571.07,63264.953
0,polygon,46,61039.484,63218.113
0,polygon,47,61788.95,63124.43
0,polygon,48,62538.414,63077.59
0,polygon,49,63100.51,63077.59
0,polygon,50,63662.61,63218.113
0,polygon,51,64458.918,63311.797
0,polygon,52,65067.855,63405.48
0,polygon,53,65770.48,63405.48
0,polygon,54,66379.42,63546.004
0,polygon,55,66941.516,63592.844
0,polygon,56,67644.14,63639.688
0,polygon,57,68253.08,63780.21
0,polygon,58,68721.49,63873.895
0,polygon,59,69189.914,64154.945
0,polygon,60,69564.64,64482.836
0,polygon,61,69611.484,64951.25
0,polygon,62,69611.484,65653.875
0,polygon,63,69705.17,66778.07
0,polygon,64,69705.17,68464.37
0,polygon,65,69752.01,69401.195
0,polygon,66,69752.01,71790.12
0,polygon,67,69798.85,72492.734
0,polygon,68,69798.85,73007.99
0,polygon,69,69705.17,73523.25
0,polygon,70,69752.01,74132.19
0,polygon,71,69752.01,74647.445
0,polygon,72,69705.17,75115.86
0,polygon,73,69611.484,75584.28
0,polygon,74,69096.23,75631.12
0,polygon,75,68627.81,75396.914
0,polygon,76,68159.4,75256.39
0,polygon,77,67644.14,75256.39
0,polygon,78,67175.73,75443.75
0,polygon,79,66613.625,75584.28
0,polygon,80,66145.21,75631.12
0,polygon,81,65629.95,75443.75
0,polygon,82,65208.383,75209.55
0,polygon,83,64739.965,75022.18
0,polygon,84,64318.39,74787.97
0,polygon,85,63756.293,74647.445
0,polygon,86,63287.88,74413.24
0,polygon,87,62819.46,74319.555
0,polygon,88,62351.047,74179.03
0,polygon,89,61882.633,73991.664
0,polygon,90,61461.06,73710.62
0,polygon,91,60945.8,73663.77
0,polygon,92,60430.543,73523.25
0,polygon,93,59962.13,73335.88
0,polygon,94,59493.715,73289.04
0,polygon,95,58931.617,73242.2
0,polygon,96,58416.36,73148.516
0,polygon,97,57947.94,73054.836
0,polygon,98,57432.688,73007.99
0,polygon,99,56495.855,72914.31
0,polygon,100,56027.44,72773.79
0,polygon,101,55418.5,72820.625
0,polygon,102,54950.086,72867.47
0,polygon,103,54434.83,72914.31
0,polygon,104,53919.57,73101.68
0,polygon,105,53451.156,72961.15
0,polygon,106,52982.742,73289.04
0,polygon,107,52514.324,73523.25
0,polygon,108,52045.91,73710.62
0,polygon,109,51577.496,73757.46
0,polygon,110,51062.24,73804.3
0,polygon,111,50546.98,73897.984
0,polygon,112,50078.566,74038.51
0,polygon,113,49610.15,74085.35
0,polygon,114,49001.21,74085.35
0,polygon,115,48532.793,73944.83
0,polygon,116,48017.54,73944.83
0,polygon,117,47595.965,74179.03
0,polygon,118,47314.914,74600.61
0,polygon,119,47268.074,75069.02
0,polygon,120,47642.805,75490.59
0,polygon,121,48485.953,76052.695
0,polygon,122,48954.367,76333.74
0,polygon,123,49282.258,76708.48
0,polygon,124,49235.418,77176.89
0,polygon,125,48813.844,77645.305
0,polygon,126,48673.32,78160.56
1,polygon,0,21204.31,17980.416
1,polygon,1,20326.736,18068.174
1,polygon,2,19273.648,18068.174
1,polygon,3,18308.318,17541.629
1,polygon,4,17518.502,17015.086
1,polygon,5,16202.142,16664.057
1,polygon,6,15149.054,16400.783
1,polygon,7,14183.723,16313.026
1,polygon,8,13218.392,16313.026
1,polygon,9,11814.274,16488.541
1,polygon,10,10146.885,16488.541
1,polygon,11,8918.282,16225.27
1,polygon,12,7689.6797,16488.541
1,polygon,13,6724.349,17980.416
1,polygon,14,6197.805,19296.775
1,polygon,15,5759.0186,20349.863
1,polygon,16,5583.504,21227.438
1,polygon,17,4881.445,22368.283
1,polygon,18,4091.629,22982.584
1,polygon,19,3477.3276,23772.4
1,polygon,20,2511.9968,24825.488
1,polygon,21,2424.2395,26141.848
1,polygon,22,2599.7542,27633.723
1,polygon,23,2073.2102,28599.055
1,polygon,24,2073.2102,29739.898
1,polygon,25,2424.2395,30705.23
1,polygon,26,3126.2983,32109.348
1,polygon,27,3828.357,33162.434
1,polygon,28,4530.4155,34040.008
1,polygon,29,5759.0186,34742.066
1,polygon,30,6636.592,35093.098
1,polygon,31,7426.4077,35531.883
1,polygon,32,9357.069,36321.7
1,polygon,33,11199.974,37111.516
1,polygon,34,12253.062,37550.3
1,polygon,35,13218.392,37989.09
1,polygon,36,14359.237,38427.875
1,polygon,37,15412.325,38778.906
